,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1680876546,0.0,99,0,0,,FEDDECISION-23MAY-C25,custom,,,{'Cut': '25'},Cut 25bps,finalized,2023-04-07 14:09:06,2023-04-07
1,100,1,0,1680876546,0.0,99,0,0,,FEDDECISION-23MAY-H0,custom,,0.0,{'Hike': '0'},No change,finalized,2023-04-07 14:09:06,2023-04-07
2,95,0,0,1680876546,0.0,100,5,0,,FEDDECISION-23MAY-H25,custom,,25.0,{'Hike': '25'},Hike 25bps,finalized,2023-04-07 14:09:06,2023-04-07
3,100,1,0,1680876546,0.0,99,0,0,,FEDDECISION-23MAY-H50,custom,,,{'Hike': '50'},Hike 50bps,finalized,2023-04-07 14:09:06,2023-04-07
4,100,1,0,1680876546,0.0,99,0,0,,FEDDECISION-23MAY-TC25,custom,,,{'Cut': '>25'},Cut >25bps,finalized,2023-04-07 14:09:06,2023-04-07
5,100,1,0,1680876546,0.0,99,0,0,,FEDDECISION-23MAY-TH50,custom,,,{'Hike': '>50bps'},Hike >50bps,finalized,2023-04-07 14:09:06,2023-04-07
6,100,0,0,1680876569,0.0,100,0,0,,FEDDECISION-23MAY-C25,custom,,,{'Cut': '25'},Cut 25bps,finalized,2023-04-07 14:09:29,2023-04-07
7,100,5,0,1680876569,0.0,95,0,0,,FEDDECISION-23MAY-H0,custom,,0.0,{'Hike': '0'},No change,finalized,2023-04-07 14:09:29,2023-04-07
8,100,0,0,1680876569,0.0,100,0,0,,FEDDECISION-23MAY-H50,custom,,,{'Hike': '50'},Hike 50bps,finalized,2023-04-07 14:09:29,2023-04-07
9,100,1,0,1680876569,0.0,99,0,0,,FEDDECISION-23MAY-H50,custom,,,{'Hike': '50'},Hike 50bps,finalized,2023-04-07 14:09:29,2023-04-07
10,100,0,0,1680876569,0.0,100,0,0,,FEDDECISION-23MAY-TC25,custom,,,{'Cut': '>25'},Cut >25bps,finalized,2023-04-07 14:09:29,2023-04-07
11,100,0,0,1680876569,0.0,100,0,0,,FEDDECISION-23MAY-TH50,custom,,,{'Hike': '>50bps'},Hike >50bps,finalized,2023-04-07 14:09:29,2023-04-07
12,100,11,0,1680876586,0.0,89,0,0,,FEDDECISION-23MAY-C25,custom,,,{'Cut': '25'},Cut 25bps,finalized,2023-04-07 14:09:46,2023-04-07
13,100,21,0,1680876594,0.0,79,0,0,,FEDDECISION-23MAY-TC25,custom,,,{'Cut': '>25'},Cut >25bps,finalized,2023-04-07 14:09:54,2023-04-07
14,100,11,0,1680876606,0.0,89,0,0,,FEDDECISION-23MAY-H50,custom,,,{'Hike': '50'},Hike 50bps,finalized,2023-04-07 14:10:06,2023-04-07
