,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,56,0,0,1638284955,0.0,100,44,0,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 15:09:15,2021-11-30
1,55,0,0,1638284955,0.0,100,45,0,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 15:09:15,2021-11-30
2,54,0,0,1638284955,0.0,100,46,0,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 15:09:15,2021-11-30
3,53,0,0,1638284955,0.0,100,47,0,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 15:09:15,2021-11-30
4,52,0,0,1638284955,0.0,100,48,0,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 15:09:15,2021-11-30
5,52,48,0,1638285015,0.0,52,48,0,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 15:10:15,2021-11-30
6,52,48,0,1638285015,0.0,52,48,0,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 15:10:15,2021-11-30
7,52,48,0,1638285015,0.0,52,48,0,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 15:10:15,2021-11-30
8,52,48,0,1638285015,0.0,52,48,0,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 15:10:15,2021-11-30
9,52,48,0,1638285075,0.0,52,48,0,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 15:11:15,2021-11-30
10,53,52,18,1638291783,18.0,48,47,48,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:03:03,2021-11-30
11,53,52,18,1638291795,0.0,48,47,48,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:03:15,2021-11-30
12,53,52,18,1638291795,0.0,48,47,48,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:03:15,2021-11-30
13,53,52,18,1638291795,0.0,48,47,48,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:03:15,2021-11-30
14,53,52,18,1638291795,0.0,48,47,48,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:03:15,2021-11-30
15,53,48,18,1638291813,0.0,52,47,48,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:03:33,2021-11-30
16,54,53,53,1638291821,35.0,47,46,47,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:03:41,2021-11-30
17,54,48,53,1638291829,0.0,52,46,47,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:03:49,2021-11-30
18,55,54,87,1638291848,34.0,46,45,46,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:04:08,2021-11-30
19,55,48,87,1638291857,0.0,52,45,46,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:04:17,2021-11-30
20,55,48,87,1638291859,0.0,52,45,46,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:04:19,2021-11-30
21,55,48,87,1638291859,0.0,52,45,46,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:04:19,2021-11-30
22,55,48,87,1638291859,0.0,52,45,46,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:04:19,2021-11-30
23,55,48,87,1638291859,0.0,52,45,46,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:04:19,2021-11-30
24,54,48,87,1638291860,0.0,52,46,46,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:04:20,2021-11-30
25,54,50,87,1638291860,0.0,50,46,46,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:04:20,2021-11-30
26,54,50,87,1638291860,0.0,50,46,46,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:04:20,2021-11-30
27,55,54,121,1638291866,34.0,46,45,46,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:04:26,2021-11-30
28,55,50,121,1638291874,0.0,50,45,46,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:04:34,2021-11-30
29,56,55,156,1638291899,35.0,45,44,45,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:04:59,2021-11-30
30,56,50,156,1638291906,0.0,50,44,45,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:05:06,2021-11-30
31,56,50,156,1638291919,0.0,50,44,45,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:05:19,2021-11-30
32,56,50,156,1638291920,0.0,50,44,45,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:05:20,2021-11-30
33,56,50,186,1638291923,30.0,50,44,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:05:23,2021-11-30
34,100,56,190,1638291974,4.0,44,0,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:06:14,2021-11-30
35,100,56,190,1638292035,0.0,44,0,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:07:15,2021-11-30
36,100,56,190,1638292035,0.0,44,0,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:07:15,2021-11-30
37,100,56,190,1638292035,0.0,44,0,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:07:15,2021-11-30
38,100,56,190,1638292035,0.0,44,0,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:07:15,2021-11-30
39,100,56,190,1638292035,0.0,44,0,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:07:15,2021-11-30
40,62,56,190,1638292035,0.0,44,38,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:07:15,2021-11-30
41,61,56,190,1638292035,0.0,44,39,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:07:15,2021-11-30
42,60,56,190,1638292035,0.0,44,40,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:07:15,2021-11-30
43,59,56,190,1638292036,0.0,44,41,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:07:16,2021-11-30
44,58,56,190,1638292036,0.0,44,42,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:07:16,2021-11-30
45,58,56,190,1638292036,0.0,44,42,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:07:16,2021-11-30
46,58,56,190,1638292096,0.0,44,42,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:08:16,2021-11-30
47,58,56,190,1638292157,0.0,44,42,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:09:17,2021-11-30
48,58,56,190,1638292218,0.0,44,42,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 17:10:18,2021-11-30
49,58,57,190,1638295236,0.0,43,42,44,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 18:00:36,2021-11-30
50,58,51,206,1638297304,102.0,49,42,49,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 18:35:04,2021-11-30
51,58,50,206,1638297311,0.0,50,42,49,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 18:35:11,2021-11-30
52,58,53,206,1638297315,0.0,47,42,49,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 18:35:15,2021-11-30
53,58,53,206,1638297315,0.0,47,42,49,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 18:35:15,2021-11-30
54,58,53,206,1638297315,0.0,47,42,49,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 18:35:15,2021-11-30
55,58,53,206,1638297371,0.0,47,42,49,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 18:36:11,2021-11-30
56,58,53,206,1638297375,0.0,47,42,49,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 18:36:15,2021-11-30
57,58,53,206,1638297375,0.0,47,42,49,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 18:36:15,2021-11-30
58,58,53,206,1638297375,0.0,47,42,49,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 18:36:15,2021-11-30
59,58,52,206,1638297375,0.0,48,42,49,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 18:36:15,2021-11-30
60,58,51,206,1638297375,0.0,49,42,49,,GAS-21DEC06-A3.326,greater,,3.326,,>$3.326,finalized,2021-11-30 18:36:15,2021-11-30
