,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,39,0,0,1636471393,0.0,100,61,0,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:23:13,2021-11-09
1,38,0,0,1636471393,0.0,100,62,0,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:23:13,2021-11-09
2,37,0,0,1636471454,0.0,100,63,0,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:24:14,2021-11-09
3,37,31,0,1636471454,0.0,69,63,0,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:24:14,2021-11-09
4,37,31,0,1636471454,0.0,69,63,0,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:24:14,2021-11-09
5,37,31,0,1636471454,0.0,69,63,0,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:24:14,2021-11-09
6,38,31,115,1636473131,115.0,69,62,63,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:52:11,2021-11-09
7,38,31,115,1636473190,0.0,69,62,63,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:53:10,2021-11-09
8,100,31,115,1636473193,0.0,69,0,63,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:53:13,2021-11-09
9,100,30,115,1636473193,0.0,70,0,63,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:53:13,2021-11-09
10,100,29,115,1636473193,0.0,71,0,63,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:53:13,2021-11-09
11,100,0,115,1636473193,0.0,100,0,63,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:53:13,2021-11-09
12,42,0,115,1636473193,0.0,100,58,63,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:53:13,2021-11-09
13,41,0,115,1636473193,0.0,100,59,63,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:53:13,2021-11-09
14,40,0,115,1636473193,0.0,100,60,63,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:53:13,2021-11-09
15,40,34,115,1636473193,0.0,66,60,63,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:53:13,2021-11-09
16,40,34,115,1636473193,0.0,66,60,63,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:53:13,2021-11-09
17,40,34,115,1636473193,0.0,66,60,63,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 15:53:13,2021-11-09
18,40,34,115,1636476361,5.0,66,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 16:46:01,2021-11-09
19,41,34,115,1636476371,0.0,66,59,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 16:46:11,2021-11-09
20,40,34,115,1636476374,0.0,66,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 16:46:14,2021-11-09
21,40,34,115,1636479529,0.0,66,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 17:38:49,2021-11-09
22,40,34,115,1636484578,1.0,66,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:02:58,2021-11-09
23,41,34,115,1636484591,0.0,66,59,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:03:11,2021-11-09
24,41,34,115,1636484594,0.0,66,59,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:03:14,2021-11-09
25,41,34,115,1636484594,0.0,66,59,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:03:14,2021-11-09
26,40,34,115,1636484594,0.0,66,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:03:14,2021-11-09
27,40,34,115,1636484594,0.0,66,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:03:14,2021-11-09
28,40,34,115,1636486146,2.0,66,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:29:06,2021-11-09
29,40,33,115,1636486151,0.0,67,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:29:11,2021-11-09
30,40,34,115,1636486154,0.0,66,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:29:14,2021-11-09
31,41,34,115,1636486210,0.0,66,59,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:30:10,2021-11-09
32,41,34,115,1636486213,0.0,66,59,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:30:13,2021-11-09
33,40,34,115,1636486213,0.0,66,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:30:13,2021-11-09
34,40,34,135,1636486884,20.0,66,60,60,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:41:24,2021-11-09
35,40,34,135,1636486933,0.0,66,60,60,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:42:13,2021-11-09
36,40,34,135,1636486933,0.0,66,60,60,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:42:13,2021-11-09
37,40,34,135,1636486933,0.0,66,60,60,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:42:13,2021-11-09
38,40,34,135,1636486933,0.0,66,60,60,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:42:13,2021-11-09
39,40,34,135,1636486933,0.0,66,60,60,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:42:13,2021-11-09
40,40,34,135,1636486933,0.0,66,60,60,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:42:13,2021-11-09
41,40,34,135,1636486933,0.0,66,60,60,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:42:13,2021-11-09
42,40,35,135,1636486933,0.0,65,60,60,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:42:13,2021-11-09
43,40,35,135,1636486933,0.0,65,60,60,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 19:42:13,2021-11-09
44,40,35,135,1636488618,7.0,65,60,65,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:10:18,2021-11-09
45,40,35,135,1636488669,0.0,65,60,65,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:11:09,2021-11-09
46,40,35,135,1636488672,0.0,65,60,65,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:11:12,2021-11-09
47,41,35,135,1636488672,0.0,65,59,65,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:11:12,2021-11-09
48,41,34,135,1636488673,0.0,66,59,65,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:11:13,2021-11-09
49,41,33,135,1636488673,0.0,67,59,65,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:11:13,2021-11-09
50,41,33,135,1636488673,0.0,67,59,65,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:11:13,2021-11-09
51,41,33,135,1636488673,0.0,67,59,65,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:11:13,2021-11-09
52,40,33,135,1636488673,0.0,67,60,65,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:11:13,2021-11-09
53,40,34,135,1636488673,0.0,66,60,65,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:11:13,2021-11-09
54,40,34,135,1636488673,0.0,66,60,65,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:11:13,2021-11-09
55,40,34,135,1636491367,100.0,66,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:56:07,2021-11-09
56,40,33,135,1636491370,0.0,67,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:56:10,2021-11-09
57,40,34,135,1636491373,0.0,66,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:56:13,2021-11-09
58,40,34,135,1636491434,0.0,66,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:57:14,2021-11-09
59,40,34,135,1636491438,0.0,66,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:57:18,2021-11-09
60,40,34,135,1636491438,0.0,66,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:57:18,2021-11-09
61,40,33,135,1636491438,0.0,67,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:57:18,2021-11-09
62,40,32,135,1636491438,0.0,68,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:57:18,2021-11-09
63,40,20,135,1636491438,0.0,80,60,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:57:18,2021-11-09
64,39,20,135,1636491438,0.0,80,61,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:57:18,2021-11-09
65,38,20,135,1636491438,0.0,80,62,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:57:18,2021-11-09
66,38,32,135,1636491438,0.0,68,62,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:57:18,2021-11-09
67,38,32,135,1636491438,0.0,68,62,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:57:18,2021-11-09
68,38,32,135,1636491438,0.0,68,62,66,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 20:57:18,2021-11-09
69,38,32,135,1636493050,13.0,68,62,68,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:24:10,2021-11-09
70,38,32,135,1636493110,0.0,68,62,68,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:25:10,2021-11-09
71,38,32,135,1636493113,0.0,68,62,68,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:25:13,2021-11-09
72,38,32,135,1636493113,0.0,68,62,68,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:25:13,2021-11-09
73,38,31,135,1636493113,0.0,69,62,68,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:25:13,2021-11-09
74,38,30,135,1636493113,0.0,70,62,68,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:25:13,2021-11-09
75,38,30,135,1636493113,0.0,70,62,68,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:25:13,2021-11-09
76,38,30,135,1636493113,0.0,70,62,68,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:25:13,2021-11-09
77,37,30,135,1636493113,0.0,70,63,68,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:25:13,2021-11-09
78,37,31,135,1636493113,0.0,69,63,68,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:25:13,2021-11-09
79,37,31,135,1636493113,0.0,69,63,68,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:25:13,2021-11-09
80,37,31,142,1636493957,14.0,69,63,69,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:39:17,2021-11-09
81,37,31,142,1636494010,0.0,69,63,69,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:40:10,2021-11-09
82,37,31,142,1636494014,0.0,69,63,69,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:40:14,2021-11-09
83,100,31,142,1636494014,0.0,69,0,69,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:40:14,2021-11-09
84,100,31,142,1636494014,0.0,69,0,69,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:40:14,2021-11-09
85,100,31,142,1636494014,0.0,69,0,69,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:40:14,2021-11-09
86,100,31,142,1636494014,0.0,69,0,69,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:40:14,2021-11-09
87,39,31,142,1636494014,0.0,69,61,69,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:40:14,2021-11-09
88,38,31,142,1636494014,0.0,69,62,69,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:40:14,2021-11-09
89,37,31,142,1636494014,0.0,69,63,69,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 21:40:14,2021-11-09
90,37,31,149,1636501416,7.0,69,63,69,,GAS-21NOV15-A3.366,greater,,3.366,,>$3.366,finalized,2021-11-09 23:43:36,2021-11-09
