,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,54,0,0,1633442948,0.0,100,46,0,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 14:09:08,2021-10-05
1,53,0,0,1633442948,0.0,100,47,0,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 14:09:08,2021-10-05
2,52,0,0,1633442948,0.0,100,48,0,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 14:09:08,2021-10-05
3,52,48,0,1633442948,0.0,52,48,0,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 14:09:08,2021-10-05
4,52,48,0,1633442948,0.0,52,48,0,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 14:09:08,2021-10-05
5,52,48,0,1633442948,0.0,52,48,0,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 14:09:08,2021-10-05
6,52,0,217,1633446089,217.0,100,48,54,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:01:29,2021-10-05
7,52,0,217,1633446128,0.0,100,48,54,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:02:08,2021-10-05
8,52,0,217,1633446129,0.0,100,48,54,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:02:09,2021-10-05
9,100,0,217,1633446129,0.0,100,0,54,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:02:09,2021-10-05
10,50,0,217,1633446129,0.0,100,50,54,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:02:09,2021-10-05
11,49,0,217,1633446129,0.0,100,51,54,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:02:09,2021-10-05
12,48,0,217,1633446129,0.0,100,52,54,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:02:09,2021-10-05
13,48,43,217,1633446129,0.0,57,52,54,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:02:09,2021-10-05
14,48,43,217,1633446129,0.0,57,52,54,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:02:09,2021-10-05
15,48,43,217,1633446129,0.0,57,52,54,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:02:09,2021-10-05
16,48,43,242,1633446583,25.0,57,52,57,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:09:43,2021-10-05
17,48,43,242,1633446609,0.0,57,52,57,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:10:09,2021-10-05
18,48,43,242,1633446609,0.0,57,52,57,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:10:09,2021-10-05
19,48,43,242,1633446609,0.0,57,52,57,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:10:09,2021-10-05
20,48,43,242,1633446609,0.0,57,52,57,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:10:09,2021-10-05
21,48,43,242,1633446609,0.0,57,52,57,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 15:10:09,2021-10-05
22,48,43,276,1633459424,34.0,57,52,57,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 18:43:44,2021-10-05
23,48,43,276,1633459449,0.0,57,52,57,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 18:44:09,2021-10-05
24,48,43,276,1633459449,0.0,57,52,57,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 18:44:09,2021-10-05
25,48,43,276,1633459449,0.0,57,52,57,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 18:44:09,2021-10-05
26,48,43,276,1633459449,0.0,57,52,57,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 18:44:09,2021-10-05
27,48,42,276,1633459449,0.0,58,52,57,,GAS-21OCT12-A3.168,greater,,3.168,,>$3.168,finalized,2021-10-05 18:44:09,2021-10-05
