,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,49,0,0,1631208794,0.0,100,51,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-09 17:33:14,2021-09-09
1,49,0,0,1631209429,0.0,100,51,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-09 17:43:49,2021-09-09
2,49,0,0,1631209474,0.0,100,51,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-09 17:44:34,2021-09-09
3,49,0,0,1631209493,0.0,100,51,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-09 17:44:53,2021-09-09
4,49,0,0,1631224997,0.0,100,51,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-09 22:03:17,2021-09-09
5,49,0,0,1631228272,0.0,100,51,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-09 22:57:52,2021-09-09
6,17,0,0,1631229787,0.0,100,83,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-09 23:23:07,2021-09-09
7,16,0,0,1631229787,0.0,100,84,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-09 23:23:07,2021-09-09
8,15,0,0,1631229787,0.0,100,85,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-09 23:23:07,2021-09-09
9,15,13,0,1631229787,0.0,87,85,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-09 23:23:07,2021-09-09
10,15,13,0,1631229787,0.0,87,85,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-09 23:23:07,2021-09-09
11,15,13,0,1631229787,0.0,87,85,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-09 23:23:07,2021-09-09
12,14,13,0,1631238878,0.0,87,86,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 01:54:38,2021-09-10
13,14,13,0,1631238890,0.0,87,86,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 01:54:50,2021-09-10
14,14,13,0,1631238908,0.0,87,86,0,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 01:55:08,2021-09-10
15,14,13,25,1631238920,25.0,87,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 01:55:20,2021-09-10
16,14,12,25,1631238963,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 01:56:03,2021-09-10
17,14,12,25,1631238967,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 01:56:07,2021-09-10
18,14,12,25,1631238967,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 01:56:07,2021-09-10
19,14,12,25,1631238967,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 01:56:07,2021-09-10
20,14,12,25,1631238967,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 01:56:07,2021-09-10
21,14,12,25,1631238967,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 01:56:07,2021-09-10
22,14,12,25,1631238967,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 01:56:07,2021-09-10
23,14,12,25,1631248027,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 04:27:07,2021-09-10
24,14,12,25,1631270868,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 10:47:48,2021-09-10
25,14,12,25,1631274903,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 11:55:03,2021-09-10
26,14,12,25,1631274906,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 11:55:06,2021-09-10
27,14,12,25,1631274907,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 11:55:07,2021-09-10
28,14,12,25,1631274907,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 11:55:07,2021-09-10
29,14,12,25,1631274907,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 11:55:07,2021-09-10
30,14,12,25,1631274907,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 11:55:07,2021-09-10
31,14,12,25,1631274907,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 11:55:07,2021-09-10
32,14,12,25,1631274907,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 11:55:07,2021-09-10
33,14,12,25,1631274907,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 11:55:07,2021-09-10
34,14,12,25,1631274907,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 11:55:07,2021-09-10
35,14,12,25,1631275207,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 12:00:07,2021-09-10
36,14,12,25,1631275207,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 12:00:07,2021-09-10
37,14,12,25,1631275207,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 12:00:07,2021-09-10
38,14,12,25,1631275208,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 12:00:08,2021-09-10
39,14,12,25,1631275208,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 12:00:08,2021-09-10
40,14,12,25,1631275208,0.0,88,86,87,,GAS-21SEP13-A3.13,greater,,3.13,,>$3.13,finalized,2021-09-10 12:00:08,2021-09-10
