,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1661272291,0.0,100,1,0,,GAS-22AUG29-T3.70,greater,,3.7,,>$3.70,finalized,2022-08-23 16:31:31,2022-08-23
1,50,0,0,1661272304,0.0,100,50,0,,GAS-22AUG29-T3.70,greater,,3.7,,>$3.70,finalized,2022-08-23 16:31:44,2022-08-23
2,50,1,0,1661272446,0.0,99,50,0,,GAS-22AUG29-T3.70,greater,,3.7,,>$3.70,finalized,2022-08-23 16:34:06,2022-08-23
3,50,1,0,1661272455,0.0,99,50,0,,GAS-22AUG29-T3.70,greater,,3.7,,>$3.70,finalized,2022-08-23 16:34:15,2022-08-23
4,100,1,0,1661273320,0.0,99,0,0,,GAS-22AUG29-T3.75,greater,,3.75,,>$3.75,finalized,2022-08-23 16:48:40,2022-08-23
5,99,1,0,1661273333,0.0,99,1,0,,GAS-22AUG29-T3.75,greater,,3.75,,>$3.75,finalized,2022-08-23 16:48:53,2022-08-23
6,100,1,0,1661273342,0.0,99,0,0,,GAS-22AUG29-T3.80,greater,,3.8,,>$3.80,finalized,2022-08-23 16:49:02,2022-08-23
7,21,1,0,1661273623,0.0,99,79,0,,GAS-22AUG29-T3.70,greater,,3.7,,>$3.70,finalized,2022-08-23 16:53:43,2022-08-23
8,90,0,0,1661273623,0.0,100,10,0,,GAS-22AUG29-T3.85,greater,,3.85,,>$3.85,finalized,2022-08-23 16:53:43,2022-08-23
9,90,0,0,1661273623,0.0,100,10,0,,GAS-22AUG29-T3.85,greater,,3.85,,>$3.85,finalized,2022-08-23 16:53:43,2022-08-23
10,19,1,0,1661273624,0.0,99,81,0,,GAS-22AUG29-T3.70,greater,,3.7,,>$3.70,finalized,2022-08-23 16:53:44,2022-08-23
11,19,1,0,1661273624,0.0,99,81,0,,GAS-22AUG29-T3.70,greater,,3.7,,>$3.70,finalized,2022-08-23 16:53:44,2022-08-23
12,19,15,0,1661273624,0.0,85,81,0,,GAS-22AUG29-T3.70,greater,,3.7,,>$3.70,finalized,2022-08-23 16:53:44,2022-08-23
13,40,1,0,1661273624,0.0,99,60,0,,GAS-22AUG29-T3.75,greater,,3.75,,>$3.75,finalized,2022-08-23 16:53:44,2022-08-23
14,40,35,0,1661273624,0.0,65,60,0,,GAS-22AUG29-T3.75,greater,,3.75,,>$3.75,finalized,2022-08-23 16:53:44,2022-08-23
15,40,35,0,1661273624,0.0,65,60,0,,GAS-22AUG29-T3.75,greater,,3.75,,>$3.75,finalized,2022-08-23 16:53:44,2022-08-23
16,40,35,0,1661273624,0.0,65,60,0,,GAS-22AUG29-T3.75,greater,,3.75,,>$3.75,finalized,2022-08-23 16:53:44,2022-08-23
17,40,36,0,1661273624,0.0,64,60,0,,GAS-22AUG29-T3.75,greater,,3.75,,>$3.75,finalized,2022-08-23 16:53:44,2022-08-23
18,40,36,0,1661273624,0.0,64,60,0,,GAS-22AUG29-T3.75,greater,,3.75,,>$3.75,finalized,2022-08-23 16:53:44,2022-08-23
19,90,85,0,1661273624,0.0,15,10,0,,GAS-22AUG29-T3.85,greater,,3.85,,>$3.85,finalized,2022-08-23 16:53:44,2022-08-23
20,90,86,0,1661273624,0.0,14,10,0,,GAS-22AUG29-T3.85,greater,,3.85,,>$3.85,finalized,2022-08-23 16:53:44,2022-08-23
21,90,86,0,1661273624,0.0,14,10,0,,GAS-22AUG29-T3.85,greater,,3.85,,>$3.85,finalized,2022-08-23 16:53:44,2022-08-23
22,90,86,0,1661273624,0.0,14,10,0,,GAS-22AUG29-T3.85,greater,,3.85,,>$3.85,finalized,2022-08-23 16:53:44,2022-08-23
23,19,15,0,1661273625,0.0,85,81,0,,GAS-22AUG29-T3.70,greater,,3.7,,>$3.70,finalized,2022-08-23 16:53:45,2022-08-23
24,19,15,0,1661273625,0.0,85,81,0,,GAS-22AUG29-T3.70,greater,,3.7,,>$3.70,finalized,2022-08-23 16:53:45,2022-08-23
