,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,56,0,0,1645630458,0.0,100,44,0,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 15:34:18,2022-02-23
1,55,0,0,1645630458,0.0,100,45,0,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 15:34:18,2022-02-23
2,54,0,0,1645630458,0.0,100,46,0,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 15:34:18,2022-02-23
3,53,0,0,1645630458,0.0,100,47,0,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 15:34:18,2022-02-23
4,52,0,0,1645630458,0.0,100,48,0,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 15:34:18,2022-02-23
5,52,48,0,1645630458,0.0,52,48,0,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 15:34:18,2022-02-23
6,52,48,0,1645630458,0.0,52,48,0,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 15:34:18,2022-02-23
7,52,48,0,1645630458,0.0,52,48,0,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 15:34:18,2022-02-23
8,52,48,0,1645630458,0.0,52,48,0,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 15:34:18,2022-02-23
9,52,48,0,1645630458,0.0,52,48,0,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 15:34:18,2022-02-23
10,52,44,200,1645633825,200.0,56,48,56,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 16:30:25,2022-02-23
11,52,44,200,1645633835,0.0,56,48,56,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 16:30:35,2022-02-23
12,52,44,200,1645633876,0.0,56,48,56,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 16:31:16,2022-02-23
13,52,44,200,1645633876,0.0,56,48,56,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 16:31:16,2022-02-23
14,52,44,200,1645633876,0.0,56,48,56,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 16:31:16,2022-02-23
15,52,44,200,1645633876,0.0,56,48,56,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 16:31:16,2022-02-23
16,100,44,200,1645633876,0.0,56,0,56,,GAS-22FEB28-A3.480,greater,,3.48,,>$3.480,finalized,2022-02-23 16:31:16,2022-02-23
