,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,56,0,0,1641309015,0.0,100,44,0,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 15:10:15,2022-01-04
1,55,0,0,1641309015,0.0,100,45,0,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 15:10:15,2022-01-04
2,54,0,0,1641309015,0.0,100,46,0,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 15:10:15,2022-01-04
3,53,0,0,1641309015,0.0,100,47,0,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 15:10:15,2022-01-04
4,52,0,0,1641309015,0.0,100,48,0,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 15:10:15,2022-01-04
5,52,48,0,1641309015,0.0,52,48,0,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 15:10:15,2022-01-04
6,52,48,0,1641309015,0.0,52,48,0,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 15:10:15,2022-01-04
7,52,48,0,1641309015,0.0,52,48,0,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 15:10:15,2022-01-04
8,52,48,0,1641309015,0.0,52,48,0,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 15:10:15,2022-01-04
9,52,48,0,1641309016,0.0,52,48,0,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 15:10:16,2022-01-04
10,52,48,1,1641336754,1.0,52,48,52,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 22:52:34,2022-01-04
11,53,48,1,1641336796,0.0,52,47,52,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 22:53:16,2022-01-04
12,52,48,1,1641336796,0.0,52,48,52,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 22:53:16,2022-01-04
13,52,47,37,1641339923,36.0,53,48,53,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 23:45:23,2022-01-04
14,52,47,37,1641339975,0.0,53,48,53,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 23:46:15,2022-01-04
15,52,47,37,1641339975,0.0,53,48,53,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 23:46:15,2022-01-04
16,53,47,37,1641339975,0.0,53,47,53,,GAS-22JAN10-A3.216,greater,,3.216,,>$3.216,finalized,2022-01-04 23:46:15,2022-01-04
