,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,71,0,1658240279,0.0,29,0,0,,GAS-22JUL25-T4.50,greater,,4.5,,>$4.50,finalized,2022-07-19 14:17:59,2022-07-19
1,100,81,0,1658242324,0.0,19,0,0,,GAS-22JUL25-T4.50,greater,,4.5,,>$4.50,finalized,2022-07-19 14:52:04,2022-07-19
2,100,31,0,1658242388,0.0,69,0,0,,GAS-22JUL25-T4.40,greater,,4.4,,>$4.40,finalized,2022-07-19 14:53:08,2022-07-19
3,100,32,0,1658243571,0.0,68,0,0,,GAS-22JUL25-T4.40,greater,,4.4,,>$4.40,finalized,2022-07-19 15:12:51,2022-07-19
4,100,8,0,1658243842,0.0,92,0,0,,GAS-22JUL25-T4.30,greater,,4.3,,>$4.30,finalized,2022-07-19 15:17:22,2022-07-19
5,100,81,0,1658243900,0.0,19,0,0,,GAS-22JUL25-T4.50,greater,,4.5,,>$4.50,finalized,2022-07-19 15:18:20,2022-07-19
6,100,81,0,1658243913,0.0,19,0,0,,GAS-22JUL25-T4.50,greater,,4.5,,>$4.50,finalized,2022-07-19 15:18:33,2022-07-19
7,100,33,0,1658244011,0.0,67,0,0,,GAS-22JUL25-T4.40,greater,,4.4,,>$4.40,finalized,2022-07-19 15:20:11,2022-07-19
8,100,81,100,1658244719,100.0,19,0,19,,GAS-22JUL25-T4.50,greater,,4.5,,>$4.50,finalized,2022-07-19 15:31:59,2022-07-19
9,100,71,100,1658244986,0.0,29,0,19,,GAS-22JUL25-T4.50,greater,,4.5,,>$4.50,finalized,2022-07-19 15:36:26,2022-07-19
10,100,76,100,1658244994,0.0,24,0,19,,GAS-22JUL25-T4.50,greater,,4.5,,>$4.50,finalized,2022-07-19 15:36:34,2022-07-19
11,100,85,100,1658245522,0.0,15,0,19,,GAS-22JUL25-T4.50,greater,,4.5,,>$4.50,finalized,2022-07-19 15:45:22,2022-07-19
12,100,33,0,1658246084,0.0,67,0,0,,GAS-22JUL25-T4.40,greater,,4.4,,>$4.40,finalized,2022-07-19 15:54:44,2022-07-19
13,100,33,0,1658246093,0.0,67,0,0,,GAS-22JUL25-T4.40,greater,,4.4,,>$4.40,finalized,2022-07-19 15:54:53,2022-07-19
14,100,34,0,1658246122,0.0,66,0,0,,GAS-22JUL25-T4.40,greater,,4.4,,>$4.40,finalized,2022-07-19 15:55:22,2022-07-19
15,100,86,100,1658246153,0.0,14,0,19,,GAS-22JUL25-T4.50,greater,,4.5,,>$4.50,finalized,2022-07-19 15:55:53,2022-07-19
16,100,87,100,1658246287,0.0,13,0,19,,GAS-22JUL25-T4.50,greater,,4.5,,>$4.50,finalized,2022-07-19 15:58:07,2022-07-19
17,100,35,0,1658246319,0.0,65,0,0,,GAS-22JUL25-T4.40,greater,,4.4,,>$4.40,finalized,2022-07-19 15:58:39,2022-07-19
18,100,35,0,1658246334,0.0,65,0,0,,GAS-22JUL25-T4.40,greater,,4.4,,>$4.40,finalized,2022-07-19 15:58:54,2022-07-19
19,100,86,100,1658247190,0.0,14,0,19,,GAS-22JUL25-T4.50,greater,,4.5,,>$4.50,finalized,2022-07-19 16:13:10,2022-07-19
