,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1655993198,0.0,100,1,0,,GAS-22JUN27-A4.80,greater,,4.8,,>$4.80,finalized,2022-06-23 14:06:38,2022-06-23
1,99,1,0,1655993214,0.0,99,1,0,,GAS-22JUN27-A4.80,greater,,4.8,,>$4.80,finalized,2022-06-23 14:06:54,2022-06-23
2,100,1,0,1655993237,0.0,99,0,0,,GAS-22JUN27-A5.20,greater,,5.2,,>$5.20,finalized,2022-06-23 14:07:17,2022-06-23
3,100,50,0,1655993259,0.0,50,0,0,,GAS-22JUN27-A5.20,greater,,5.2,,>$5.20,finalized,2022-06-23 14:07:39,2022-06-23
4,100,99,0,1655993277,0.0,1,0,0,,GAS-22JUN27-A5.10,greater,,5.1,,>$5.10,finalized,2022-06-23 14:07:57,2022-06-23
5,100,99,0,1655993290,0.0,1,0,0,,GAS-22JUN27-A5.10,greater,,5.1,,>$5.10,finalized,2022-06-23 14:08:10,2022-06-23
6,100,1,0,1655993318,0.0,99,0,0,,GAS-22JUN27-A4.90,greater,,4.9,,>$4.90,finalized,2022-06-23 14:08:38,2022-06-23
7,99,1,0,1655993327,0.0,99,1,0,,GAS-22JUN27-A4.90,greater,,4.9,,>$4.90,finalized,2022-06-23 14:08:47,2022-06-23
8,100,1,0,1655993361,0.0,99,0,0,,GAS-22JUN27-A5.00,greater,,5.0,,>$5.00,finalized,2022-06-23 14:09:21,2022-06-23
9,100,61,0,1655993361,0.0,39,0,0,,GAS-22JUN27-A5.20,greater,,5.2,,>$5.20,finalized,2022-06-23 14:09:21,2022-06-23
10,100,11,0,1655993378,0.0,89,0,0,,GAS-22JUN27-A5.00,greater,,5.0,,>$5.00,finalized,2022-06-23 14:09:38,2022-06-23
11,100,65,0,1655993417,0.0,35,0,0,,GAS-22JUN27-A5.20,greater,,5.2,,>$5.20,finalized,2022-06-23 14:10:17,2022-06-23
