,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,51,0,1653401036,0.0,49,0,0,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-24 14:03:56,2022-05-24
1,35,0,0,1653401485,0.0,100,65,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-24 14:11:25,2022-05-24
2,100,51,0,1653402264,0.0,49,0,0,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-24 14:24:24,2022-05-24
3,100,0,0,1653402337,0.0,100,0,0,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-24 14:25:37,2022-05-24
4,100,0,0,1653402485,0.0,100,0,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-24 14:28:05,2022-05-24
5,75,0,0,1653404203,0.0,100,25,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-24 14:56:43,2022-05-24
6,60,0,0,1653404463,0.0,100,40,0,,GAS-22MAY30-A4.50,greater,,4.5,,>$4.50,finalized,2022-05-24 15:01:03,2022-05-24
7,85,0,0,1653404488,0.0,100,15,0,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-24 15:01:28,2022-05-24
8,24,0,0,1653404526,0.0,100,76,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-24 15:02:06,2022-05-24
9,75,0,0,1653404530,0.0,100,25,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-24 15:02:10,2022-05-24
10,40,0,0,1653404553,0.0,100,60,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-24 15:02:33,2022-05-24
11,75,0,0,1653405870,0.0,100,25,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-24 15:24:30,2022-05-24
12,45,0,0,1653405881,0.0,100,55,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-24 15:24:41,2022-05-24
13,100,0,0,1653405889,0.0,100,0,0,,GAS-22MAY30-A4.50,greater,,4.5,,>$4.50,finalized,2022-05-24 15:24:49,2022-05-24
14,65,0,0,1653405897,0.0,100,35,0,,GAS-22MAY30-A4.50,greater,,4.5,,>$4.50,finalized,2022-05-24 15:24:57,2022-05-24
15,100,0,0,1653405908,0.0,100,0,0,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-24 15:25:08,2022-05-24
16,90,0,0,1653405915,0.0,100,10,0,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-24 15:25:15,2022-05-24
17,90,0,71,1653406202,71.0,100,10,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-24 15:30:02,2022-05-24
18,100,0,71,1653406259,0.0,100,0,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-24 15:30:59,2022-05-24
19,95,0,71,1653406273,0.0,100,5,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-24 15:31:13,2022-05-24
20,95,85,71,1653406300,0.0,15,5,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-24 15:31:40,2022-05-24
21,65,0,0,1653412744,0.0,100,35,0,,GAS-22MAY30-A4.50,greater,,4.5,,>$4.50,finalized,2022-05-24 17:19:04,2022-05-24
22,65,0,0,1653412767,0.0,100,35,0,,GAS-22MAY30-A4.50,greater,,4.5,,>$4.50,finalized,2022-05-24 17:19:27,2022-05-24
23,35,0,0,1653419991,0.0,100,65,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-24 19:19:51,2022-05-24
24,95,87,71,1653429239,0.0,13,5,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-24 21:53:59,2022-05-24
25,95,87,71,1653429738,0.0,13,5,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-24 22:02:18,2022-05-24
26,95,87,71,1653429745,0.0,13,5,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-24 22:02:25,2022-05-24
27,95,87,71,1653437611,0.0,13,5,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-25 00:13:31,2022-05-25
28,95,87,71,1653437611,0.0,13,5,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-25 00:13:31,2022-05-25
29,95,87,71,1653437611,0.0,13,5,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-25 00:13:31,2022-05-25
30,95,87,71,1653437611,0.0,13,5,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-25 00:13:31,2022-05-25
31,95,87,71,1653437611,0.0,13,5,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-25 00:13:31,2022-05-25
32,95,87,71,1653437611,0.0,13,5,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-25 00:13:31,2022-05-25
33,95,87,71,1653437611,0.0,13,5,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-25 00:13:31,2022-05-25
34,95,87,71,1653437611,0.0,13,5,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-25 00:13:31,2022-05-25
35,95,87,71,1653437611,0.0,13,5,10,,GAS-22MAY30-A4.60,greater,,4.6,,>$4.60,finalized,2022-05-25 00:13:31,2022-05-25
36,35,0,0,1653437716,0.0,100,65,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-25 00:15:16,2022-05-25
37,35,0,0,1653437716,0.0,100,65,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-25 00:15:16,2022-05-25
38,35,0,0,1653437716,0.0,100,65,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-25 00:15:16,2022-05-25
39,35,0,0,1653437716,0.0,100,65,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-25 00:15:16,2022-05-25
40,35,0,0,1653437716,0.0,100,65,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-25 00:15:16,2022-05-25
41,35,0,0,1653437716,0.0,100,65,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-25 00:15:16,2022-05-25
42,35,0,0,1653437716,0.0,100,65,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-25 00:15:16,2022-05-25
43,35,0,0,1653437716,0.0,100,65,0,,GAS-22MAY30-A4.40,greater,,4.4,,>$4.40,finalized,2022-05-25 00:15:16,2022-05-25
44,65,0,0,1653437785,0.0,100,35,0,,GAS-22MAY30-A4.50,greater,,4.5,,>$4.50,finalized,2022-05-25 00:16:25,2022-05-25
