,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,15,0,0,1680618710,0.0,100,85,0,,GAS-23APR10-T3.30,greater,,3.3,,>$3.30,finalized,2023-04-04 14:31:50,2023-04-04
1,99,0,0,1680618723,0.0,100,1,0,,GAS-23APR10-T3.35,greater,,3.35,,>$3.35,finalized,2023-04-04 14:32:03,2023-04-04
2,99,0,0,1680618728,0.0,100,1,0,,GAS-23APR10-T3.40,greater,,3.4,,>$3.40,finalized,2023-04-04 14:32:08,2023-04-04
3,99,0,0,1680618733,0.0,100,1,0,,GAS-23APR10-T3.45,greater,,3.45,,>$3.45,finalized,2023-04-04 14:32:13,2023-04-04
4,99,0,0,1680618737,0.0,100,1,0,,GAS-23APR10-T3.50,greater,,3.5,,>$3.50,finalized,2023-04-04 14:32:17,2023-04-04
5,100,1,0,1680618746,0.0,99,0,0,,GAS-23APR10-T3.55,greater,,3.55,,>$3.55,finalized,2023-04-04 14:32:26,2023-04-04
6,100,1,0,1680618751,0.0,99,0,0,,GAS-23APR10-T3.60,greater,,3.6,,>$3.60,finalized,2023-04-04 14:32:31,2023-04-04
7,50,0,0,1680618826,0.0,100,50,0,,GAS-23APR10-T3.35,greater,,3.35,,>$3.35,finalized,2023-04-04 14:33:46,2023-04-04
8,65,0,0,1680618837,0.0,100,35,0,,GAS-23APR10-T3.40,greater,,3.4,,>$3.40,finalized,2023-04-04 14:33:57,2023-04-04
9,99,1,0,1680619079,0.0,99,1,0,,GAS-23APR10-T3.50,greater,,3.5,,>$3.50,finalized,2023-04-04 14:37:59,2023-04-04
10,100,40,0,1680624189,0.0,60,0,0,,GAS-23APR10-T3.60,greater,,3.6,,>$3.60,finalized,2023-04-04 16:03:09,2023-04-04
11,25,0,0,1680625466,0.0,100,75,0,,GAS-23APR10-T3.35,greater,,3.35,,>$3.35,finalized,2023-04-04 16:24:26,2023-04-04
12,35,0,0,1680625476,0.0,100,65,0,,GAS-23APR10-T3.40,greater,,3.4,,>$3.40,finalized,2023-04-04 16:24:36,2023-04-04
13,10,0,0,1680628408,0.0,100,90,0,,GAS-23APR10-T3.30,greater,,3.3,,>$3.30,finalized,2023-04-04 17:13:28,2023-04-04
14,15,0,0,1680628413,0.0,100,85,0,,GAS-23APR10-T3.35,greater,,3.35,,>$3.35,finalized,2023-04-04 17:13:33,2023-04-04
15,30,0,0,1680628420,0.0,100,70,0,,GAS-23APR10-T3.40,greater,,3.4,,>$3.40,finalized,2023-04-04 17:13:40,2023-04-04
16,35,1,0,1680634714,0.0,99,65,0,,GAS-23APR10-T3.50,greater,,3.5,,>$3.50,finalized,2023-04-04 18:58:34,2023-04-04
17,99,1,0,1680635293,0.0,99,1,0,,GAS-23APR10-T3.50,greater,,3.5,,>$3.50,finalized,2023-04-04 19:08:13,2023-04-04
18,5,0,0,1680635973,0.0,100,95,0,,GAS-23APR10-T3.30,greater,,3.3,,>$3.30,finalized,2023-04-04 19:19:33,2023-04-04
19,12,0,0,1680635979,0.0,100,88,0,,GAS-23APR10-T3.35,greater,,3.35,,>$3.35,finalized,2023-04-04 19:19:39,2023-04-04
20,3,0,0,1680659792,0.0,100,97,0,,GAS-23APR10-T3.30,greater,,3.3,,>$3.30,finalized,2023-04-05 01:56:32,2023-04-05
