,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1679409235,0.0,100,1,0,,GAS-23MAR27-T3.40,greater,,3.4,,>$3.40,finalized,2023-03-21 14:33:55,2023-03-21
1,99,1,0,1679409257,0.0,99,1,0,,GAS-23MAR27-T3.40,greater,,3.4,,>$3.40,finalized,2023-03-21 14:34:17,2023-03-21
2,99,0,0,1679409294,0.0,100,1,0,,GAS-23MAR27-T3.25,greater,,3.25,,>$3.25,finalized,2023-03-21 14:34:54,2023-03-21
3,99,0,0,1679409312,0.0,100,1,0,,GAS-23MAR27-T3.30,greater,,3.3,,>$3.30,finalized,2023-03-21 14:35:12,2023-03-21
4,99,0,0,1679409331,0.0,100,1,0,,GAS-23MAR27-T3.35,greater,,3.35,,>$3.35,finalized,2023-03-21 14:35:31,2023-03-21
5,100,1,0,1679409361,0.0,99,0,0,,GAS-23MAR27-T3.50,greater,,3.5,,>$3.50,finalized,2023-03-21 14:36:01,2023-03-21
6,100,1,0,1679409378,0.0,99,0,0,,GAS-23MAR27-T3.55,greater,,3.55,,>$3.55,finalized,2023-03-21 14:36:18,2023-03-21
7,99,0,0,1679409401,0.0,100,1,0,,GAS-23MAR27-T3.45,greater,,3.45,,>$3.45,finalized,2023-03-21 14:36:41,2023-03-21
8,99,1,0,1679409416,0.0,99,1,0,,GAS-23MAR27-T3.45,greater,,3.45,,>$3.45,finalized,2023-03-21 14:36:56,2023-03-21
9,49,0,0,1679410069,0.0,100,51,0,,GAS-23MAR27-T3.25,greater,,3.25,,>$3.25,finalized,2023-03-21 14:47:49,2023-03-21
10,59,0,0,1679410079,0.0,100,41,0,,GAS-23MAR27-T3.30,greater,,3.3,,>$3.30,finalized,2023-03-21 14:47:59,2023-03-21
11,85,0,0,1679410100,0.0,100,15,0,,GAS-23MAR27-T3.35,greater,,3.35,,>$3.35,finalized,2023-03-21 14:48:20,2023-03-21
12,96,1,0,1679410109,0.0,99,4,0,,GAS-23MAR27-T3.40,greater,,3.4,,>$3.40,finalized,2023-03-21 14:48:29,2023-03-21
13,96,4,0,1679410113,0.0,96,4,0,,GAS-23MAR27-T3.40,greater,,3.4,,>$3.40,finalized,2023-03-21 14:48:33,2023-03-21
14,99,10,0,1679410124,0.0,90,1,0,,GAS-23MAR27-T3.45,greater,,3.45,,>$3.45,finalized,2023-03-21 14:48:44,2023-03-21
15,100,21,0,1679410130,0.0,79,0,0,,GAS-23MAR27-T3.50,greater,,3.5,,>$3.50,finalized,2023-03-21 14:48:50,2023-03-21
16,100,51,0,1679410135,0.0,49,0,0,,GAS-23MAR27-T3.55,greater,,3.55,,>$3.55,finalized,2023-03-21 14:48:55,2023-03-21
17,10,0,0,1679412672,0.0,100,90,0,,GAS-23MAR27-T3.25,greater,,3.25,,>$3.25,finalized,2023-03-21 15:31:12,2023-03-21
18,9,0,0,1679412672,0.0,100,91,0,,GAS-23MAR27-T3.25,greater,,3.25,,>$3.25,finalized,2023-03-21 15:31:12,2023-03-21
19,8,0,0,1679412672,0.0,100,92,0,,GAS-23MAR27-T3.25,greater,,3.25,,>$3.25,finalized,2023-03-21 15:31:12,2023-03-21
20,8,4,0,1679412672,0.0,96,92,0,,GAS-23MAR27-T3.25,greater,,3.25,,>$3.25,finalized,2023-03-21 15:31:12,2023-03-21
21,32,0,0,1679412672,0.0,100,68,0,,GAS-23MAR27-T3.30,greater,,3.3,,>$3.30,finalized,2023-03-21 15:31:12,2023-03-21
22,28,0,0,1679412672,0.0,100,72,0,,GAS-23MAR27-T3.30,greater,,3.3,,>$3.30,finalized,2023-03-21 15:31:12,2023-03-21
23,28,22,0,1679412672,0.0,78,72,0,,GAS-23MAR27-T3.30,greater,,3.3,,>$3.30,finalized,2023-03-21 15:31:12,2023-03-21
24,28,24,0,1679412673,0.0,76,72,0,,GAS-23MAR27-T3.30,greater,,3.3,,>$3.30,finalized,2023-03-21 15:31:13,2023-03-21
25,64,0,0,1679412673,0.0,100,36,0,,GAS-23MAR27-T3.35,greater,,3.35,,>$3.35,finalized,2023-03-21 15:31:13,2023-03-21
26,64,56,0,1679412673,0.0,44,36,0,,GAS-23MAR27-T3.35,greater,,3.35,,>$3.35,finalized,2023-03-21 15:31:13,2023-03-21
27,64,60,0,1679412673,0.0,40,36,0,,GAS-23MAR27-T3.35,greater,,3.35,,>$3.35,finalized,2023-03-21 15:31:13,2023-03-21
28,86,4,0,1679412673,0.0,96,14,0,,GAS-23MAR27-T3.40,greater,,3.4,,>$3.40,finalized,2023-03-21 15:31:13,2023-03-21
29,84,4,0,1679412673,0.0,96,16,0,,GAS-23MAR27-T3.40,greater,,3.4,,>$3.40,finalized,2023-03-21 15:31:13,2023-03-21
30,84,78,0,1679412673,0.0,22,16,0,,GAS-23MAR27-T3.40,greater,,3.4,,>$3.40,finalized,2023-03-21 15:31:13,2023-03-21
31,84,80,0,1679412673,0.0,20,16,0,,GAS-23MAR27-T3.40,greater,,3.4,,>$3.40,finalized,2023-03-21 15:31:13,2023-03-21
32,99,96,0,1679412673,0.0,4,1,0,,GAS-23MAR27-T3.45,greater,,3.45,,>$3.45,finalized,2023-03-21 15:31:13,2023-03-21
33,7,4,0,1679413756,0.0,96,93,0,,GAS-23MAR27-T3.25,greater,,3.25,,>$3.25,finalized,2023-03-21 15:49:16,2023-03-21
34,30,24,0,1679413756,0.0,76,70,0,,GAS-23MAR27-T3.30,greater,,3.3,,>$3.30,finalized,2023-03-21 15:49:16,2023-03-21
35,30,0,0,1679413756,0.0,100,70,0,,GAS-23MAR27-T3.30,greater,,3.3,,>$3.30,finalized,2023-03-21 15:49:16,2023-03-21
36,28,0,0,1679413756,0.0,100,72,0,,GAS-23MAR27-T3.30,greater,,3.3,,>$3.30,finalized,2023-03-21 15:49:16,2023-03-21
