,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,98,0,0,1674596610,0.0,100,2,0,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-01-24 21:43:30,2023-01-24
1,99,0,0,1674596630,0.0,100,1,0,,GASMAX-23DEC18-T4.50,greater,,4.5,,>$4.50,active,2023-01-24 21:43:50,2023-01-24
2,100,2,0,1674596649,0.0,98,0,0,,GASMAX-23DEC18-T5.50,greater,,5.5,,>$5.50,active,2023-01-24 21:44:09,2023-01-24
3,100,1,0,1674596660,0.0,99,0,0,,GASMAX-23DEC18-T5.00,greater,,5.0,,>$5.00,active,2023-01-24 21:44:20,2023-01-24
4,99,1,0,1674596684,0.0,99,1,0,,GASMAX-23DEC18-T4.50,greater,,4.5,,>$4.50,active,2023-01-24 21:44:44,2023-01-24
5,98,1,0,1674596720,0.0,99,2,0,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-01-24 21:45:20,2023-01-24
6,69,1,0,1674603277,0.0,99,31,0,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-01-24 23:34:37,2023-01-24
7,79,1,0,1674603292,0.0,99,21,0,,GASMAX-23DEC18-T4.50,greater,,4.5,,>$4.50,active,2023-01-24 23:34:52,2023-01-24
8,89,1,0,1674603303,0.0,99,11,0,,GASMAX-23DEC18-T5.00,greater,,5.0,,>$5.00,active,2023-01-24 23:35:03,2023-01-24
9,96,2,0,1674603314,0.0,98,4,0,,GASMAX-23DEC18-T5.50,greater,,5.5,,>$5.50,active,2023-01-24 23:35:14,2023-01-24
10,79,4,0,1674603329,0.0,96,21,0,,GASMAX-23DEC18-T4.50,greater,,4.5,,>$4.50,active,2023-01-24 23:35:29,2023-01-24
11,89,8,0,1674603345,0.0,92,11,0,,GASMAX-23DEC18-T5.00,greater,,5.0,,>$5.00,active,2023-01-24 23:35:45,2023-01-24
12,96,16,0,1674603356,0.0,84,4,0,,GASMAX-23DEC18-T5.50,greater,,5.5,,>$5.50,active,2023-01-24 23:35:56,2023-01-24
13,49,1,0,1674911066,0.0,99,51,0,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-01-28 13:04:26,2023-01-28
14,79,76,0,1675265087,0.0,24,21,0,,GASMAX-23DEC18-T4.50,greater,,4.5,,>$4.50,active,2023-02-01 15:24:47,2023-02-01
15,79,78,0,1675265087,0.0,22,21,0,,GASMAX-23DEC18-T4.50,greater,,4.5,,>$4.50,active,2023-02-01 15:24:47,2023-02-01
16,89,87,0,1675265088,0.0,13,11,0,,GASMAX-23DEC18-T5.00,greater,,5.0,,>$5.00,active,2023-02-01 15:24:48,2023-02-01
17,89,88,0,1675265088,0.0,12,11,0,,GASMAX-23DEC18-T5.00,greater,,5.0,,>$5.00,active,2023-02-01 15:24:48,2023-02-01
18,96,92,0,1675265088,0.0,8,4,0,,GASMAX-23DEC18-T5.50,greater,,5.5,,>$5.50,active,2023-02-01 15:24:48,2023-02-01
19,96,93,0,1675265088,0.0,7,4,0,,GASMAX-23DEC18-T5.50,greater,,5.5,,>$5.50,active,2023-02-01 15:24:48,2023-02-01
20,96,94,0,1675265088,0.0,6,4,0,,GASMAX-23DEC18-T5.50,greater,,5.5,,>$5.50,active,2023-02-01 15:24:48,2023-02-01
21,49,1,13,1675265089,13.0,99,51,51,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-02-01 15:24:49,2023-02-01
22,49,1,36,1675265089,23.0,99,51,51,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-02-01 15:24:49,2023-02-01
23,49,1,58,1675265112,22.0,99,51,51,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-02-01 15:25:12,2023-02-01
24,49,1,75,1675265112,17.0,99,51,51,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-02-01 15:25:12,2023-02-01
25,49,1,98,1675265112,23.0,99,51,51,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-02-01 15:25:12,2023-02-01
26,79,76,0,1675265112,0.0,24,21,0,,GASMAX-23DEC18-T4.50,greater,,4.5,,>$4.50,active,2023-02-01 15:25:12,2023-02-01
27,89,87,0,1675265112,0.0,13,11,0,,GASMAX-23DEC18-T5.00,greater,,5.0,,>$5.00,active,2023-02-01 15:25:12,2023-02-01
28,89,88,0,1675265112,0.0,12,11,0,,GASMAX-23DEC18-T5.00,greater,,5.0,,>$5.00,active,2023-02-01 15:25:12,2023-02-01
29,96,93,0,1675265112,0.0,7,4,0,,GASMAX-23DEC18-T5.50,greater,,5.5,,>$5.50,active,2023-02-01 15:25:12,2023-02-01
30,96,94,0,1675265112,0.0,6,4,0,,GASMAX-23DEC18-T5.50,greater,,5.5,,>$5.50,active,2023-02-01 15:25:12,2023-02-01
31,79,77,0,1675265113,0.0,23,21,0,,GASMAX-23DEC18-T4.50,greater,,4.5,,>$4.50,active,2023-02-01 15:25:13,2023-02-01
32,59,52,100,1675265146,2.0,48,41,51,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-02-01 15:25:46,2023-02-01
33,79,75,0,1675265146,0.0,25,21,0,,GASMAX-23DEC18-T4.50,greater,,4.5,,>$4.50,active,2023-02-01 15:25:46,2023-02-01
34,89,87,0,1675265146,0.0,13,11,0,,GASMAX-23DEC18-T5.00,greater,,5.0,,>$5.00,active,2023-02-01 15:25:46,2023-02-01
35,96,92,0,1675265146,0.0,8,4,0,,GASMAX-23DEC18-T5.50,greater,,5.5,,>$5.50,active,2023-02-01 15:25:46,2023-02-01
36,95,92,0,1675265146,0.0,8,5,0,,GASMAX-23DEC18-T5.50,greater,,5.5,,>$5.50,active,2023-02-01 15:25:46,2023-02-01
37,95,93,0,1675265146,0.0,7,5,0,,GASMAX-23DEC18-T5.50,greater,,5.5,,>$5.50,active,2023-02-01 15:25:46,2023-02-01
38,59,1,159,1675265167,59.0,99,41,50,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-02-01 15:26:07,2023-02-01
39,79,4,86,1675265173,86.0,96,21,27,,GASMAX-23DEC18-T4.50,greater,,4.5,,>$4.50,active,2023-02-01 15:26:13,2023-02-01
40,89,8,135,1675265189,135.0,92,11,15,,GASMAX-23DEC18-T5.00,greater,,5.0,,>$5.00,active,2023-02-01 15:26:29,2023-02-01
41,59,5,159,1675265273,0.0,95,41,50,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-02-01 15:27:53,2023-02-01
42,59,1,159,1675265277,0.0,99,41,50,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-02-01 15:27:57,2023-02-01
43,59,5,159,1675265286,0.0,95,41,50,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-02-01 15:28:06,2023-02-01
44,79,45,86,1675265297,0.0,55,21,27,,GASMAX-23DEC18-T4.50,greater,,4.5,,>$4.50,active,2023-02-01 15:28:17,2023-02-01
45,60,5,159,1675265304,0.0,95,40,50,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-02-01 15:28:24,2023-02-01
46,61,5,159,1675265304,0.0,95,39,50,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-02-01 15:28:24,2023-02-01
47,69,5,159,1675265304,0.0,95,31,50,,GASMAX-23DEC18-T4.00,greater,,4.0,,>$4.00,active,2023-02-01 15:28:24,2023-02-01
