,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1674596746,0.0,100,1,0,,GASMIN-23DEC18-T3.00,less,3.0,,,<$3.00,active,2023-01-24 21:45:46,2023-01-24
1,99,1,0,1674596754,0.0,99,1,0,,GASMIN-23DEC18-T3.00,less,3.0,,,<$3.00,active,2023-01-24 21:45:54,2023-01-24
2,99,0,0,1674596766,0.0,100,1,0,,GASMIN-23DEC18-T2.75,less,2.75,,,<$2.75,active,2023-01-24 21:46:06,2023-01-24
3,99,1,0,1674596798,0.0,99,1,0,,GASMIN-23DEC18-T2.75,less,2.75,,,<$2.75,active,2023-01-24 21:46:38,2023-01-24
4,100,1,0,1674596810,0.0,99,0,0,,GASMIN-23DEC18-T2.50,less,2.5,,,<$2.50,active,2023-01-24 21:46:50,2023-01-24
5,100,21,0,1674603407,0.0,79,0,0,,GASMIN-23DEC18-T2.50,less,2.5,,,<$2.50,active,2023-01-24 23:36:47,2023-01-24
6,99,11,0,1674603424,0.0,89,1,0,,GASMIN-23DEC18-T2.75,less,2.75,,,<$2.75,active,2023-01-24 23:37:04,2023-01-24
7,99,6,0,1674603432,0.0,94,1,0,,GASMIN-23DEC18-T3.00,less,3.0,,,<$3.00,active,2023-01-24 23:37:12,2023-01-24
8,98,6,0,1674603450,0.0,94,2,0,,GASMIN-23DEC18-T3.00,less,3.0,,,<$3.00,active,2023-01-24 23:37:30,2023-01-24
9,99,6,0,1674650325,0.0,94,1,0,,GASMIN-23DEC18-T3.00,less,3.0,,,<$3.00,active,2023-01-25 12:38:45,2023-01-25
10,90,6,0,1674947784,0.0,94,10,0,,GASMIN-23DEC18-T3.00,less,3.0,,,<$3.00,active,2023-01-28 23:16:24,2023-01-28
11,93,21,0,1675265088,0.0,79,7,0,,GASMIN-23DEC18-T2.50,less,2.5,,,<$2.50,active,2023-02-01 15:24:48,2023-02-01
12,91,21,0,1675265088,0.0,79,9,0,,GASMIN-23DEC18-T2.50,less,2.5,,,<$2.50,active,2023-02-01 15:24:48,2023-02-01
13,91,87,0,1675265088,0.0,13,9,0,,GASMIN-23DEC18-T2.50,less,2.5,,,<$2.50,active,2023-02-01 15:24:48,2023-02-01
14,91,88,0,1675265088,0.0,12,9,0,,GASMIN-23DEC18-T2.50,less,2.5,,,<$2.50,active,2023-02-01 15:24:48,2023-02-01
15,79,11,0,1675265088,0.0,89,21,0,,GASMIN-23DEC18-T2.75,less,2.75,,,<$2.75,active,2023-02-01 15:24:48,2023-02-01
16,78,11,0,1675265088,0.0,89,22,0,,GASMIN-23DEC18-T2.75,less,2.75,,,<$2.75,active,2023-02-01 15:24:48,2023-02-01
17,78,71,0,1675265088,0.0,29,22,0,,GASMIN-23DEC18-T2.75,less,2.75,,,<$2.75,active,2023-02-01 15:24:48,2023-02-01
18,78,72,0,1675265088,0.0,28,22,0,,GASMIN-23DEC18-T2.75,less,2.75,,,<$2.75,active,2023-02-01 15:24:48,2023-02-01
19,59,6,0,1675265088,0.0,94,41,0,,GASMIN-23DEC18-T3.00,less,3.0,,,<$3.00,active,2023-02-01 15:24:48,2023-02-01
20,58,6,0,1675265089,0.0,94,42,0,,GASMIN-23DEC18-T3.00,less,3.0,,,<$3.00,active,2023-02-01 15:24:49,2023-02-01
21,58,50,0,1675265089,0.0,50,42,0,,GASMIN-23DEC18-T3.00,less,3.0,,,<$3.00,active,2023-02-01 15:24:49,2023-02-01
22,58,51,0,1675265089,0.0,49,42,0,,GASMIN-23DEC18-T3.00,less,3.0,,,<$3.00,active,2023-02-01 15:24:49,2023-02-01
