,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1659452825,0.0,99,0,0,,GBP-22AUG03-T1.220,greater,,1.22,,>1.220,finalized,2022-08-02 15:07:05,2022-08-02
1,99,1,0,1659452830,0.0,99,1,0,,GBP-22AUG03-T1.220,greater,,1.22,,>1.220,finalized,2022-08-02 15:07:10,2022-08-02
2,94,1,0,1659452837,0.0,99,6,0,,GBP-22AUG03-T1.220,greater,,1.22,,>1.220,finalized,2022-08-02 15:07:17,2022-08-02
3,94,6,0,1659452842,0.0,94,6,0,,GBP-22AUG03-T1.220,greater,,1.22,,>1.220,finalized,2022-08-02 15:07:22,2022-08-02
4,94,12,0,1659452846,0.0,88,6,0,,GBP-22AUG03-T1.220,greater,,1.22,,>1.220,finalized,2022-08-02 15:07:26,2022-08-02
5,88,12,0,1659452852,0.0,88,12,0,,GBP-22AUG03-T1.220,greater,,1.22,,>1.220,finalized,2022-08-02 15:07:32,2022-08-02
6,99,0,0,1659452862,0.0,100,1,0,,GBP-22AUG03-T1.225,greater,,1.225,,>1.225,finalized,2022-08-02 15:07:42,2022-08-02
7,99,1,0,1659452868,0.0,99,1,0,,GBP-22AUG03-T1.225,greater,,1.225,,>1.225,finalized,2022-08-02 15:07:48,2022-08-02
8,99,6,0,1659452872,0.0,94,1,0,,GBP-22AUG03-T1.225,greater,,1.225,,>1.225,finalized,2022-08-02 15:07:52,2022-08-02
9,99,12,0,1659452877,0.0,88,1,0,,GBP-22AUG03-T1.225,greater,,1.225,,>1.225,finalized,2022-08-02 15:07:57,2022-08-02
10,99,22,0,1659452888,0.0,78,1,0,,GBP-22AUG03-T1.225,greater,,1.225,,>1.225,finalized,2022-08-02 15:08:08,2022-08-02
11,100,1,0,1659452904,0.0,99,0,0,,GBP-22AUG03-T1.230,greater,,1.23,,>1.230,finalized,2022-08-02 15:08:24,2022-08-02
12,100,12,0,1659452911,0.0,88,0,0,,GBP-22AUG03-T1.230,greater,,1.23,,>1.230,finalized,2022-08-02 15:08:31,2022-08-02
13,100,12,0,1659452915,0.0,88,0,0,,GBP-22AUG03-T1.230,greater,,1.23,,>1.230,finalized,2022-08-02 15:08:35,2022-08-02
14,100,12,0,1659452918,0.0,88,0,0,,GBP-22AUG03-T1.230,greater,,1.23,,>1.230,finalized,2022-08-02 15:08:38,2022-08-02
