,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,33,0,0,1658326487,0.0,100,67,0,,GBP-22JUL21-T1.195,greater,,1.195,,>1.195,finalized,2022-07-20 14:14:47,2022-07-20
1,32,0,0,1658326487,0.0,100,68,0,,GBP-22JUL21-T1.195,greater,,1.195,,>1.195,finalized,2022-07-20 14:14:47,2022-07-20
2,31,0,0,1658326487,0.0,100,69,0,,GBP-22JUL21-T1.195,greater,,1.195,,>1.195,finalized,2022-07-20 14:14:47,2022-07-20
3,31,27,0,1658326487,0.0,73,69,0,,GBP-22JUL21-T1.195,greater,,1.195,,>1.195,finalized,2022-07-20 14:14:47,2022-07-20
4,31,27,0,1658326488,0.0,73,69,0,,GBP-22JUL21-T1.195,greater,,1.195,,>1.195,finalized,2022-07-20 14:14:48,2022-07-20
5,31,27,0,1658326488,0.0,73,69,0,,GBP-22JUL21-T1.195,greater,,1.195,,>1.195,finalized,2022-07-20 14:14:48,2022-07-20
6,68,0,0,1658326490,0.0,100,32,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:14:50,2022-07-20
7,67,0,0,1658326490,0.0,100,33,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:14:50,2022-07-20
8,66,0,0,1658326490,0.0,100,34,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:14:50,2022-07-20
9,66,61,0,1658326490,0.0,39,34,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:14:50,2022-07-20
10,66,61,0,1658326490,0.0,39,34,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:14:50,2022-07-20
11,66,61,0,1658326490,0.0,39,34,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:14:50,2022-07-20
12,15,0,0,1658326491,0.0,100,85,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:14:51,2022-07-20
13,14,0,0,1658326491,0.0,100,86,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:14:51,2022-07-20
14,13,0,0,1658326491,0.0,100,87,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:14:51,2022-07-20
15,13,9,0,1658326491,0.0,91,87,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:14:51,2022-07-20
16,13,9,0,1658326491,0.0,91,87,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:14:51,2022-07-20
17,13,9,0,1658326491,0.0,91,87,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:14:51,2022-07-20
18,13,9,0,1658326730,0.0,91,87,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:18:50,2022-07-20
19,13,9,0,1658326730,0.0,91,87,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:18:50,2022-07-20
20,32,27,0,1658326730,0.0,73,68,0,,GBP-22JUL21-T1.195,greater,,1.195,,>1.195,finalized,2022-07-20 14:18:50,2022-07-20
21,67,61,0,1658326730,0.0,39,33,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:18:50,2022-07-20
22,67,61,0,1658326730,0.0,39,33,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:18:50,2022-07-20
23,67,61,0,1658326730,0.0,39,33,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:18:50,2022-07-20
24,67,62,0,1658326730,0.0,38,33,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:18:50,2022-07-20
25,67,62,0,1658326730,0.0,38,33,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:18:50,2022-07-20
26,32,27,0,1658326731,0.0,73,68,0,,GBP-22JUL21-T1.195,greater,,1.195,,>1.195,finalized,2022-07-20 14:18:51,2022-07-20
27,32,27,0,1658326731,0.0,73,68,0,,GBP-22JUL21-T1.195,greater,,1.195,,>1.195,finalized,2022-07-20 14:18:51,2022-07-20
28,32,27,0,1658326731,0.0,73,68,0,,GBP-22JUL21-T1.195,greater,,1.195,,>1.195,finalized,2022-07-20 14:18:51,2022-07-20
29,13,9,0,1658326854,0.0,91,87,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:20:54,2022-07-20
30,13,9,0,1658326854,0.0,91,87,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:20:54,2022-07-20
31,67,62,0,1658326854,0.0,38,33,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:20:54,2022-07-20
32,67,61,0,1658326854,0.0,39,33,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:20:54,2022-07-20
33,67,61,0,1658326854,0.0,39,33,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:20:54,2022-07-20
34,66,61,0,1658326854,0.0,39,34,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:20:54,2022-07-20
35,66,61,0,1658326854,0.0,39,34,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:20:54,2022-07-20
36,13,9,0,1658327090,0.0,91,87,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:24:50,2022-07-20
37,14,9,0,1658327090,0.0,91,86,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:24:50,2022-07-20
38,14,9,0,1658327090,0.0,91,86,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:24:50,2022-07-20
39,14,9,0,1658327090,0.0,91,86,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:24:50,2022-07-20
40,14,10,0,1658327090,0.0,90,86,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:24:50,2022-07-20
41,14,10,0,1658327090,0.0,90,86,0,,GBP-22JUL21-T1.190,greater,,1.19,,>1.190,finalized,2022-07-20 14:24:50,2022-07-20
42,66,61,0,1658327093,0.0,39,34,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:24:53,2022-07-20
43,66,61,0,1658327093,0.0,39,34,0,,GBP-22JUL21-T1.200,greater,,1.2,,>1.200,finalized,2022-07-20 14:24:53,2022-07-20
44,32,27,0,1658327094,0.0,73,68,0,,GBP-22JUL21-T1.195,greater,,1.195,,>1.195,finalized,2022-07-20 14:24:54,2022-07-20
45,34,27,0,1658327094,0.0,73,66,0,,GBP-22JUL21-T1.195,greater,,1.195,,>1.195,finalized,2022-07-20 14:24:54,2022-07-20
46,34,27,0,1658327094,0.0,73,66,0,,GBP-22JUL21-T1.195,greater,,1.195,,>1.195,finalized,2022-07-20 14:24:54,2022-07-20
47,34,27,0,1658327094,0.0,73,66,0,,GBP-22JUL21-T1.195,greater,,1.195,,>1.195,finalized,2022-07-20 14:24:54,2022-07-20
