,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1651500442,0.0,100,1,0,,GBP-22MAY03-T1.26,greater,,1.26,,>1.26,finalized,2022-05-02 14:07:22,2022-05-02
1,98,0,0,1651500442,0.0,100,2,0,,GBP-22MAY03-T1.26,greater,,1.26,,>1.26,finalized,2022-05-02 14:07:22,2022-05-02
2,97,0,0,1651500442,0.0,100,3,0,,GBP-22MAY03-T1.26,greater,,1.26,,>1.26,finalized,2022-05-02 14:07:22,2022-05-02
3,96,0,0,1651500442,0.0,100,4,0,,GBP-22MAY03-T1.26,greater,,1.26,,>1.26,finalized,2022-05-02 14:07:22,2022-05-02
4,95,0,0,1651500442,0.0,100,5,0,,GBP-22MAY03-T1.26,greater,,1.26,,>1.26,finalized,2022-05-02 14:07:22,2022-05-02
5,95,92,0,1651500442,0.0,8,5,0,,GBP-22MAY03-T1.26,greater,,1.26,,>1.26,finalized,2022-05-02 14:07:22,2022-05-02
6,95,92,0,1651500442,0.0,8,5,0,,GBP-22MAY03-T1.26,greater,,1.26,,>1.26,finalized,2022-05-02 14:07:22,2022-05-02
7,95,92,0,1651500442,0.0,8,5,0,,GBP-22MAY03-T1.26,greater,,1.26,,>1.26,finalized,2022-05-02 14:07:22,2022-05-02
8,95,92,0,1651500442,0.0,8,5,0,,GBP-22MAY03-T1.26,greater,,1.26,,>1.26,finalized,2022-05-02 14:07:22,2022-05-02
9,95,92,0,1651500442,0.0,8,5,0,,GBP-22MAY03-T1.26,greater,,1.26,,>1.26,finalized,2022-05-02 14:07:22,2022-05-02
10,38,0,0,1651500443,0.0,100,62,0,,GBP-22MAY03-B1.255,between,1.26,1.25,,1.25-1.26,finalized,2022-05-02 14:07:23,2022-05-02
11,37,0,0,1651500443,0.0,100,63,0,,GBP-22MAY03-B1.255,between,1.26,1.25,,1.25-1.26,finalized,2022-05-02 14:07:23,2022-05-02
12,36,0,0,1651500443,0.0,100,64,0,,GBP-22MAY03-B1.255,between,1.26,1.25,,1.25-1.26,finalized,2022-05-02 14:07:23,2022-05-02
13,35,0,0,1651500443,0.0,100,65,0,,GBP-22MAY03-B1.255,between,1.26,1.25,,1.25-1.26,finalized,2022-05-02 14:07:23,2022-05-02
14,34,0,0,1651500443,0.0,100,66,0,,GBP-22MAY03-B1.255,between,1.26,1.25,,1.25-1.26,finalized,2022-05-02 14:07:23,2022-05-02
15,34,30,0,1651500443,0.0,70,66,0,,GBP-22MAY03-B1.255,between,1.26,1.25,,1.25-1.26,finalized,2022-05-02 14:07:23,2022-05-02
16,34,30,0,1651500443,0.0,70,66,0,,GBP-22MAY03-B1.255,between,1.26,1.25,,1.25-1.26,finalized,2022-05-02 14:07:23,2022-05-02
17,34,30,0,1651500443,0.0,70,66,0,,GBP-22MAY03-B1.255,between,1.26,1.25,,1.25-1.26,finalized,2022-05-02 14:07:23,2022-05-02
18,34,30,0,1651500443,0.0,70,66,0,,GBP-22MAY03-B1.255,between,1.26,1.25,,1.25-1.26,finalized,2022-05-02 14:07:23,2022-05-02
19,34,30,0,1651500443,0.0,70,66,0,,GBP-22MAY03-B1.255,between,1.26,1.25,,1.25-1.26,finalized,2022-05-02 14:07:23,2022-05-02
20,80,0,0,1651500443,0.0,100,20,0,,GBP-22MAY03-T1.25,less,1.25,,,<1.25,finalized,2022-05-02 14:07:23,2022-05-02
21,79,0,0,1651500443,0.0,100,21,0,,GBP-22MAY03-T1.25,less,1.25,,,<1.25,finalized,2022-05-02 14:07:23,2022-05-02
22,78,0,0,1651500443,0.0,100,22,0,,GBP-22MAY03-T1.25,less,1.25,,,<1.25,finalized,2022-05-02 14:07:23,2022-05-02
23,77,0,0,1651500443,0.0,100,23,0,,GBP-22MAY03-T1.25,less,1.25,,,<1.25,finalized,2022-05-02 14:07:23,2022-05-02
24,76,0,0,1651500443,0.0,100,24,0,,GBP-22MAY03-T1.25,less,1.25,,,<1.25,finalized,2022-05-02 14:07:23,2022-05-02
25,76,72,0,1651500443,0.0,28,24,0,,GBP-22MAY03-T1.25,less,1.25,,,<1.25,finalized,2022-05-02 14:07:23,2022-05-02
26,76,72,0,1651500443,0.0,28,24,0,,GBP-22MAY03-T1.25,less,1.25,,,<1.25,finalized,2022-05-02 14:07:23,2022-05-02
27,76,72,0,1651500443,0.0,28,24,0,,GBP-22MAY03-T1.25,less,1.25,,,<1.25,finalized,2022-05-02 14:07:23,2022-05-02
28,76,72,0,1651500443,0.0,28,24,0,,GBP-22MAY03-T1.25,less,1.25,,,<1.25,finalized,2022-05-02 14:07:23,2022-05-02
