,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,18,0,0,1628251307,0.0,100,82,0,,GDP-21SEP30-T6.0,greater,,6.0,,>6%,finalized,2021-08-06 12:01:47,2021-08-06
1,17,0,0,1628251307,0.0,100,83,0,,GDP-21SEP30-T6.0,greater,,6.0,,>6%,finalized,2021-08-06 12:01:47,2021-08-06
2,16,0,0,1628251307,0.0,100,84,0,,GDP-21SEP30-T6.0,greater,,6.0,,>6%,finalized,2021-08-06 12:01:47,2021-08-06
3,16,14,0,1628251307,0.0,86,84,0,,GDP-21SEP30-T6.0,greater,,6.0,,>6%,finalized,2021-08-06 12:01:47,2021-08-06
4,16,14,0,1628251307,0.0,86,84,0,,GDP-21SEP30-T6.0,greater,,6.0,,>6%,finalized,2021-08-06 12:01:47,2021-08-06
5,16,14,0,1628251307,0.0,86,84,0,,GDP-21SEP30-T6.0,greater,,6.0,,>6%,finalized,2021-08-06 12:01:47,2021-08-06
6,17,16,154,1628261650,154.0,84,83,84,,GDP-21SEP30-T6.0,greater,,6.0,,>6%,finalized,2021-08-06 14:54:10,2021-08-06
7,17,16,154,1628261704,0.0,84,83,84,,GDP-21SEP30-T6.0,greater,,6.0,,>6%,finalized,2021-08-06 14:55:04,2021-08-06
8,17,16,154,1628261704,0.0,84,83,84,,GDP-21SEP30-T6.0,greater,,6.0,,>6%,finalized,2021-08-06 14:55:04,2021-08-06
9,17,16,154,1628261704,0.0,84,83,84,,GDP-21SEP30-T6.0,greater,,6.0,,>6%,finalized,2021-08-06 14:55:04,2021-08-06
10,17,16,154,1628261704,0.0,84,83,84,,GDP-21SEP30-T6.0,greater,,6.0,,>6%,finalized,2021-08-06 14:55:04,2021-08-06
11,17,16,154,1628261704,0.0,84,83,84,,GDP-21SEP30-T6.0,greater,,6.0,,>6%,finalized,2021-08-06 14:55:04,2021-08-06
