,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,66,0,0,1647960862,0.0,100,34,0,,GDP-22JUN30-T3.0,greater,,3.0,,>3.0%,finalized,2022-03-22 14:54:22,2022-03-22
1,65,0,0,1647960862,0.0,100,35,0,,GDP-22JUN30-T3.0,greater,,3.0,,>3.0%,finalized,2022-03-22 14:54:22,2022-03-22
2,64,0,0,1647960862,0.0,100,36,0,,GDP-22JUN30-T3.0,greater,,3.0,,>3.0%,finalized,2022-03-22 14:54:22,2022-03-22
3,63,0,0,1647960862,0.0,100,37,0,,GDP-22JUN30-T3.0,greater,,3.0,,>3.0%,finalized,2022-03-22 14:54:22,2022-03-22
4,62,0,0,1647960862,0.0,100,38,0,,GDP-22JUN30-T3.0,greater,,3.0,,>3.0%,finalized,2022-03-22 14:54:22,2022-03-22
5,62,58,0,1647960862,0.0,42,38,0,,GDP-22JUN30-T3.0,greater,,3.0,,>3.0%,finalized,2022-03-22 14:54:22,2022-03-22
6,36,0,0,1647960863,0.0,100,64,0,,GDP-22JUN30-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-22 14:54:23,2022-03-22
7,35,0,0,1647960863,0.0,100,65,0,,GDP-22JUN30-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-22 14:54:23,2022-03-22
8,34,0,0,1647960863,0.0,100,66,0,,GDP-22JUN30-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-22 14:54:23,2022-03-22
9,33,0,0,1647960863,0.0,100,67,0,,GDP-22JUN30-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-22 14:54:23,2022-03-22
10,62,58,0,1647960863,0.0,42,38,0,,GDP-22JUN30-T3.0,greater,,3.0,,>3.0%,finalized,2022-03-22 14:54:23,2022-03-22
11,62,58,0,1647960863,0.0,42,38,0,,GDP-22JUN30-T3.0,greater,,3.0,,>3.0%,finalized,2022-03-22 14:54:23,2022-03-22
12,62,58,0,1647960863,0.0,42,38,0,,GDP-22JUN30-T3.0,greater,,3.0,,>3.0%,finalized,2022-03-22 14:54:23,2022-03-22
13,62,58,0,1647960863,0.0,42,38,0,,GDP-22JUN30-T3.0,greater,,3.0,,>3.0%,finalized,2022-03-22 14:54:23,2022-03-22
14,19,0,0,1647960864,0.0,100,81,0,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 14:54:24,2022-03-22
15,18,0,0,1647960864,0.0,100,82,0,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 14:54:24,2022-03-22
16,17,0,0,1647960864,0.0,100,83,0,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 14:54:24,2022-03-22
17,16,0,0,1647960864,0.0,100,84,0,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 14:54:24,2022-03-22
18,15,0,0,1647960864,0.0,100,85,0,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 14:54:24,2022-03-22
19,15,11,0,1647960864,0.0,89,85,0,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 14:54:24,2022-03-22
20,15,11,0,1647960864,0.0,89,85,0,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 14:54:24,2022-03-22
21,15,11,0,1647960864,0.0,89,85,0,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 14:54:24,2022-03-22
22,32,0,0,1647960864,0.0,100,68,0,,GDP-22JUN30-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-22 14:54:24,2022-03-22
23,32,28,0,1647960864,0.0,72,68,0,,GDP-22JUN30-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-22 14:54:24,2022-03-22
24,32,28,0,1647960864,0.0,72,68,0,,GDP-22JUN30-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-22 14:54:24,2022-03-22
25,32,28,0,1647960864,0.0,72,68,0,,GDP-22JUN30-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-22 14:54:24,2022-03-22
26,32,28,0,1647960864,0.0,72,68,0,,GDP-22JUN30-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-22 14:54:24,2022-03-22
27,32,28,0,1647960864,0.0,72,68,0,,GDP-22JUN30-T2.0,greater,,2.0,,>2.0%,finalized,2022-03-22 14:54:24,2022-03-22
28,15,11,0,1647960865,0.0,89,85,0,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 14:54:25,2022-03-22
29,15,11,0,1647960865,0.0,89,85,0,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 14:54:25,2022-03-22
30,15,11,50,1647964155,50.0,89,85,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 15:49:15,2022-03-22
31,15,11,50,1647964163,0.0,89,85,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 15:49:23,2022-03-22
32,15,11,50,1647964163,0.0,89,85,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 15:49:23,2022-03-22
33,16,11,50,1647964163,0.0,89,84,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 15:49:23,2022-03-22
34,16,11,50,1647964163,0.0,89,84,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 15:49:23,2022-03-22
35,16,11,50,1647964163,0.0,89,84,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 15:49:23,2022-03-22
36,16,11,50,1647964163,0.0,89,84,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 15:49:23,2022-03-22
37,16,11,50,1647964163,0.0,89,84,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 15:49:23,2022-03-22
38,16,11,50,1647964164,0.0,89,84,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 15:49:24,2022-03-22
39,15,11,50,1647964164,0.0,89,85,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 15:49:24,2022-03-22
40,14,11,50,1647964164,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 15:49:24,2022-03-22
41,14,11,50,1647964164,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 15:49:24,2022-03-22
42,14,11,50,1647964164,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-22 15:49:24,2022-03-22
43,14,11,50,1648262165,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 02:36:05,2022-03-26
44,14,11,50,1648262165,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 02:36:05,2022-03-26
45,14,11,50,1648262165,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 02:36:05,2022-03-26
46,14,11,50,1648262166,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 02:36:06,2022-03-26
47,14,11,50,1648262166,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 02:36:06,2022-03-26
48,14,11,50,1648262166,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 02:36:06,2022-03-26
49,14,11,50,1648262166,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 02:36:06,2022-03-26
50,14,11,50,1648262166,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 02:36:06,2022-03-26
51,14,11,50,1648262166,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 02:36:06,2022-03-26
52,14,11,50,1648266918,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 03:55:18,2022-03-26
53,14,11,50,1648266918,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 03:55:18,2022-03-26
54,14,11,50,1648266918,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 03:55:18,2022-03-26
55,14,11,50,1648297081,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 12:18:01,2022-03-26
56,14,11,50,1648297082,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 12:18:02,2022-03-26
57,14,11,50,1648297082,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-26 12:18:02,2022-03-26
58,14,11,50,1648346114,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-27 01:55:14,2022-03-27
59,14,11,50,1648346114,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-27 01:55:14,2022-03-27
60,14,11,50,1648346114,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-27 01:55:14,2022-03-27
61,14,11,50,1648383335,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-27 12:15:35,2022-03-27
62,14,11,50,1648383335,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-27 12:15:35,2022-03-27
63,14,11,50,1648383335,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-27 12:15:35,2022-03-27
64,14,11,50,1648391445,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-27 14:30:45,2022-03-27
65,14,11,50,1648391445,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-27 14:30:45,2022-03-27
66,14,11,50,1648391445,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-27 14:30:45,2022-03-27
67,14,11,50,1648391445,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-27 14:30:45,2022-03-27
68,14,11,50,1648391445,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-27 14:30:45,2022-03-27
69,14,11,50,1648391445,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-27 14:30:45,2022-03-27
70,14,11,50,1648391445,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-27 14:30:45,2022-03-27
71,14,11,50,1648391445,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-27 14:30:45,2022-03-27
72,14,11,50,1648439356,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 03:49:16,2022-03-28
73,14,11,50,1648439356,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 03:49:16,2022-03-28
74,14,11,50,1648439357,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 03:49:17,2022-03-28
75,14,11,50,1648439357,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 03:49:17,2022-03-28
76,14,11,50,1648439357,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 03:49:17,2022-03-28
77,14,11,50,1648439357,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 03:49:17,2022-03-28
78,14,11,50,1648439358,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 03:49:18,2022-03-28
79,14,11,50,1648439358,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 03:49:18,2022-03-28
80,14,11,50,1648439889,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 03:58:09,2022-03-28
81,14,11,50,1648439889,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 03:58:09,2022-03-28
82,14,11,50,1648439890,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 03:58:10,2022-03-28
83,14,11,50,1648469811,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 12:16:51,2022-03-28
84,14,11,50,1648469811,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 12:16:51,2022-03-28
85,14,11,50,1648469811,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 12:16:51,2022-03-28
86,14,11,50,1648469811,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 12:16:51,2022-03-28
87,14,11,50,1648469811,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 12:16:51,2022-03-28
88,14,11,50,1648469811,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 12:16:51,2022-03-28
89,14,11,50,1648469812,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 12:16:52,2022-03-28
90,14,11,50,1648469812,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 12:16:52,2022-03-28
91,14,11,50,1648469812,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 12:16:52,2022-03-28
92,14,11,50,1648469812,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 12:16:52,2022-03-28
93,14,11,50,1648469812,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 12:16:52,2022-03-28
94,14,11,50,1648477673,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 14:27:53,2022-03-28
95,14,11,50,1648477673,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 14:27:53,2022-03-28
96,14,11,50,1648477673,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 14:27:53,2022-03-28
97,14,11,50,1648477674,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 14:27:54,2022-03-28
98,14,11,50,1648477674,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 14:27:54,2022-03-28
99,14,11,50,1648477674,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 14:27:54,2022-03-28
100,14,11,50,1648477674,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 14:27:54,2022-03-28
101,14,11,50,1648477674,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 14:27:54,2022-03-28
102,14,11,50,1648491397,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 18:16:37,2022-03-28
103,14,11,50,1648491397,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 18:16:37,2022-03-28
104,14,11,50,1648491398,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 18:16:38,2022-03-28
105,14,11,50,1648491398,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 18:16:38,2022-03-28
106,14,11,50,1648491398,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 18:16:38,2022-03-28
107,14,11,50,1648491398,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 18:16:38,2022-03-28
108,14,11,50,1648491398,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 18:16:38,2022-03-28
109,14,11,50,1648491398,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 18:16:38,2022-03-28
110,14,11,50,1648499257,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 20:27:37,2022-03-28
111,14,11,50,1648499257,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 20:27:37,2022-03-28
112,14,11,50,1648499258,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 20:27:38,2022-03-28
113,14,11,50,1648499258,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 20:27:38,2022-03-28
114,14,11,50,1648499258,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 20:27:38,2022-03-28
115,14,11,50,1648499258,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 20:27:38,2022-03-28
116,14,11,50,1648499258,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 20:27:38,2022-03-28
117,14,11,50,1648499258,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 20:27:38,2022-03-28
118,14,11,50,1648502842,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 21:27:22,2022-03-28
119,14,11,50,1648502843,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 21:27:23,2022-03-28
120,14,11,50,1648502843,50.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 21:27:23,2022-03-28
121,14,11,50,1648502843,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 21:27:23,2022-03-28
122,14,11,50,1648502843,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 21:27:23,2022-03-28
123,14,11,50,1648502844,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 21:27:24,2022-03-28
124,14,11,50,1648502844,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 21:27:24,2022-03-28
125,14,11,50,1648502844,0.0,89,86,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 21:27:24,2022-03-28
126,62,60,0,1648503456,0.0,40,38,0,,GDP-22JUN30-T3.0,greater,,3.0,,>3.0%,finalized,2022-03-28 21:37:36,2022-03-28
127,12,11,50,1648503495,0.0,89,88,89,,GDP-22JUN30-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-28 21:38:15,2022-03-28
