,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1664311416,0.0,100,1,0,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-09-27 20:43:36,2022-09-27
1,99,1,0,1664311427,0.0,99,1,0,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-09-27 20:43:47,2022-09-27
2,99,0,0,1664311435,0.0,100,1,0,,GDP-232022 Q4-T2.0,greater,,2.0,,>2.0%,finalized,2022-09-27 20:43:55,2022-09-27
3,100,1,0,1664311453,0.0,99,0,0,,GDP-232022 Q4-TN0.5,greater,,-0.5,,>-0.5%,finalized,2022-09-27 20:44:13,2022-09-27
4,100,50,0,1664366889,0.0,50,0,0,,GDP-232022 Q4-T1.5,greater,,1.5,,>1.5%,finalized,2022-09-28 12:08:09,2022-09-28
5,98,1,0,1664460311,0.0,99,2,0,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-09-29 14:05:11,2022-09-29
6,98,2,0,1664460339,0.0,98,2,0,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-09-29 14:05:39,2022-09-29
7,99,2,0,1664460345,0.0,98,1,0,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-09-29 14:05:45,2022-09-29
8,55,2,0,1664551546,0.0,98,45,0,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-09-30 15:25:46,2022-09-30
9,55,35,0,1664551662,0.0,65,45,0,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-09-30 15:27:42,2022-09-30
10,55,2,10,1664557885,10.0,98,45,65,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-09-30 17:11:25,2022-09-30
11,55,2,10,1664577841,1.0,98,45,45,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-09-30 22:44:01,2022-09-30
12,55,2,14,1664647653,8.0,98,45,45,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-01 18:07:33,2022-10-01
13,55,5,14,1664647676,0.0,95,45,45,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-01 18:07:56,2022-10-01
14,100,10,0,1664832827,0.0,90,0,0,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-03 21:33:47,2022-10-03
15,40,5,14,1664974975,0.0,95,60,45,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-05 13:02:55,2022-10-05
16,40,5,14,1664974982,0.0,95,60,45,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-05 13:03:02,2022-10-05
17,99,1,0,1665094358,0.0,99,1,0,,GDP-232022 Q4-TN0.5,greater,,-0.5,,>-0.5%,finalized,2022-10-06 22:12:38,2022-10-06
18,99,10,0,1665094373,0.0,90,1,0,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-06 22:12:53,2022-10-06
19,99,10,0,1665094384,0.0,90,1,0,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-06 22:13:04,2022-10-06
20,100,1,0,1665094404,0.0,99,0,0,,GDP-232022 Q4-T2.5,greater,,2.5,,>2.5%,finalized,2022-10-06 22:13:24,2022-10-06
21,100,1,0,1665094414,0.0,99,0,0,,GDP-232022 Q4-T3.5,greater,,3.5,,>3.5%,finalized,2022-10-06 22:13:34,2022-10-06
22,100,1,0,1665094423,0.0,99,0,0,,GDP-232022 Q4-T3.0,greater,,3.0,,>3.0%,finalized,2022-10-06 22:13:43,2022-10-06
23,99,1,0,1665094430,0.0,99,1,0,,GDP-232022 Q4-T2.0,greater,,2.0,,>2.0%,finalized,2022-10-06 22:13:50,2022-10-06
24,99,1,0,1665094441,0.0,99,1,0,,GDP-232022 Q4-T2.5,greater,,2.5,,>2.5%,finalized,2022-10-06 22:14:01,2022-10-06
25,99,1,0,1665094446,0.0,99,1,0,,GDP-232022 Q4-T3.0,greater,,3.0,,>3.0%,finalized,2022-10-06 22:14:06,2022-10-06
26,99,1,0,1665094454,0.0,99,1,0,,GDP-232022 Q4-T3.5,greater,,3.5,,>3.5%,finalized,2022-10-06 22:14:14,2022-10-06
27,99,1,0,1665094461,0.0,99,1,0,,GDP-232022 Q4-T3.0,greater,,3.0,,>3.0%,finalized,2022-10-06 22:14:21,2022-10-06
28,99,1,0,1665094467,0.0,99,1,0,,GDP-232022 Q4-T3.5,greater,,3.5,,>3.5%,finalized,2022-10-06 22:14:27,2022-10-06
29,99,1,0,1665094474,0.0,99,1,0,,GDP-232022 Q4-T2.5,greater,,2.5,,>2.5%,finalized,2022-10-06 22:14:34,2022-10-06
30,99,1,0,1665094480,0.0,99,1,0,,GDP-232022 Q4-T2.0,greater,,2.0,,>2.0%,finalized,2022-10-06 22:14:40,2022-10-06
31,99,50,0,1665094490,0.0,50,1,0,,GDP-232022 Q4-T1.5,greater,,1.5,,>1.5%,finalized,2022-10-06 22:14:50,2022-10-06
32,99,0,0,1665094500,0.0,100,1,0,,GDP-232022 Q4-T1.0,greater,,1.0,,>1.0%,finalized,2022-10-06 22:15:00,2022-10-06
33,99,1,0,1665094506,0.0,99,1,0,,GDP-232022 Q4-T1.0,greater,,1.0,,>1.0%,finalized,2022-10-06 22:15:06,2022-10-06
34,99,0,0,1665094515,0.0,100,1,0,,GDP-232022 Q4-T0.5,greater,,0.5,,>0.5%,finalized,2022-10-06 22:15:15,2022-10-06
35,99,1,0,1665094522,0.0,99,1,0,,GDP-232022 Q4-T0.5,greater,,0.5,,>0.5%,finalized,2022-10-06 22:15:22,2022-10-06
36,99,11,0,1665094552,0.0,89,1,0,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-06 22:15:52,2022-10-06
37,99,50,0,1665094578,0.0,50,1,0,,GDP-232022 Q4-T1.5,greater,,1.5,,>1.5%,finalized,2022-10-06 22:16:18,2022-10-06
38,99,0,0,1665094604,0.0,100,1,0,,GDP-232022 Q4-T2.5,greater,,2.5,,>2.5%,finalized,2022-10-06 22:16:44,2022-10-06
39,99,1,0,1665094614,0.0,99,1,0,,GDP-232022 Q4-T2.5,greater,,2.5,,>2.5%,finalized,2022-10-06 22:16:54,2022-10-06
40,99,25,0,1665176388,0.0,75,1,0,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-07 20:59:48,2022-10-07
41,40,5,14,1665187895,0.0,95,60,45,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-08 00:11:35,2022-10-08
42,99,5,15,1665258654,1.0,95,1,60,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-08 19:50:54,2022-10-08
43,95,5,15,1665341448,0.0,95,5,60,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-09 18:50:48,2022-10-09
44,99,50,0,1665343162,0.0,50,1,0,,GDP-232022 Q4-T1.5,greater,,1.5,,>1.5%,finalized,2022-10-09 19:19:22,2022-10-09
45,99,50,0,1665374941,0.0,50,1,0,,GDP-232022 Q4-T1.5,greater,,1.5,,>1.5%,finalized,2022-10-10 04:09:01,2022-10-10
46,95,10,15,1665589346,0.0,90,5,60,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-12 15:42:26,2022-10-12
47,92,10,15,1665708633,0.0,90,8,60,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-14 00:50:33,2022-10-14
48,99,25,50,1666134676,50.0,75,1,75,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-18 23:11:16,2022-10-18
49,99,11,50,1666136025,0.0,89,1,75,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-18 23:33:45,2022-10-18
50,92,1,15,1666353618,0.0,99,8,60,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-21 12:00:18,2022-10-21
51,92,2,15,1666474108,0.0,98,8,60,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-22 21:28:28,2022-10-22
52,99,2,0,1666474112,0.0,98,1,0,,GDP-232022 Q4-TN0.5,greater,,-0.5,,>-0.5%,finalized,2022-10-22 21:28:32,2022-10-22
53,99,12,50,1666474121,0.0,88,1,75,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-22 21:28:41,2022-10-22
54,99,2,0,1666474129,0.0,98,1,0,,GDP-232022 Q4-T0.5,greater,,0.5,,>0.5%,finalized,2022-10-22 21:28:49,2022-10-22
55,99,1,0,1666474139,0.0,99,1,0,,GDP-232022 Q4-T0.5,greater,,0.5,,>0.5%,finalized,2022-10-22 21:28:59,2022-10-22
56,99,11,50,1666474144,0.0,89,1,75,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-22 21:29:04,2022-10-22
57,99,1,0,1666474148,0.0,99,1,0,,GDP-232022 Q4-TN0.5,greater,,-0.5,,>-0.5%,finalized,2022-10-22 21:29:08,2022-10-22
58,92,1,15,1666474153,0.0,99,8,60,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-22 21:29:13,2022-10-22
59,98,1,0,1666474163,0.0,99,2,0,,GDP-232022 Q4-TN0.5,greater,,-0.5,,>-0.5%,finalized,2022-10-22 21:29:23,2022-10-22
60,98,11,50,1666474170,0.0,89,2,75,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-22 21:29:30,2022-10-22
61,98,1,0,1666474176,0.0,99,2,0,,GDP-232022 Q4-T0.5,greater,,0.5,,>0.5%,finalized,2022-10-22 21:29:36,2022-10-22
62,98,2,0,1666474185,0.0,98,2,0,,GDP-232022 Q4-T0.5,greater,,0.5,,>0.5%,finalized,2022-10-22 21:29:45,2022-10-22
63,98,1,0,1666474192,0.0,99,2,0,,GDP-232022 Q4-T1.0,greater,,1.0,,>1.0%,finalized,2022-10-22 21:29:52,2022-10-22
64,98,50,0,1666474198,0.0,50,2,0,,GDP-232022 Q4-T1.5,greater,,1.5,,>1.5%,finalized,2022-10-22 21:29:58,2022-10-22
65,98,2,0,1666474210,0.0,98,2,0,,GDP-232022 Q4-T1.0,greater,,1.0,,>1.0%,finalized,2022-10-22 21:30:10,2022-10-22
66,99,2,0,1666474219,0.0,98,1,0,,GDP-232022 Q4-T2.0,greater,,2.0,,>2.0%,finalized,2022-10-22 21:30:19,2022-10-22
67,99,2,0,1666474223,0.0,98,1,0,,GDP-232022 Q4-T2.5,greater,,2.5,,>2.5%,finalized,2022-10-22 21:30:23,2022-10-22
68,99,2,0,1666474228,0.0,98,1,0,,GDP-232022 Q4-T3.0,greater,,3.0,,>3.0%,finalized,2022-10-22 21:30:28,2022-10-22
69,99,2,0,1666474233,0.0,98,1,0,,GDP-232022 Q4-T3.5,greater,,3.5,,>3.5%,finalized,2022-10-22 21:30:33,2022-10-22
70,98,11,52,1666661602,2.0,89,2,89,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-25 01:33:22,2022-10-25
71,98,5,52,1666704737,0.0,95,2,89,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-25 13:32:17,2022-10-25
72,98,8,52,1666704775,0.0,92,2,89,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-25 13:32:55,2022-10-25
73,96,8,52,1666704782,0.0,92,4,89,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-25 13:33:02,2022-10-25
74,85,1,15,1666802915,0.0,99,15,60,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-26 16:48:35,2022-10-26
75,83,1,15,1666802932,0.0,99,17,60,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-26 16:48:52,2022-10-26
76,90,1,0,1666802961,0.0,99,10,0,,GDP-232022 Q4-TN0.5,greater,,-0.5,,>-0.5%,finalized,2022-10-26 16:49:21,2022-10-26
77,98,50,10,1666805075,10.0,50,2,50,,GDP-232022 Q4-T1.5,greater,,1.5,,>1.5%,finalized,2022-10-26 17:24:35,2022-10-26
78,98,50,11,1666875785,1.0,50,2,50,,GDP-232022 Q4-T1.5,greater,,1.5,,>1.5%,finalized,2022-10-27 13:03:05,2022-10-27
79,92,1,15,1666886421,0.0,99,8,60,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-27 16:00:21,2022-10-27
80,98,1,0,1666886429,0.0,99,2,0,,GDP-232022 Q4-TN0.5,greater,,-0.5,,>-0.5%,finalized,2022-10-27 16:00:29,2022-10-27
81,90,1,15,1666891031,0.0,99,10,60,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-27 17:17:11,2022-10-27
82,98,2,0,1666891060,0.0,98,2,0,,GDP-232022 Q4-TN0.5,greater,,-0.5,,>-0.5%,finalized,2022-10-27 17:17:40,2022-10-27
83,97,2,0,1666891076,0.0,98,3,0,,GDP-232022 Q4-TN0.5,greater,,-0.5,,>-0.5%,finalized,2022-10-27 17:17:56,2022-10-27
84,95,8,52,1666891086,0.0,92,5,89,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-27 17:18:06,2022-10-27
85,95,6,52,1666891110,0.0,94,5,89,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-27 17:18:30,2022-10-27
86,96,6,52,1666891130,0.0,94,4,89,,GDP-232022 Q4-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-27 17:18:50,2022-10-27
87,97,1,0,1666891145,0.0,99,3,0,,GDP-232022 Q4-TN0.5,greater,,-0.5,,>-0.5%,finalized,2022-10-27 17:19:05,2022-10-27
88,92,1,15,1666891169,0.0,99,8,60,,GDP-232022 Q4-TN1.0,greater,,-1.0,,>-1.0%,finalized,2022-10-27 17:19:29,2022-10-27
89,98,3,0,1666891193,0.0,97,2,0,,GDP-232022 Q4-T0.5,greater,,0.5,,>0.5%,finalized,2022-10-27 17:19:53,2022-10-27
90,97,3,0,1666891201,0.0,97,3,0,,GDP-232022 Q4-T0.5,greater,,0.5,,>0.5%,finalized,2022-10-27 17:20:01,2022-10-27
91,98,3,0,1666891214,0.0,97,2,0,,GDP-232022 Q4-T1.0,greater,,1.0,,>1.0%,finalized,2022-10-27 17:20:14,2022-10-27
92,97,3,0,1666891219,0.0,97,3,0,,GDP-232022 Q4-T1.0,greater,,1.0,,>1.0%,finalized,2022-10-27 17:20:19,2022-10-27
93,97,50,11,1666891227,0.0,50,3,50,,GDP-232022 Q4-T1.5,greater,,1.5,,>1.5%,finalized,2022-10-27 17:20:27,2022-10-27
94,99,3,0,1666891234,0.0,97,1,0,,GDP-232022 Q4-T2.0,greater,,2.0,,>2.0%,finalized,2022-10-27 17:20:34,2022-10-27
95,99,3,0,1666891244,0.0,97,1,0,,GDP-232022 Q4-T2.5,greater,,2.5,,>2.5%,finalized,2022-10-27 17:20:44,2022-10-27
96,99,3,0,1666891251,0.0,97,1,0,,GDP-232022 Q4-T3.0,greater,,3.0,,>3.0%,finalized,2022-10-27 17:20:51,2022-10-27
97,99,3,0,1666891256,0.0,97,1,0,,GDP-232022 Q4-T3.5,greater,,3.5,,>3.5%,finalized,2022-10-27 17:20:56,2022-10-27
