,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,5,0,1671856195,0.0,95,0,0,,GDP-23APR27-TN0.1,greater,,-0.1,,0% or higher,finalized,2022-12-24 04:29:55,2022-12-24
1,75,0,0,1672936781,0.0,100,25,0,,GDP-23APR27-TN0.6,greater,,-0.6,,-0.5% or higher,finalized,2023-01-05 16:39:41,2023-01-05
2,100,25,0,1672936790,0.0,75,0,0,,GDP-23APR27-T3.4,greater,,3.4,,3.5% or higher,finalized,2023-01-05 16:39:50,2023-01-05
3,100,25,0,1672936794,0.0,75,0,0,,GDP-23APR27-T4.4,greater,,4.4,,4.5% or higher,finalized,2023-01-05 16:39:54,2023-01-05
4,100,25,0,1672936806,0.0,75,0,0,,GDP-23APR27-T3.9,greater,,3.9,,4% or higher,finalized,2023-01-05 16:40:06,2023-01-05
5,90,5,0,1672937175,0.0,95,10,0,,GDP-23APR27-TN0.1,greater,,-0.1,,0% or higher,finalized,2023-01-05 16:46:15,2023-01-05
6,100,5,0,1673279783,0.0,95,0,0,,GDP-23APR27-TN0.1,greater,,-0.1,,0% or higher,finalized,2023-01-09 15:56:23,2023-01-09
7,100,0,0,1673279786,0.0,100,0,0,,GDP-23APR27-TN0.6,greater,,-0.6,,-0.5% or higher,finalized,2023-01-09 15:56:26,2023-01-09
8,100,20,0,1674059265,0.0,80,0,0,,GDP-23APR27-T2.9,greater,,2.9,,3% or higher,finalized,2023-01-18 16:27:45,2023-01-18
9,50,0,0,1674247124,0.0,100,50,0,,GDP-23APR27-T0.9,greater,,0.9,,1% or higher,finalized,2023-01-20 20:38:44,2023-01-20
10,50,0,0,1674247162,0.0,100,50,0,,GDP-23APR27-T1.4,greater,,1.4,,1.5% or higher,finalized,2023-01-20 20:39:22,2023-01-20
11,70,0,0,1674247188,0.0,100,30,0,,GDP-23APR27-T1.9,greater,,1.9,,2% or higher,finalized,2023-01-20 20:39:48,2023-01-20
12,100,30,0,1674432631,0.0,70,0,0,,GDP-23APR27-T4.4,greater,,4.4,,4.5% or higher,finalized,2023-01-23 00:10:31,2023-01-23
13,100,25,0,1674487087,0.0,75,0,0,,GDP-23APR27-T4.4,greater,,4.4,,4.5% or higher,finalized,2023-01-23 15:18:07,2023-01-23
14,100,0,10,1674738561,10.0,100,0,50,,GDP-23APR27-T1.4,greater,,1.4,,1.5% or higher,finalized,2023-01-26 13:09:21,2023-01-26
15,30,5,0,1674757030,0.0,95,70,0,,GDP-23APR27-TN0.1,greater,,-0.1,,0% or higher,finalized,2023-01-26 18:17:10,2023-01-26
16,100,5,0,1674757132,0.0,95,0,0,,GDP-23APR27-TN0.1,greater,,-0.1,,0% or higher,finalized,2023-01-26 18:18:52,2023-01-26
17,6,0,0,1674761789,0.0,100,94,0,,GDP-23APR27-TN0.6,greater,,-0.6,,-0.5% or higher,finalized,2023-01-26 19:36:29,2023-01-26
18,4,0,0,1674761789,0.0,100,96,0,,GDP-23APR27-TN0.6,greater,,-0.6,,-0.5% or higher,finalized,2023-01-26 19:36:29,2023-01-26
19,4,1,0,1674761789,0.0,99,96,0,,GDP-23APR27-TN0.6,greater,,-0.6,,-0.5% or higher,finalized,2023-01-26 19:36:29,2023-01-26
20,4,2,0,1674761789,0.0,98,96,0,,GDP-23APR27-TN0.6,greater,,-0.6,,-0.5% or higher,finalized,2023-01-26 19:36:29,2023-01-26
21,9,5,0,1674761790,0.0,95,91,0,,GDP-23APR27-TN0.1,greater,,-0.1,,0% or higher,finalized,2023-01-26 19:36:30,2023-01-26
22,7,5,0,1674761790,0.0,95,93,0,,GDP-23APR27-TN0.1,greater,,-0.1,,0% or higher,finalized,2023-01-26 19:36:30,2023-01-26
23,70,0,0,1674761793,0.0,100,30,0,,GDP-23APR27-T2.4,greater,,2.4,,2.5% or higher,finalized,2023-01-26 19:36:33,2023-01-26
