,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1675392360,0.0,99,0,0,,GDP-23JUL27-TN1.6,greater,,-1.6,,-1.5% or higher,active,2023-02-03 02:46:00,2023-02-03
1,100,1,0,1675392367,0.0,99,0,0,,GDP-23JUL27-TN1.1,greater,,-1.1,,-1% or higher,active,2023-02-03 02:46:07,2023-02-03
2,100,1,0,1675392373,0.0,99,0,0,,GDP-23JUL27-TN0.6,greater,,-0.6,,-0.5% or higher,active,2023-02-03 02:46:13,2023-02-03
3,100,1,0,1675392380,0.0,99,0,0,,GDP-23JUL27-T-0.1,greater,,-0.1,,0% or higher,active,2023-02-03 02:46:20,2023-02-03
4,99,1,0,1675392409,0.0,99,1,0,,GDP-23JUL27-TN1.6,greater,,-1.6,,-1.5% or higher,active,2023-02-03 02:46:49,2023-02-03
5,99,1,0,1675392625,0.0,99,1,0,,GDP-23JUL27-TN1.1,greater,,-1.1,,-1% or higher,active,2023-02-03 02:50:25,2023-02-03
6,99,1,0,1675392633,0.0,99,1,0,,GDP-23JUL27-TN0.6,greater,,-0.6,,-0.5% or higher,active,2023-02-03 02:50:33,2023-02-03
7,99,1,0,1675392642,0.0,99,1,0,,GDP-23JUL27-T-0.1,greater,,-0.1,,0% or higher,active,2023-02-03 02:50:42,2023-02-03
8,99,0,0,1675392652,0.0,100,1,0,,GDP-23JUL27-T0.4,greater,,0.4,,0.5% or higher,active,2023-02-03 02:50:52,2023-02-03
9,99,0,0,1675392682,0.0,100,1,0,,GDP-23JUL27-T0.9,greater,,0.9,,1% or higher,active,2023-02-03 02:51:22,2023-02-03
10,99,0,0,1675392688,0.0,100,1,0,,GDP-23JUL27-T1.4,greater,,1.4,,1.5% or higher,active,2023-02-03 02:51:28,2023-02-03
11,99,0,0,1675392694,0.0,100,1,0,,GDP-23JUL27-T1.9,greater,,1.9,,2% or higher,active,2023-02-03 02:51:34,2023-02-03
12,99,0,0,1675392700,0.0,100,1,0,,GDP-23JUL27-T2.4,greater,,2.4,,2.5% or higher,active,2023-02-03 02:51:40,2023-02-03
13,99,0,0,1675392705,0.0,100,1,0,,GDP-23JUL27-T2.9,greater,,2.9,,3% or higher,active,2023-02-03 02:51:45,2023-02-03
14,99,0,0,1675392712,0.0,100,1,0,,GDP-23JUL27-T3.4,greater,,3.4,,3.5% or higher,active,2023-02-03 02:51:52,2023-02-03
15,100,1,0,1675392735,0.0,99,0,0,,GDP-23JUL27-T3.9,greater,,3.9,,4% or higher,active,2023-02-03 02:52:15,2023-02-03
16,99,1,0,1675392742,0.0,99,1,0,,GDP-23JUL27-T3.4,greater,,3.4,,3.5% or higher,active,2023-02-03 02:52:22,2023-02-03
17,99,1,0,1675392747,0.0,99,1,0,,GDP-23JUL27-T2.9,greater,,2.9,,3% or higher,active,2023-02-03 02:52:27,2023-02-03
18,99,1,0,1675392754,0.0,99,1,0,,GDP-23JUL27-T2.4,greater,,2.4,,2.5% or higher,active,2023-02-03 02:52:34,2023-02-03
19,99,1,0,1675392759,0.0,99,1,0,,GDP-23JUL27-T1.9,greater,,1.9,,2% or higher,active,2023-02-03 02:52:39,2023-02-03
20,99,1,0,1675392766,0.0,99,1,0,,GDP-23JUL27-T1.4,greater,,1.4,,1.5% or higher,active,2023-02-03 02:52:46,2023-02-03
21,99,1,0,1675392772,0.0,99,1,0,,GDP-23JUL27-T0.9,greater,,0.9,,1% or higher,active,2023-02-03 02:52:52,2023-02-03
22,99,1,0,1675392777,0.0,99,1,0,,GDP-23JUL27-T0.4,greater,,0.4,,0.5% or higher,active,2023-02-03 02:52:57,2023-02-03
23,99,50,0,1678744226,0.0,50,1,0,,GDP-23JUL27-T0.4,greater,,0.4,,0.5% or higher,active,2023-03-13 21:50:26,2023-03-13
24,50,1,0,1678814709,0.0,99,50,0,,GDP-23JUL27-T-0.1,greater,,-0.1,,0% or higher,active,2023-03-14 17:25:09,2023-03-14
25,45,1,0,1678814753,0.0,99,55,0,,GDP-23JUL27-T0.9,greater,,0.9,,1% or higher,active,2023-03-14 17:25:53,2023-03-14
26,40,1,0,1678814779,0.0,99,60,0,,GDP-23JUL27-T1.4,greater,,1.4,,1.5% or higher,active,2023-03-14 17:26:19,2023-03-14
27,40,1,0,1678814796,0.0,99,60,0,,GDP-23JUL27-T1.9,greater,,1.9,,2% or higher,active,2023-03-14 17:26:36,2023-03-14
28,99,55,0,1678814822,0.0,45,1,0,,GDP-23JUL27-T2.4,greater,,2.4,,2.5% or higher,active,2023-03-14 17:27:02,2023-03-14
29,99,60,0,1678814841,0.0,40,1,0,,GDP-23JUL27-T2.9,greater,,2.9,,3% or higher,active,2023-03-14 17:27:21,2023-03-14
30,99,65,0,1678814850,0.0,35,1,0,,GDP-23JUL27-T3.4,greater,,3.4,,3.5% or higher,active,2023-03-14 17:27:30,2023-03-14
31,100,70,0,1678814881,0.0,30,0,0,,GDP-23JUL27-T3.9,greater,,3.9,,4% or higher,active,2023-03-14 17:28:01,2023-03-14
32,25,1,0,1678814909,0.0,99,75,0,,GDP-23JUL27-TN0.6,greater,,-0.6,,-0.5% or higher,active,2023-03-14 17:28:29,2023-03-14
