,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,7,0,1671856124,0.0,93,0,0,,GDP-23OCT26-TN0.1,greater,,-0.1,,0% or higher,active,2022-12-24 04:28:44,2022-12-24
1,100,5,0,1671856147,0.0,95,0,0,,GDP-23OCT26-TN0.6,greater,,-0.6,,-0.5% or higher,active,2022-12-24 04:29:07,2022-12-24
2,100,3,0,1671856161,0.0,97,0,0,,GDP-23OCT26-TN1.1,greater,,-1.1,,-1% or higher,active,2022-12-24 04:29:21,2022-12-24
3,99,3,0,1675392829,0.0,97,1,0,,GDP-23OCT26-TN1.1,greater,,-1.1,,-1% or higher,active,2023-02-03 02:53:49,2023-02-03
4,99,0,0,1675392840,0.0,100,1,0,,GDP-23OCT26-TN1.6,greater,,-1.6,,-1.5% or higher,active,2023-02-03 02:54:00,2023-02-03
5,99,5,0,1675392849,0.0,95,1,0,,GDP-23OCT26-TN0.6,greater,,-0.6,,-0.5% or higher,active,2023-02-03 02:54:09,2023-02-03
6,99,7,0,1675392858,0.0,93,1,0,,GDP-23OCT26-TN0.1,greater,,-0.1,,0% or higher,active,2023-02-03 02:54:18,2023-02-03
7,99,0,0,1675392864,0.0,100,1,0,,GDP-23OCT26-T0.4,greater,,0.4,,0.5% or higher,active,2023-02-03 02:54:24,2023-02-03
8,99,0,0,1675392869,0.0,100,1,0,,GDP-23OCT26-T0.9,greater,,0.9,,1% or higher,active,2023-02-03 02:54:29,2023-02-03
9,99,0,0,1675392875,0.0,100,1,0,,GDP-23OCT26-T1.4,greater,,1.4,,1.5% or higher,active,2023-02-03 02:54:35,2023-02-03
10,99,0,0,1675392880,0.0,100,1,0,,GDP-23OCT26-T1.9,greater,,1.9,,2% or higher,active,2023-02-03 02:54:40,2023-02-03
11,99,0,0,1675392885,0.0,100,1,0,,GDP-23OCT26-T2.4,greater,,2.4,,2.5% or higher,active,2023-02-03 02:54:45,2023-02-03
12,99,0,0,1675392892,0.0,100,1,0,,GDP-23OCT26-T2.9,greater,,2.9,,3% or higher,active,2023-02-03 02:54:52,2023-02-03
13,99,0,0,1675392898,0.0,100,1,0,,GDP-23OCT26-T3.4,greater,,3.4,,3.5% or higher,active,2023-02-03 02:54:58,2023-02-03
14,100,1,0,1675392906,0.0,99,0,0,,GDP-23OCT26-T3.9,greater,,3.9,,4% or higher,active,2023-02-03 02:55:06,2023-02-03
15,99,1,0,1675392912,0.0,99,1,0,,GDP-23OCT26-T3.4,greater,,3.4,,3.5% or higher,active,2023-02-03 02:55:12,2023-02-03
16,99,1,0,1675392919,0.0,99,1,0,,GDP-23OCT26-T2.9,greater,,2.9,,3% or higher,active,2023-02-03 02:55:19,2023-02-03
17,99,1,0,1675392931,0.0,99,1,0,,GDP-23OCT26-T2.4,greater,,2.4,,2.5% or higher,active,2023-02-03 02:55:31,2023-02-03
18,99,1,0,1675392939,0.0,99,1,0,,GDP-23OCT26-T1.9,greater,,1.9,,2% or higher,active,2023-02-03 02:55:39,2023-02-03
19,99,1,0,1675392947,0.0,99,1,0,,GDP-23OCT26-T1.4,greater,,1.4,,1.5% or higher,active,2023-02-03 02:55:47,2023-02-03
20,99,1,0,1675392956,0.0,99,1,0,,GDP-23OCT26-T0.9,greater,,0.9,,1% or higher,active,2023-02-03 02:55:56,2023-02-03
21,99,1,0,1675392961,0.0,99,1,0,,GDP-23OCT26-T0.4,greater,,0.4,,0.5% or higher,active,2023-02-03 02:56:01,2023-02-03
22,99,1,0,1675392976,0.0,99,1,0,,GDP-23OCT26-TN1.6,greater,,-1.6,,-1.5% or higher,active,2023-02-03 02:56:16,2023-02-03
23,98,1,0,1678746286,0.0,99,2,0,,GDP-23OCT26-TN1.6,greater,,-1.6,,-1.5% or higher,active,2023-03-13 22:24:46,2023-03-13
24,99,20,0,1678983361,0.0,80,1,0,,GDP-23OCT26-TN0.1,greater,,-0.1,,0% or higher,active,2023-03-16 16:16:01,2023-03-16
