,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,56,0,0,1646666363,0.0,100,44,0,,GDPCN-22-A5,greater,,5,,>5%,active,2022-03-07 15:19:23,2022-03-07
1,55,0,0,1646666363,0.0,100,45,0,,GDPCN-22-A5,greater,,5,,>5%,active,2022-03-07 15:19:23,2022-03-07
2,54,0,0,1646666363,0.0,100,46,0,,GDPCN-22-A5,greater,,5,,>5%,active,2022-03-07 15:19:23,2022-03-07
3,53,0,0,1646666363,0.0,100,47,0,,GDPCN-22-A5,greater,,5,,>5%,active,2022-03-07 15:19:23,2022-03-07
4,52,0,0,1646666363,0.0,100,48,0,,GDPCN-22-A5,greater,,5,,>5%,active,2022-03-07 15:19:23,2022-03-07
5,52,48,0,1646666363,0.0,52,48,0,,GDPCN-22-A5,greater,,5,,>5%,active,2022-03-07 15:19:23,2022-03-07
6,52,48,0,1646666363,0.0,52,48,0,,GDPCN-22-A5,greater,,5,,>5%,active,2022-03-07 15:19:23,2022-03-07
7,52,48,0,1646666363,0.0,52,48,0,,GDPCN-22-A5,greater,,5,,>5%,active,2022-03-07 15:19:23,2022-03-07
8,52,48,0,1646666363,0.0,52,48,0,,GDPCN-22-A5,greater,,5,,>5%,active,2022-03-07 15:19:23,2022-03-07
9,52,48,0,1646666363,0.0,52,48,0,,GDPCN-22-A5,greater,,5,,>5%,active,2022-03-07 15:19:23,2022-03-07
10,19,0,0,1646666423,0.0,100,81,0,,GDPCN-22-A3,greater,,3,,>3%,active,2022-03-07 15:20:23,2022-03-07
11,18,0,0,1646666423,0.0,100,82,0,,GDPCN-22-A3,greater,,3,,>3%,active,2022-03-07 15:20:23,2022-03-07
12,17,0,0,1646666423,0.0,100,83,0,,GDPCN-22-A3,greater,,3,,>3%,active,2022-03-07 15:20:23,2022-03-07
13,16,0,0,1646666423,0.0,100,84,0,,GDPCN-22-A3,greater,,3,,>3%,active,2022-03-07 15:20:23,2022-03-07
14,15,0,0,1646666423,0.0,100,85,0,,GDPCN-22-A3,greater,,3,,>3%,active,2022-03-07 15:20:23,2022-03-07
15,15,11,0,1646666423,0.0,89,85,0,,GDPCN-22-A3,greater,,3,,>3%,active,2022-03-07 15:20:23,2022-03-07
16,15,11,0,1646666423,0.0,89,85,0,,GDPCN-22-A3,greater,,3,,>3%,active,2022-03-07 15:20:23,2022-03-07
17,15,11,0,1646666423,0.0,89,85,0,,GDPCN-22-A3,greater,,3,,>3%,active,2022-03-07 15:20:23,2022-03-07
18,15,11,0,1646666423,0.0,89,85,0,,GDPCN-22-A3,greater,,3,,>3%,active,2022-03-07 15:20:23,2022-03-07
19,15,11,0,1646666423,0.0,89,85,0,,GDPCN-22-A3,greater,,3,,>3%,active,2022-03-07 15:20:23,2022-03-07
20,31,0,0,1646666429,0.0,100,69,0,,GDPCN-22-A4,greater,,4,,>4%,active,2022-03-07 15:20:29,2022-03-07
21,30,0,0,1646666429,0.0,100,70,0,,GDPCN-22-A4,greater,,4,,>4%,active,2022-03-07 15:20:29,2022-03-07
22,29,0,0,1646666429,0.0,100,71,0,,GDPCN-22-A4,greater,,4,,>4%,active,2022-03-07 15:20:29,2022-03-07
23,28,0,0,1646666429,0.0,100,72,0,,GDPCN-22-A4,greater,,4,,>4%,active,2022-03-07 15:20:29,2022-03-07
24,27,0,0,1646666429,0.0,100,73,0,,GDPCN-22-A4,greater,,4,,>4%,active,2022-03-07 15:20:29,2022-03-07
25,27,23,0,1646666429,0.0,77,73,0,,GDPCN-22-A4,greater,,4,,>4%,active,2022-03-07 15:20:29,2022-03-07
26,27,23,0,1646666429,0.0,77,73,0,,GDPCN-22-A4,greater,,4,,>4%,active,2022-03-07 15:20:29,2022-03-07
27,27,23,0,1646666429,0.0,77,73,0,,GDPCN-22-A4,greater,,4,,>4%,active,2022-03-07 15:20:29,2022-03-07
28,27,23,0,1646666429,0.0,77,73,0,,GDPCN-22-A4,greater,,4,,>4%,active,2022-03-07 15:20:29,2022-03-07
