,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,56,0,0,1646666125,0.0,100,44,0,,GDPEU-22-A4,greater,,4,,>4%,active,2022-03-07 15:15:25,2022-03-07
1,55,0,0,1646666125,0.0,100,45,0,,GDPEU-22-A4,greater,,4,,>4%,active,2022-03-07 15:15:25,2022-03-07
2,54,0,0,1646666125,0.0,100,46,0,,GDPEU-22-A4,greater,,4,,>4%,active,2022-03-07 15:15:25,2022-03-07
3,53,0,0,1646666125,0.0,100,47,0,,GDPEU-22-A4,greater,,4,,>4%,active,2022-03-07 15:15:25,2022-03-07
4,52,0,0,1646666125,0.0,100,48,0,,GDPEU-22-A4,greater,,4,,>4%,active,2022-03-07 15:15:25,2022-03-07
5,52,48,0,1646666125,0.0,52,48,0,,GDPEU-22-A4,greater,,4,,>4%,active,2022-03-07 15:15:25,2022-03-07
6,52,48,0,1646666125,0.0,52,48,0,,GDPEU-22-A4,greater,,4,,>4%,active,2022-03-07 15:15:25,2022-03-07
7,52,48,0,1646666125,0.0,52,48,0,,GDPEU-22-A4,greater,,4,,>4%,active,2022-03-07 15:15:25,2022-03-07
8,52,48,0,1646666125,0.0,52,48,0,,GDPEU-22-A4,greater,,4,,>4%,active,2022-03-07 15:15:25,2022-03-07
9,52,48,0,1646666125,0.0,52,48,0,,GDPEU-22-A4,greater,,4,,>4%,active,2022-03-07 15:15:25,2022-03-07
10,81,0,0,1646666126,0.0,100,19,0,,GDPEU-22-A5,greater,,5,,>5%,active,2022-03-07 15:15:26,2022-03-07
11,80,0,0,1646666126,0.0,100,20,0,,GDPEU-22-A5,greater,,5,,>5%,active,2022-03-07 15:15:26,2022-03-07
12,79,0,0,1646666126,0.0,100,21,0,,GDPEU-22-A5,greater,,5,,>5%,active,2022-03-07 15:15:26,2022-03-07
13,78,0,0,1646666126,0.0,100,22,0,,GDPEU-22-A5,greater,,5,,>5%,active,2022-03-07 15:15:26,2022-03-07
14,77,0,0,1646666126,0.0,100,23,0,,GDPEU-22-A5,greater,,5,,>5%,active,2022-03-07 15:15:26,2022-03-07
15,77,73,0,1646666126,0.0,27,23,0,,GDPEU-22-A5,greater,,5,,>5%,active,2022-03-07 15:15:26,2022-03-07
16,77,73,0,1646666126,0.0,27,23,0,,GDPEU-22-A5,greater,,5,,>5%,active,2022-03-07 15:15:26,2022-03-07
17,77,73,0,1646666126,0.0,27,23,0,,GDPEU-22-A5,greater,,5,,>5%,active,2022-03-07 15:15:26,2022-03-07
18,77,73,0,1646666126,0.0,27,23,0,,GDPEU-22-A5,greater,,5,,>5%,active,2022-03-07 15:15:26,2022-03-07
