,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,31,0,0,1646666658,0.0,100,69,0,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-07 15:24:18,2022-03-07
1,30,0,0,1646666658,0.0,100,70,0,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-07 15:24:18,2022-03-07
2,29,0,0,1646666658,0.0,100,71,0,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-07 15:24:18,2022-03-07
3,28,0,0,1646666658,0.0,100,72,0,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-07 15:24:18,2022-03-07
4,27,0,0,1646666658,0.0,100,73,0,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-07 15:24:18,2022-03-07
5,27,23,0,1646666658,0.0,77,73,0,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-07 15:24:18,2022-03-07
6,27,23,0,1646666658,0.0,77,73,0,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-07 15:24:18,2022-03-07
7,27,23,0,1646666658,0.0,77,73,0,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-07 15:24:18,2022-03-07
8,27,23,0,1646666658,0.0,77,73,0,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-07 15:24:18,2022-03-07
9,27,23,0,1646666658,0.0,77,73,0,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-07 15:24:18,2022-03-07
10,56,0,0,1646666658,0.0,100,44,0,,GDPW-22-A4,greater,,4,,>4%,active,2022-03-07 15:24:18,2022-03-07
11,55,0,0,1646666658,0.0,100,45,0,,GDPW-22-A4,greater,,4,,>4%,active,2022-03-07 15:24:18,2022-03-07
12,54,0,0,1646666658,0.0,100,46,0,,GDPW-22-A4,greater,,4,,>4%,active,2022-03-07 15:24:18,2022-03-07
13,53,0,0,1646666658,0.0,100,47,0,,GDPW-22-A4,greater,,4,,>4%,active,2022-03-07 15:24:18,2022-03-07
14,52,0,0,1646666658,0.0,100,48,0,,GDPW-22-A4,greater,,4,,>4%,active,2022-03-07 15:24:18,2022-03-07
15,52,48,0,1646666658,0.0,52,48,0,,GDPW-22-A4,greater,,4,,>4%,active,2022-03-07 15:24:18,2022-03-07
16,52,48,0,1646666658,0.0,52,48,0,,GDPW-22-A4,greater,,4,,>4%,active,2022-03-07 15:24:18,2022-03-07
17,52,48,0,1646666658,0.0,52,48,0,,GDPW-22-A4,greater,,4,,>4%,active,2022-03-07 15:24:18,2022-03-07
18,52,48,0,1646666658,0.0,52,48,0,,GDPW-22-A4,greater,,4,,>4%,active,2022-03-07 15:24:18,2022-03-07
19,52,48,0,1646666658,0.0,52,48,0,,GDPW-22-A4,greater,,4,,>4%,active,2022-03-07 15:24:18,2022-03-07
20,81,0,0,1646666659,0.0,100,19,0,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:24:19,2022-03-07
21,80,0,0,1646666659,0.0,100,20,0,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:24:19,2022-03-07
22,79,0,0,1646666659,0.0,100,21,0,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:24:19,2022-03-07
23,78,0,0,1646666659,0.0,100,22,0,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:24:19,2022-03-07
24,77,0,0,1646666659,0.0,100,23,0,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:24:19,2022-03-07
25,77,73,0,1646666659,0.0,27,23,0,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:24:19,2022-03-07
26,77,73,0,1646666659,0.0,27,23,0,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:24:19,2022-03-07
27,77,73,0,1646666659,0.0,27,23,0,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:24:19,2022-03-07
28,77,73,0,1646666659,0.0,27,23,0,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:24:19,2022-03-07
29,77,73,0,1646666659,0.0,27,23,0,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:24:19,2022-03-07
30,77,73,20,1646668456,20.0,27,23,23,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:54:16,2022-03-07
31,77,73,20,1646668525,0.0,27,23,23,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:55:25,2022-03-07
32,77,73,20,1646668525,0.0,27,23,23,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:55:25,2022-03-07
33,77,73,20,1646668525,0.0,27,23,23,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:55:25,2022-03-07
34,77,72,20,1646668525,0.0,28,23,23,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:55:25,2022-03-07
35,77,72,20,1646668525,0.0,28,23,23,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:55:25,2022-03-07
36,77,72,20,1646668525,0.0,28,23,23,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:55:25,2022-03-07
37,77,72,20,1646668525,0.0,28,23,23,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:55:25,2022-03-07
38,77,72,20,1646668525,0.0,28,23,23,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:55:25,2022-03-07
39,77,72,20,1646668525,0.0,28,23,23,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:55:25,2022-03-07
40,77,74,20,1646668525,0.0,26,23,23,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:55:25,2022-03-07
41,77,74,20,1646668525,0.0,26,23,23,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:55:25,2022-03-07
42,77,74,20,1646668525,0.0,26,23,23,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-07 15:55:25,2022-03-07
43,77,73,45,1646703087,35.0,27,23,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:31:27,2022-03-08
44,27,23,12,1646703114,12.0,77,73,77,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-08 01:31:54,2022-03-08
45,27,23,12,1646703137,0.0,77,73,77,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-08 01:32:17,2022-03-08
46,28,23,12,1646703137,0.0,77,72,77,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-08 01:32:17,2022-03-08
47,28,23,12,1646703137,0.0,77,72,77,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-08 01:32:17,2022-03-08
48,28,23,12,1646703137,0.0,77,72,77,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-08 01:32:17,2022-03-08
49,28,23,12,1646703137,0.0,77,72,77,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-08 01:32:17,2022-03-08
50,27,23,12,1646703137,0.0,77,73,77,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-08 01:32:17,2022-03-08
51,27,23,12,1646703137,0.0,77,73,77,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-08 01:32:17,2022-03-08
52,77,73,45,1646703137,0.0,27,23,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:32:17,2022-03-08
53,77,73,45,1646703138,0.0,27,23,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:32:18,2022-03-08
54,77,73,45,1646703138,0.0,27,23,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:32:18,2022-03-08
55,78,73,45,1646703138,0.0,27,22,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:32:18,2022-03-08
56,78,73,45,1646703138,0.0,27,22,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:32:18,2022-03-08
57,78,73,45,1646703138,0.0,27,22,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:32:18,2022-03-08
58,78,73,45,1646703138,0.0,27,22,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:32:18,2022-03-08
59,78,73,45,1646703138,0.0,27,22,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:32:18,2022-03-08
60,78,73,45,1646703138,0.0,27,22,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:32:18,2022-03-08
61,77,73,45,1646703138,0.0,27,23,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:32:18,2022-03-08
62,76,73,45,1646703138,0.0,27,24,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:32:18,2022-03-08
63,76,73,45,1646703138,0.0,27,24,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:32:18,2022-03-08
64,76,73,45,1646703138,0.0,27,24,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:32:18,2022-03-08
65,76,73,45,1646703138,0.0,27,24,27,,GDPW-22-A5,greater,,5,,>5%,active,2022-03-08 01:32:18,2022-03-08
66,52,48,0,1646843128,0.0,52,48,0,,GDPW-22-A4,greater,,4,,>4%,active,2022-03-09 16:25:28,2022-03-09
67,52,48,0,1646843128,0.0,52,48,0,,GDPW-22-A4,greater,,4,,>4%,active,2022-03-09 16:25:28,2022-03-09
68,52,48,0,1646843128,0.0,52,48,0,,GDPW-22-A4,greater,,4,,>4%,active,2022-03-09 16:25:28,2022-03-09
69,27,23,12,1646843129,0.0,77,73,77,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-09 16:25:29,2022-03-09
70,27,23,12,1646843129,0.0,77,73,77,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-09 16:25:29,2022-03-09
71,27,23,12,1646843129,0.0,77,73,77,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-09 16:25:29,2022-03-09
72,27,23,12,1646843129,0.0,77,73,77,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-09 16:25:29,2022-03-09
73,100,23,12,1646843129,0.0,77,0,77,,GDPW-22-A3,greater,,3,,>3%,active,2022-03-09 16:25:29,2022-03-09
74,52,48,0,1646843129,0.0,52,48,0,,GDPW-22-A4,greater,,4,,>4%,active,2022-03-09 16:25:29,2022-03-09
