,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,85,0,0,1664833343,0.0,100,15,0,,GOLD-22OCT0416-T1685,less,1685.0,,,<$1685,finalized,2022-10-03 21:42:23,2022-10-03
1,85,0,0,1664833352,0.0,100,15,0,,GOLD-22OCT0416-T1715,greater,,1715.0,,>$1715,finalized,2022-10-03 21:42:32,2022-10-03
2,85,0,15,1664850395,15.0,100,15,15,,GOLD-22OCT0416-T1685,less,1685.0,,,<$1685,finalized,2022-10-04 02:26:35,2022-10-04
3,100,0,15,1664856541,0.0,100,0,15,,GOLD-22OCT0416-T1685,less,1685.0,,,<$1685,finalized,2022-10-04 04:09:01,2022-10-04
4,100,0,0,1664856541,0.0,100,0,0,,GOLD-22OCT0416-T1715,greater,,1715.0,,>$1715,finalized,2022-10-04 04:09:01,2022-10-04
5,45,0,0,1664889093,0.0,100,55,0,,GOLD-22OCT0416-B1710,between,1715.0,1705.0,,$1705-1715,finalized,2022-10-04 13:11:33,2022-10-04
6,90,0,15,1664889929,0.0,100,10,15,,GOLD-22OCT0416-T1685,less,1685.0,,,<$1685,finalized,2022-10-04 13:25:29,2022-10-04
7,90,0,0,1664890047,0.0,100,10,0,,GOLD-22OCT0416-T1715,greater,,1715.0,,>$1715,finalized,2022-10-04 13:27:27,2022-10-04
8,90,0,0,1664890111,0.0,100,10,0,,GOLD-22OCT0416-B1690,between,1694.999,1685.0,,$1685-1694.999,finalized,2022-10-04 13:28:31,2022-10-04
9,90,0,0,1664890152,0.0,100,10,0,,GOLD-22OCT0416-B1700,between,1704.999,1695.0,,$1695-1704.999,finalized,2022-10-04 13:29:12,2022-10-04
10,45,0,0,1664890187,0.0,100,55,0,,GOLD-22OCT0416-B1710,between,1715.0,1705.0,,$1705-1715,finalized,2022-10-04 13:29:47,2022-10-04
11,1,0,0,1664891238,0.0,100,99,0,,GOLD-22OCT0416-B1710,between,1715.0,1705.0,,$1705-1715,finalized,2022-10-04 13:47:18,2022-10-04
12,100,92,1,1664891242,1.0,8,0,10,,GOLD-22OCT0416-B1690,between,1694.999,1685.0,,$1685-1694.999,finalized,2022-10-04 13:47:22,2022-10-04
13,100,92,1,1664891242,1.0,8,0,10,,GOLD-22OCT0416-B1700,between,1704.999,1695.0,,$1695-1704.999,finalized,2022-10-04 13:47:22,2022-10-04
14,45,3,1,1664891242,1.0,97,55,99,,GOLD-22OCT0416-B1710,between,1715.0,1705.0,,$1705-1715,finalized,2022-10-04 13:47:22,2022-10-04
15,100,92,16,1664891242,1.0,8,0,10,,GOLD-22OCT0416-T1685,less,1685.0,,,<$1685,finalized,2022-10-04 13:47:22,2022-10-04
16,100,92,1,1664891242,1.0,8,0,10,,GOLD-22OCT0416-T1715,greater,,1715.0,,>$1715,finalized,2022-10-04 13:47:22,2022-10-04
17,100,92,1,1664891243,0.0,8,0,10,,GOLD-22OCT0416-B1690,between,1694.999,1685.0,,$1685-1694.999,finalized,2022-10-04 13:47:23,2022-10-04
18,100,98,16,1664891243,0.0,2,0,10,,GOLD-22OCT0416-T1685,less,1685.0,,,<$1685,finalized,2022-10-04 13:47:23,2022-10-04
19,100,92,1,1664891244,0.0,8,0,10,,GOLD-22OCT0416-B1700,between,1704.999,1695.0,,$1695-1704.999,finalized,2022-10-04 13:47:24,2022-10-04
20,45,3,1,1664891244,0.0,97,55,99,,GOLD-22OCT0416-B1710,between,1715.0,1705.0,,$1705-1715,finalized,2022-10-04 13:47:24,2022-10-04
21,100,92,1,1664891244,0.0,8,0,10,,GOLD-22OCT0416-T1715,greater,,1715.0,,>$1715,finalized,2022-10-04 13:47:24,2022-10-04
22,100,92,1,1664891245,0.0,8,0,10,,GOLD-22OCT0416-B1690,between,1694.999,1685.0,,$1685-1694.999,finalized,2022-10-04 13:47:25,2022-10-04
23,100,92,1,1664891245,0.0,8,0,10,,GOLD-22OCT0416-B1700,between,1704.999,1695.0,,$1695-1704.999,finalized,2022-10-04 13:47:25,2022-10-04
24,45,3,1,1664891245,0.0,97,55,99,,GOLD-22OCT0416-B1710,between,1715.0,1705.0,,$1705-1715,finalized,2022-10-04 13:47:25,2022-10-04
25,100,98,16,1664891245,0.0,2,0,10,,GOLD-22OCT0416-T1685,less,1685.0,,,<$1685,finalized,2022-10-04 13:47:25,2022-10-04
26,100,92,1,1664891245,0.0,8,0,10,,GOLD-22OCT0416-T1715,greater,,1715.0,,>$1715,finalized,2022-10-04 13:47:25,2022-10-04
