,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,92,0,0,1664201100,0.0,100,8,0,,GOLD-22SEP2616-B1637.5,between,1639.999,1635.0,,$1635-1639.999,finalized,2022-09-26 14:05:00,2022-09-26
1,92,77,0,1664201100,0.0,23,8,0,,GOLD-22SEP2616-B1637.5,between,1639.999,1635.0,,$1635-1639.999,finalized,2022-09-26 14:05:00,2022-09-26
2,89,0,0,1664201104,0.0,100,11,0,,GOLD-22SEP2616-B1642.5,between,1644.999,1640.0,,$1640-1644.999,finalized,2022-09-26 14:05:04,2022-09-26
3,89,74,0,1664201104,0.0,26,11,0,,GOLD-22SEP2616-B1642.5,between,1644.999,1640.0,,$1640-1644.999,finalized,2022-09-26 14:05:04,2022-09-26
4,89,0,0,1664201108,0.0,100,11,0,,GOLD-22SEP2616-B1647.5,between,1650.0,1645.0,,$1645-1650,finalized,2022-09-26 14:05:08,2022-09-26
5,89,74,0,1664201108,0.0,26,11,0,,GOLD-22SEP2616-B1647.5,between,1650.0,1645.0,,$1645-1650,finalized,2022-09-26 14:05:08,2022-09-26
6,92,0,0,1664201111,0.0,100,8,0,,GOLD-22SEP2616-B1637.5,between,1639.999,1635.0,,$1635-1639.999,finalized,2022-09-26 14:05:11,2022-09-26
7,76,0,0,1664201112,0.0,100,24,0,,GOLD-22SEP2616-T1650,greater,,1650.0,,>$1650,finalized,2022-09-26 14:05:12,2022-09-26
8,76,61,0,1664201112,0.0,39,24,0,,GOLD-22SEP2616-T1650,greater,,1650.0,,>$1650,finalized,2022-09-26 14:05:12,2022-09-26
9,89,0,0,1664201115,0.0,100,11,0,,GOLD-22SEP2616-B1642.5,between,1644.999,1640.0,,$1640-1644.999,finalized,2022-09-26 14:05:15,2022-09-26
10,92,0,0,1664201115,0.0,100,8,0,,GOLD-22SEP2616-T1635,less,1635.0,,,<$1635,finalized,2022-09-26 14:05:15,2022-09-26
11,92,77,0,1664201116,0.0,23,8,0,,GOLD-22SEP2616-T1635,less,1635.0,,,<$1635,finalized,2022-09-26 14:05:16,2022-09-26
12,100,0,0,1664201119,0.0,100,0,0,,GOLD-22SEP2616-B1637.5,between,1639.999,1635.0,,$1635-1639.999,finalized,2022-09-26 14:05:19,2022-09-26
13,93,78,0,1664201119,0.0,22,7,0,,GOLD-22SEP2616-B1637.5,between,1639.999,1635.0,,$1635-1639.999,finalized,2022-09-26 14:05:19,2022-09-26
14,100,74,0,1664201119,0.0,26,0,0,,GOLD-22SEP2616-B1647.5,between,1650.0,1645.0,,$1645-1650,finalized,2022-09-26 14:05:19,2022-09-26
15,89,0,0,1664201123,0.0,100,11,0,,GOLD-22SEP2616-B1642.5,between,1644.999,1640.0,,$1640-1644.999,finalized,2022-09-26 14:05:23,2022-09-26
16,89,74,0,1664201123,0.0,26,11,0,,GOLD-22SEP2616-B1642.5,between,1644.999,1640.0,,$1640-1644.999,finalized,2022-09-26 14:05:23,2022-09-26
17,89,74,0,1664201127,0.0,26,11,0,,GOLD-22SEP2616-B1647.5,between,1650.0,1645.0,,$1645-1650,finalized,2022-09-26 14:05:27,2022-09-26
18,89,74,0,1664201127,0.0,26,11,0,,GOLD-22SEP2616-B1647.5,between,1650.0,1645.0,,$1645-1650,finalized,2022-09-26 14:05:27,2022-09-26
19,100,61,0,1664201127,0.0,39,0,0,,GOLD-22SEP2616-T1650,greater,,1650.0,,>$1650,finalized,2022-09-26 14:05:27,2022-09-26
20,93,0,0,1664201130,0.0,100,7,0,,GOLD-22SEP2616-B1637.5,between,1639.999,1635.0,,$1635-1639.999,finalized,2022-09-26 14:05:30,2022-09-26
21,76,61,0,1664201130,0.0,39,24,0,,GOLD-22SEP2616-T1650,greater,,1650.0,,>$1650,finalized,2022-09-26 14:05:30,2022-09-26
