,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1659105165,0.0,100,1,0,,HOMEUS-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 14:32:45,2022-07-29
1,99,0,0,1659105177,0.0,100,1,0,,HOMEUS-22AUG-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 14:32:57,2022-07-29
2,99,1,0,1659105187,0.0,99,1,0,,HOMEUS-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 14:33:07,2022-07-29
3,99,1,0,1659105195,0.0,99,1,0,,HOMEUS-22AUG-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 14:33:15,2022-07-29
4,99,0,0,1659105208,0.0,100,1,0,,HOMEUS-22AUG-T1.2,greater,,1.2,,>1.2%,finalized,2022-07-29 14:33:28,2022-07-29
5,99,1,0,1659105216,0.0,99,1,0,,HOMEUS-22AUG-T1.2,greater,,1.2,,>1.2%,finalized,2022-07-29 14:33:36,2022-07-29
6,99,0,0,1659105222,0.0,100,1,0,,HOMEUS-22AUG-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 14:33:42,2022-07-29
7,99,1,0,1659105229,0.0,99,1,0,,HOMEUS-22AUG-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 14:33:49,2022-07-29
8,99,2,0,1659105983,0.0,98,1,0,,HOMEUS-22AUG-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 14:46:23,2022-07-29
9,98,1,0,1659106168,0.0,99,2,0,,HOMEUS-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 14:49:28,2022-07-29
10,95,1,0,1659112896,0.0,99,5,0,,HOMEUS-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 16:41:36,2022-07-29
11,98,1,0,1659112916,0.0,99,2,0,,HOMEUS-22AUG-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 16:41:56,2022-07-29
12,64,1,0,1659130726,0.0,99,36,0,,HOMEUS-22AUG-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:38:46,2022-07-29
13,63,1,0,1659130726,0.0,99,37,0,,HOMEUS-22AUG-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:38:46,2022-07-29
14,62,1,0,1659130726,0.0,99,38,0,,HOMEUS-22AUG-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:38:46,2022-07-29
15,62,58,0,1659130726,0.0,42,38,0,,HOMEUS-22AUG-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:38:46,2022-07-29
16,62,58,0,1659130726,0.0,42,38,0,,HOMEUS-22AUG-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:38:46,2022-07-29
17,62,58,0,1659130726,0.0,42,38,0,,HOMEUS-22AUG-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:38:46,2022-07-29
18,29,1,0,1659130727,0.0,99,71,0,,HOMEUS-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 21:38:47,2022-07-29
19,28,1,0,1659130727,0.0,99,72,0,,HOMEUS-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 21:38:47,2022-07-29
20,27,1,0,1659130727,0.0,99,73,0,,HOMEUS-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 21:38:47,2022-07-29
21,27,23,0,1659130727,0.0,77,73,0,,HOMEUS-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 21:38:47,2022-07-29
22,74,1,0,1659130727,0.0,99,26,0,,HOMEUS-22AUG-T1.2,greater,,1.2,,>1.2%,finalized,2022-07-29 21:38:47,2022-07-29
23,73,1,0,1659130727,0.0,99,27,0,,HOMEUS-22AUG-T1.2,greater,,1.2,,>1.2%,finalized,2022-07-29 21:38:47,2022-07-29
24,72,1,0,1659130727,0.0,99,28,0,,HOMEUS-22AUG-T1.2,greater,,1.2,,>1.2%,finalized,2022-07-29 21:38:47,2022-07-29
25,72,68,0,1659130727,0.0,32,28,0,,HOMEUS-22AUG-T1.2,greater,,1.2,,>1.2%,finalized,2022-07-29 21:38:47,2022-07-29
26,72,68,0,1659130727,0.0,32,28,0,,HOMEUS-22AUG-T1.2,greater,,1.2,,>1.2%,finalized,2022-07-29 21:38:47,2022-07-29
27,72,68,0,1659130727,0.0,32,28,0,,HOMEUS-22AUG-T1.2,greater,,1.2,,>1.2%,finalized,2022-07-29 21:38:47,2022-07-29
28,27,23,0,1659130728,0.0,77,73,0,,HOMEUS-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 21:38:48,2022-07-29
29,27,23,0,1659130728,0.0,77,73,0,,HOMEUS-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 21:38:48,2022-07-29
30,89,2,0,1659130728,0.0,98,11,0,,HOMEUS-22AUG-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 21:38:48,2022-07-29
31,88,2,0,1659130728,0.0,98,12,0,,HOMEUS-22AUG-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 21:38:48,2022-07-29
32,87,2,0,1659130728,0.0,98,13,0,,HOMEUS-22AUG-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 21:38:48,2022-07-29
33,87,83,0,1659130728,0.0,17,13,0,,HOMEUS-22AUG-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 21:38:48,2022-07-29
34,87,83,0,1659130728,0.0,17,13,0,,HOMEUS-22AUG-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 21:38:48,2022-07-29
35,87,83,0,1659130728,0.0,17,13,0,,HOMEUS-22AUG-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 21:38:48,2022-07-29
36,62,58,0,1659131079,0.0,42,38,0,,HOMEUS-22AUG-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:44:39,2022-07-29
37,62,58,0,1659131079,0.0,42,38,0,,HOMEUS-22AUG-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:44:39,2022-07-29
