,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,95,0,0,1659110950,0.0,100,5,0,,HOMEUS-22JUL-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 16:09:10,2022-07-29
1,90,0,0,1659111279,0.0,100,10,0,,HOMEUS-22JUL-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 16:14:39,2022-07-29
2,95,0,0,1659111292,0.0,100,5,0,,HOMEUS-22JUL-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 16:14:52,2022-07-29
3,100,10,0,1659111333,0.0,90,0,0,,HOMEUS-22JUL-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 16:15:33,2022-07-29
4,90,0,0,1659116274,0.0,100,10,0,,HOMEUS-22JUL-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 17:37:54,2022-07-29
5,95,0,0,1659117608,0.0,100,5,0,,HOMEUS-22JUL-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 18:00:08,2022-07-29
6,90,5,0,1659120403,0.0,95,10,0,,HOMEUS-22JUL-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 18:46:43,2022-07-29
7,7,5,0,1659130409,0.0,95,93,0,,HOMEUS-22JUL-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 21:33:29,2022-07-29
8,6,5,0,1659130409,0.0,95,94,0,,HOMEUS-22JUL-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 21:33:29,2022-07-29
9,5,0,100,1659130409,100.0,100,95,95,,HOMEUS-22JUL-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 21:33:29,2022-07-29
10,5,1,100,1659130409,0.0,99,95,95,,HOMEUS-22JUL-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 21:33:29,2022-07-29
11,64,0,0,1659130410,0.0,100,36,0,,HOMEUS-22JUL-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:33:30,2022-07-29
12,63,0,0,1659130410,0.0,100,37,0,,HOMEUS-22JUL-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:33:30,2022-07-29
13,62,0,0,1659130410,0.0,100,38,0,,HOMEUS-22JUL-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:33:30,2022-07-29
14,62,58,0,1659130410,0.0,42,38,0,,HOMEUS-22JUL-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:33:30,2022-07-29
15,62,58,0,1659130410,0.0,42,38,0,,HOMEUS-22JUL-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:33:30,2022-07-29
16,62,58,0,1659130410,0.0,42,38,0,,HOMEUS-22JUL-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:33:30,2022-07-29
17,89,10,0,1659130411,0.0,90,11,0,,HOMEUS-22JUL-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 21:33:31,2022-07-29
18,88,10,0,1659130411,0.0,90,12,0,,HOMEUS-22JUL-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 21:33:31,2022-07-29
19,87,10,0,1659130411,0.0,90,13,0,,HOMEUS-22JUL-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 21:33:31,2022-07-29
20,87,83,0,1659130411,0.0,17,13,0,,HOMEUS-22JUL-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 21:33:31,2022-07-29
21,87,83,0,1659130411,0.0,17,13,0,,HOMEUS-22JUL-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 21:33:31,2022-07-29
22,87,83,0,1659130411,0.0,17,13,0,,HOMEUS-22JUL-T1.5,greater,,1.5,,>1.5%,finalized,2022-07-29 21:33:31,2022-07-29
23,63,58,0,1659130481,0.0,42,37,0,,HOMEUS-22JUL-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:34:41,2022-07-29
24,63,58,0,1659130481,0.0,42,37,0,,HOMEUS-22JUL-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:34:41,2022-07-29
25,5,2,100,1659130483,0.0,98,95,95,,HOMEUS-22JUL-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-29 21:34:43,2022-07-29
26,63,58,0,1659130620,0.0,42,37,0,,HOMEUS-22JUL-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:37:00,2022-07-29
27,63,58,0,1659131074,0.0,42,37,0,,HOMEUS-22JUL-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:44:34,2022-07-29
28,63,58,0,1659131074,0.0,42,37,0,,HOMEUS-22JUL-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:44:34,2022-07-29
29,63,58,0,1659131074,0.0,42,37,0,,HOMEUS-22JUL-T1.0,greater,,1.0,,>1.0%,finalized,2022-07-29 21:44:34,2022-07-29
