,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1669242586,0.0,99,0,0,,HOMEUS-22NOV-T0.6,greater,,0.6,,>0.6%,finalized,2022-11-23 22:29:46,2022-11-23
1,100,1,0,1669242592,0.0,99,0,0,,HOMEUS-22NOV-T0.4,greater,,0.4,,>0.4%,finalized,2022-11-23 22:29:52,2022-11-23
2,100,1,0,1669242597,0.0,99,0,0,,HOMEUS-22NOV-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-23 22:29:57,2022-11-23
3,99,1,0,1669242602,0.0,99,1,0,,HOMEUS-22NOV-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-23 22:30:02,2022-11-23
4,100,1,0,1669242608,0.0,99,0,0,,HOMEUS-22NOV-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-23 22:30:08,2022-11-23
5,99,1,0,1669242614,0.0,99,1,0,,HOMEUS-22NOV-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-23 22:30:14,2022-11-23
6,99,0,0,1669242622,0.0,100,1,0,,HOMEUS-22NOV-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-11-23 22:30:22,2022-11-23
7,99,1,5,1669849705,5.0,99,1,99,,HOMEUS-22NOV-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-30 23:08:25,2022-11-30
8,99,20,0,1669858118,0.0,80,1,0,,HOMEUS-22NOV-T0.2,greater,,0.2,,>0.2%,finalized,2022-12-01 01:28:38,2022-12-01
9,99,10,5,1669858144,0.0,90,1,99,,HOMEUS-22NOV-T0.0,greater,,0.0,,>0.0%,finalized,2022-12-01 01:29:04,2022-12-01
10,100,50,0,1669858199,0.0,50,0,0,,HOMEUS-22NOV-T0.4,greater,,0.4,,>0.4%,finalized,2022-12-01 01:29:59,2022-12-01
11,100,60,0,1669858242,0.0,40,0,0,,HOMEUS-22NOV-T0.6,greater,,0.6,,>0.6%,finalized,2022-12-01 01:30:42,2022-12-01
12,100,61,0,1670079274,0.0,39,0,0,,HOMEUS-22NOV-T0.6,greater,,0.6,,>0.6%,finalized,2022-12-03 14:54:34,2022-12-03
13,100,51,0,1670079312,0.0,49,0,0,,HOMEUS-22NOV-T0.4,greater,,0.4,,>0.4%,finalized,2022-12-03 14:55:12,2022-12-03
14,98,0,0,1670079351,0.0,100,2,0,,HOMEUS-22NOV-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-12-03 14:55:51,2022-12-03
15,98,10,5,1670079377,0.0,90,2,99,,HOMEUS-22NOV-T0.0,greater,,0.0,,>0.0%,finalized,2022-12-03 14:56:17,2022-12-03
16,100,60,0,1670115146,0.0,40,0,0,,HOMEUS-22NOV-T0.6,greater,,0.6,,>0.6%,finalized,2022-12-04 00:52:26,2022-12-04
