,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,25,0,1665770663,0.0,75,0,0,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-14 18:04:23,2022-10-14
1,100,35,0,1665773188,0.0,65,0,0,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-14 18:46:28,2022-10-14
2,100,15,0,1665773207,0.0,85,0,0,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-14 18:46:47,2022-10-14
3,90,25,0,1665773230,0.0,75,10,0,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-14 18:47:10,2022-10-14
4,80,0,0,1665773241,0.0,100,20,0,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-14 18:47:21,2022-10-14
5,80,10,0,1665773252,0.0,90,20,0,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-14 18:47:32,2022-10-14
6,90,0,0,1665775265,0.0,100,10,0,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-14 19:21:05,2022-10-14
7,100,36,0,1665942670,0.0,64,0,0,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-16 17:51:10,2022-10-16
8,34,10,0,1665951894,0.0,90,66,0,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-16 20:24:54,2022-10-16
9,80,10,0,1665951909,0.0,90,20,0,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-16 20:25:09,2022-10-16
10,61,10,0,1665951929,0.0,90,39,0,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-16 20:25:29,2022-10-16
11,100,50,0,1665951966,0.0,50,0,0,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-16 20:26:06,2022-10-16
12,84,0,0,1665951982,0.0,100,16,0,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-16 20:26:22,2022-10-16
13,100,33,0,1665951997,0.0,67,0,0,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-16 20:26:37,2022-10-16
14,61,11,0,1665955722,0.0,89,39,0,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-16 21:28:42,2022-10-16
15,100,36,0,1666037487,0.0,64,0,0,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-17 20:11:27,2022-10-17
16,100,40,0,1666037494,0.0,60,0,0,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-17 20:11:34,2022-10-17
17,100,15,0,1666037513,0.0,85,0,0,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-17 20:11:53,2022-10-17
18,100,17,0,1666037518,0.0,83,0,0,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-17 20:11:58,2022-10-17
19,90,0,0,1666037529,0.0,100,10,0,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-17 20:12:09,2022-10-17
20,90,1,0,1666037540,0.0,99,10,0,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-17 20:12:20,2022-10-17
21,88,1,0,1666037558,0.0,99,12,0,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-17 20:12:38,2022-10-17
22,80,11,0,1666037565,0.0,89,20,0,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-17 20:12:45,2022-10-17
23,79,11,0,1666037582,0.0,89,21,0,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-17 20:13:02,2022-10-17
24,79,13,0,1666037589,0.0,87,21,0,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-17 20:13:09,2022-10-17
25,88,33,0,1666135577,0.0,67,12,0,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-18 23:26:17,2022-10-18
26,67,17,0,1666135577,0.0,83,33,0,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-18 23:26:17,2022-10-18
27,67,58,0,1666135577,0.0,42,33,0,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-18 23:26:17,2022-10-18
28,87,40,0,1666135577,0.0,60,13,0,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-18 23:26:17,2022-10-18
29,87,81,0,1666135577,0.0,19,13,0,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-18 23:26:17,2022-10-18
30,17,13,0,1666135577,0.0,87,83,0,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-18 23:26:17,2022-10-18
31,38,33,0,1666135578,0.0,67,62,0,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-18 23:26:18,2022-10-18
32,87,83,0,1666135578,0.0,17,13,0,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-18 23:26:18,2022-10-18
33,67,62,0,1666135581,0.0,38,33,0,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-18 23:26:21,2022-10-18
34,38,33,1,1666186631,1.0,67,62,67,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-19 13:37:11,2022-10-19
35,17,13,10,1666203754,10.0,87,83,87,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-19 18:22:34,2022-10-19
36,87,83,100,1666215735,100.0,17,13,13,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-19 21:42:15,2022-10-19
37,87,84,100,1666215740,0.0,16,13,13,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-19 21:42:20,2022-10-19
38,67,60,0,1666215870,0.0,40,33,0,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-19 21:44:30,2022-10-19
39,67,62,0,1666215870,0.0,38,33,0,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-19 21:44:30,2022-10-19
40,88,84,100,1666215870,0.0,16,12,13,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-19 21:44:30,2022-10-19
41,38,31,1,1666215871,0.0,69,62,67,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-19 21:44:31,2022-10-19
42,68,62,0,1666215871,0.0,38,32,0,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-19 21:44:31,2022-10-19
43,38,33,1,1666215872,0.0,67,62,67,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-19 21:44:32,2022-10-19
44,38,33,22,1666222666,22.0,67,62,62,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-19 23:37:46,2022-10-19
45,41,33,22,1666222721,0.0,67,59,62,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-19 23:38:41,2022-10-19
46,39,33,22,1666222721,0.0,67,61,62,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-19 23:38:41,2022-10-19
47,16,13,10,1666229173,0.0,87,84,87,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-20 01:26:13,2022-10-20
48,68,62,7,1666276847,7.0,38,32,32,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-20 14:40:47,2022-10-20
49,39,33,1,1666276867,22.0,67,61,67,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-20 14:41:07,2022-10-20
50,68,62,17,1666276879,10.0,38,32,32,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-20 14:41:19,2022-10-20
51,40,33,1,1666276961,0.0,67,60,67,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-20 14:42:41,2022-10-20
52,38,33,1,1666276962,0.0,67,62,67,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-20 14:42:42,2022-10-20
53,38,33,1,1666290803,1.0,67,62,62,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-20 18:33:23,2022-10-20
54,17,13,10,1666300247,0.0,87,83,87,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-20 21:10:47,2022-10-20
55,19,13,233,1666301392,223.0,87,81,83,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-20 21:29:52,2022-10-20
56,40,33,1,1666301480,0.0,67,60,62,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-20 21:31:20,2022-10-20
57,42,33,1,1666301480,0.0,67,58,62,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-20 21:31:20,2022-10-20
58,41,33,1,1666301480,0.0,67,59,62,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-20 21:31:20,2022-10-20
59,39,33,1,1666301480,0.0,67,61,62,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-20 21:31:20,2022-10-20
60,39,1,1,1666301480,0.0,99,61,62,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-20 21:31:20,2022-10-20
61,39,34,1,1666301480,0.0,66,61,62,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-20 21:31:20,2022-10-20
62,68,60,17,1666301480,0.0,40,32,32,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-20 21:31:20,2022-10-20
63,68,58,17,1666301480,0.0,42,32,32,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-20 21:31:20,2022-10-20
64,68,63,17,1666301480,0.0,37,32,32,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-20 21:31:20,2022-10-20
65,19,14,233,1666301480,0.0,86,81,83,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-20 21:31:20,2022-10-20
66,68,63,52,1666383063,35.0,37,32,32,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-21 20:11:03,2022-10-21
67,40,34,1,1666383096,0.0,66,60,62,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-21 20:11:36,2022-10-21
68,70,63,52,1666383096,0.0,37,30,32,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-21 20:11:36,2022-10-21
69,100,63,52,1666383096,0.0,37,0,32,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-21 20:11:36,2022-10-21
70,69,63,52,1666383096,0.0,37,31,32,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-21 20:11:36,2022-10-21
71,40,34,148,1666398099,147.0,66,60,66,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-22 00:21:39,2022-10-22
72,38,34,148,1666398163,0.0,66,62,66,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-22 00:22:43,2022-10-22
73,38,33,148,1666398163,0.0,67,62,66,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-22 00:22:43,2022-10-22
74,68,63,52,1666398163,0.0,37,32,32,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-22 00:22:43,2022-10-22
75,18,14,233,1666398163,0.0,86,82,83,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-22 00:22:43,2022-10-22
76,68,63,64,1666471255,12.0,37,32,32,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-22 20:40:55,2022-10-22
77,38,33,148,1666471272,5.0,67,62,62,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-22 20:41:12,2022-10-22
78,18,14,233,1666702813,5.0,86,82,86,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-25 13:00:13,2022-10-25
79,18,14,233,1666707479,5.0,86,82,86,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-25 14:17:59,2022-10-25
80,88,84,105,1666707509,5.0,16,12,12,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-25 14:18:29,2022-10-25
81,88,85,105,1666709664,0.0,15,12,12,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-25 14:54:24,2022-10-25
82,16,14,233,1666713671,0.0,86,84,86,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-25 16:01:11,2022-10-25
83,68,65,64,1666713696,0.0,35,32,32,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-25 16:01:36,2022-10-25
84,88,33,593,1666747230,587.0,67,12,58,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-26 01:20:30,2022-10-26
85,71,65,64,1666747303,0.0,35,29,32,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-26 01:21:43,2022-10-26
86,89,85,105,1666747303,0.0,15,11,12,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-26 01:21:43,2022-10-26
87,88,31,593,1666747304,0.0,69,12,58,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-26 01:21:44,2022-10-26
88,88,29,593,1666747304,0.0,71,12,58,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-26 01:21:44,2022-10-26
89,71,66,64,1666747304,0.0,34,29,32,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-26 01:21:44,2022-10-26
90,79,16,223,1666747304,15.0,84,21,84,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-26 01:21:44,2022-10-26
91,21,16,223,1666747304,0.0,84,79,84,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-26 01:21:44,2022-10-26
92,88,1,593,1666747305,0.0,99,12,58,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-26 01:21:45,2022-10-26
93,79,16,223,1666747356,0.0,84,21,84,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-26 01:22:36,2022-10-26
94,44,1,593,1666747357,0.0,99,56,58,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-26 01:22:37,2022-10-26
95,44,39,593,1666747357,0.0,61,56,58,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-26 01:22:37,2022-10-26
96,20,16,223,1666747357,0.0,84,80,84,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-26 01:22:37,2022-10-26
97,19,16,223,1666748791,0.0,84,81,84,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-26 01:46:31,2022-10-26
98,44,39,593,1666797442,10.0,61,56,61,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-26 15:17:22,2022-10-26
99,44,38,593,1666797525,0.0,62,56,61,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-26 15:18:45,2022-10-26
100,20,16,223,1666797525,0.0,84,80,84,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-26 15:18:45,2022-10-26
101,46,38,673,1666813148,80.0,62,54,54,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-26 19:39:08,2022-10-26
102,71,66,114,1666813162,50.0,34,29,29,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-26 19:39:22,2022-10-26
103,46,36,673,1666813177,0.0,64,54,54,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-26 19:39:37,2022-10-26
104,71,67,114,1666813177,0.0,33,29,29,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-26 19:39:37,2022-10-26
105,72,67,114,1666813177,0.0,33,28,29,,HOMEUS-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-10-26 19:39:37,2022-10-26
106,90,85,105,1666813177,0.0,15,10,12,,HOMEUS-22OCT-T0.4,greater,,0.4,,>0.4%,finalized,2022-10-26 19:39:37,2022-10-26
107,20,15,223,1666813177,0.0,85,80,84,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-26 19:39:37,2022-10-26
108,22,15,223,1666813177,0.0,85,78,84,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-26 19:39:37,2022-10-26
109,21,15,223,1666813178,0.0,85,79,84,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-26 19:39:38,2022-10-26
110,21,17,223,1666813178,0.0,83,79,84,,HOMEUS-22OCT-TN0.2,greater,,-0.2,,>-0.2%,finalized,2022-10-26 19:39:38,2022-10-26
111,46,1,673,1666813181,0.0,99,54,54,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-26 19:39:41,2022-10-26
112,46,37,673,1666813181,0.0,63,54,54,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-26 19:39:41,2022-10-26
113,46,41,673,1666813181,0.0,59,54,54,,HOMEUS-22OCT-T0.0,greater,,0.0,,>0.0%,finalized,2022-10-26 19:39:41,2022-10-26
