,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1663081592,0.0,99,0,0,,HOMEUS-22SEP-T1.0,greater,,1.0,,>1.0%,finalized,2022-09-13 15:06:32,2022-09-13
1,100,1,0,1663081599,0.0,99,0,0,,HOMEUS-22SEP-T0.8,greater,,0.8,,>0.8%,finalized,2022-09-13 15:06:39,2022-09-13
2,100,1,0,1663081613,0.0,99,0,0,,HOMEUS-22SEP-T0.6,greater,,0.6,,>0.6%,finalized,2022-09-13 15:06:53,2022-09-13
3,99,0,0,1663081630,0.0,100,1,0,,HOMEUS-22SEP-T0.0,greater,,0.0,,>0.0%,finalized,2022-09-13 15:07:10,2022-09-13
4,99,1,0,1663081637,0.0,99,1,0,,HOMEUS-22SEP-T0.0,greater,,0.0,,>0.0%,finalized,2022-09-13 15:07:17,2022-09-13
5,100,1,0,1663081648,0.0,99,0,0,,HOMEUS-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-09-13 15:07:28,2022-09-13
6,100,1,0,1663081659,0.0,99,0,0,,HOMEUS-22SEP-T0.2,greater,,0.2,,>0.2%,finalized,2022-09-13 15:07:39,2022-09-13
7,98,1,0,1663090071,0.0,99,2,0,,HOMEUS-22SEP-T0.0,greater,,0.0,,>0.0%,finalized,2022-09-13 17:27:51,2022-09-13
8,98,2,0,1663090077,0.0,98,2,0,,HOMEUS-22SEP-T0.0,greater,,0.0,,>0.0%,finalized,2022-09-13 17:27:57,2022-09-13
9,100,10,0,1663090088,0.0,90,0,0,,HOMEUS-22SEP-T1.0,greater,,1.0,,>1.0%,finalized,2022-09-13 17:28:08,2022-09-13
10,100,10,0,1663090097,0.0,90,0,0,,HOMEUS-22SEP-T0.8,greater,,0.8,,>0.8%,finalized,2022-09-13 17:28:17,2022-09-13
11,100,10,0,1663090214,0.0,90,0,0,,HOMEUS-22SEP-T0.6,greater,,0.6,,>0.6%,finalized,2022-09-13 17:30:14,2022-09-13
12,100,10,0,1663090228,0.0,90,0,0,,HOMEUS-22SEP-T1.0,greater,,1.0,,>1.0%,finalized,2022-09-13 17:30:28,2022-09-13
13,100,10,0,1663090233,0.0,90,0,0,,HOMEUS-22SEP-T0.8,greater,,0.8,,>0.8%,finalized,2022-09-13 17:30:33,2022-09-13
14,100,10,0,1663090237,0.0,90,0,0,,HOMEUS-22SEP-T0.6,greater,,0.6,,>0.6%,finalized,2022-09-13 17:30:37,2022-09-13
15,100,2,0,1663090247,0.0,98,0,0,,HOMEUS-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-09-13 17:30:47,2022-09-13
16,90,2,0,1663090254,0.0,98,10,0,,HOMEUS-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-09-13 17:30:54,2022-09-13
17,90,1,0,1663090259,0.0,99,10,0,,HOMEUS-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-09-13 17:30:59,2022-09-13
18,100,1,0,1663090260,0.0,99,0,0,,HOMEUS-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-09-13 17:31:00,2022-09-13
19,100,2,0,1663090267,0.0,98,0,0,,HOMEUS-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-09-13 17:31:07,2022-09-13
20,100,10,0,1663090275,0.0,90,0,0,,HOMEUS-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-09-13 17:31:15,2022-09-13
21,99,1,0,1663090285,0.0,99,1,0,,HOMEUS-22SEP-T0.2,greater,,0.2,,>0.2%,finalized,2022-09-13 17:31:25,2022-09-13
22,99,3,0,1663090293,0.0,97,1,0,,HOMEUS-22SEP-T0.2,greater,,0.2,,>0.2%,finalized,2022-09-13 17:31:33,2022-09-13
23,100,50,0,1663090308,0.0,50,0,0,,HOMEUS-22SEP-T1.0,greater,,1.0,,>1.0%,finalized,2022-09-13 17:31:48,2022-09-13
24,99,10,0,1663101034,0.0,90,1,0,,HOMEUS-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-09-13 20:30:34,2022-09-13
25,98,52,0,1663189176,0.0,48,2,0,,HOMEUS-22SEP-T0.0,greater,,0.0,,>0.0%,finalized,2022-09-14 20:59:36,2022-09-14
26,64,52,0,1663189176,0.0,48,36,0,,HOMEUS-22SEP-T0.0,greater,,0.0,,>0.0%,finalized,2022-09-14 20:59:36,2022-09-14
27,64,52,0,1663189176,0.0,48,36,0,,HOMEUS-22SEP-T0.0,greater,,0.0,,>0.0%,finalized,2022-09-14 20:59:36,2022-09-14
28,64,56,0,1663189176,0.0,44,36,0,,HOMEUS-22SEP-T0.0,greater,,0.0,,>0.0%,finalized,2022-09-14 20:59:36,2022-09-14
29,62,56,0,1663189176,0.0,44,38,0,,HOMEUS-22SEP-T0.0,greater,,0.0,,>0.0%,finalized,2022-09-14 20:59:36,2022-09-14
30,62,56,0,1663189176,0.0,44,38,0,,HOMEUS-22SEP-T0.0,greater,,0.0,,>0.0%,finalized,2022-09-14 20:59:36,2022-09-14
31,89,10,0,1663189176,0.0,90,11,0,,HOMEUS-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-09-14 20:59:36,2022-09-14
32,88,10,0,1663189176,0.0,90,12,0,,HOMEUS-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-09-14 20:59:36,2022-09-14
33,88,10,0,1663189176,0.0,90,12,0,,HOMEUS-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-09-14 20:59:36,2022-09-14
34,88,84,0,1663189176,0.0,16,12,0,,HOMEUS-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-09-14 20:59:36,2022-09-14
35,96,10,0,1663189176,0.0,90,4,0,,HOMEUS-22SEP-T0.6,greater,,0.6,,>0.6%,finalized,2022-09-14 20:59:36,2022-09-14
36,94,10,0,1663189176,0.0,90,6,0,,HOMEUS-22SEP-T0.6,greater,,0.6,,>0.6%,finalized,2022-09-14 20:59:36,2022-09-14
