,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,99,0,1659143453,0.0,1,0,0,,INXM-22AUG31-T4800,greater,,4800.0,,>4800,finalized,2022-07-30 01:10:53,2022-07-30
1,100,99,0,1659184641,0.0,1,0,0,,INXM-22AUG31-B4750,between,4800.0,4700.0,,4700-4800,finalized,2022-07-30 12:37:21,2022-07-30
2,100,0,5,1659190648,5.0,100,0,1,,INXM-22AUG31-B4750,between,4800.0,4700.0,,4700-4800,finalized,2022-07-30 14:17:28,2022-07-30
3,100,99,5,1659190679,5.0,1,0,1,,INXM-22AUG31-T4800,greater,,4800.0,,>4800,finalized,2022-07-30 14:17:59,2022-07-30
4,100,99,6,1659191217,1.0,1,0,1,,INXM-22AUG31-T4800,greater,,4800.0,,>4800,finalized,2022-07-30 14:26:57,2022-07-30
5,99,0,0,1659193342,0.0,100,1,0,,INXM-22AUG31-T3500,less,3500.0,,,<3500,finalized,2022-07-30 15:02:22,2022-07-30
6,99,0,0,1659193381,0.0,100,1,0,,INXM-22AUG31-B3550,between,3599.99,3500.0,,3500-3599.99,finalized,2022-07-30 15:03:01,2022-07-30
7,99,0,0,1659193407,0.0,100,1,0,,INXM-22AUG31-B3650,between,3699.99,3600.0,,3600-3699.99,finalized,2022-07-30 15:03:27,2022-07-30
8,99,0,0,1659193429,0.0,100,1,0,,INXM-22AUG31-B3750,between,3799.99,3700.0,,3700-3799.99,finalized,2022-07-30 15:03:49,2022-07-30
9,99,0,0,1659193446,0.0,100,1,0,,INXM-22AUG31-B3850,between,3899.99,3800.0,,3800-3899.99,finalized,2022-07-30 15:04:06,2022-07-30
10,99,0,0,1659193483,0.0,100,1,0,,INXM-22AUG31-B3950,between,3999.99,3900.0,,3900-3999.99,finalized,2022-07-30 15:04:43,2022-07-30
11,99,0,0,1659193537,0.0,100,1,0,,INXM-22AUG31-B4050,between,4099.99,4000.0,,4000-4099.99,finalized,2022-07-30 15:05:37,2022-07-30
12,99,0,0,1659193554,0.0,100,1,0,,INXM-22AUG31-B4150,between,4199.99,4100.0,,4100-4199.99,finalized,2022-07-30 15:05:54,2022-07-30
13,99,0,0,1659193573,0.0,100,1,0,,INXM-22AUG31-B4250,between,4299.99,4200.0,,4200-4299.99,finalized,2022-07-30 15:06:13,2022-07-30
14,99,0,0,1659193623,0.0,100,1,0,,INXM-22AUG31-B4350,between,4399.99,4300.0,,4300-4399.99,finalized,2022-07-30 15:07:03,2022-07-30
15,99,0,0,1659193642,0.0,100,1,0,,INXM-22AUG31-B4450,between,4499.99,4400.0,,4400-4499.99,finalized,2022-07-30 15:07:22,2022-07-30
16,99,0,0,1659193674,0.0,100,1,0,,INXM-22AUG31-B4550,between,4599.99,4500.0,,4500-4599.99,finalized,2022-07-30 15:07:54,2022-07-30
17,99,0,0,1659193694,0.0,100,1,0,,INXM-22AUG31-B4650,between,4699.99,4600.0,,4600-4699.99,finalized,2022-07-30 15:08:14,2022-07-30
18,99,1,0,1659194891,0.0,99,1,0,,INXM-22AUG31-B4150,between,4199.99,4100.0,,4100-4199.99,finalized,2022-07-30 15:28:11,2022-07-30
19,99,0,0,1659194905,0.0,100,1,0,,INXM-22AUG31-B4150,between,4199.99,4100.0,,4100-4199.99,finalized,2022-07-30 15:28:25,2022-07-30
20,99,1,0,1659194914,0.0,99,1,0,,INXM-22AUG31-B4150,between,4199.99,4100.0,,4100-4199.99,finalized,2022-07-30 15:28:34,2022-07-30
21,99,1,0,1659194926,0.0,99,1,0,,INXM-22AUG31-B4050,between,4099.99,4000.0,,4000-4099.99,finalized,2022-07-30 15:28:46,2022-07-30
22,99,1,0,1659194936,0.0,99,1,0,,INXM-22AUG31-B4250,between,4299.99,4200.0,,4200-4299.99,finalized,2022-07-30 15:28:56,2022-07-30
23,99,1,0,1659194950,0.0,99,1,0,,INXM-22AUG31-B3950,between,3999.99,3900.0,,3900-3999.99,finalized,2022-07-30 15:29:10,2022-07-30
