,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,97,0,1657116203,0.0,3,0,0,,INXM-22JUL29-B3350,between,3399.99,3300.0,,3300-3399.99,finalized,2022-07-06 14:03:23,2022-07-06
1,100,97,0,1657116203,0.0,3,0,0,,INXM-22JUL29-B3350,between,3399.99,3300.0,,3300-3399.99,finalized,2022-07-06 14:03:23,2022-07-06
2,100,97,0,1657116203,0.0,3,0,0,,INXM-22JUL29-B3350,between,3399.99,3300.0,,3300-3399.99,finalized,2022-07-06 14:03:23,2022-07-06
3,99,0,0,1657116205,0.0,100,1,0,,INXM-22JUL29-B3450,between,3499.99,3400.0,,3400-3499.99,finalized,2022-07-06 14:03:25,2022-07-06
4,99,96,0,1657116205,0.0,4,1,0,,INXM-22JUL29-B3450,between,3499.99,3400.0,,3400-3499.99,finalized,2022-07-06 14:03:25,2022-07-06
5,99,96,0,1657116206,0.0,4,1,0,,INXM-22JUL29-B3450,between,3499.99,3400.0,,3400-3499.99,finalized,2022-07-06 14:03:26,2022-07-06
6,99,96,0,1657116206,0.0,4,1,0,,INXM-22JUL29-B3450,between,3499.99,3400.0,,3400-3499.99,finalized,2022-07-06 14:03:26,2022-07-06
7,98,0,0,1657116206,0.0,100,2,0,,INXM-22JUL29-B3550,between,3599.99,3500.0,,3500-3599.99,finalized,2022-07-06 14:03:26,2022-07-06
8,97,0,0,1657116206,0.0,100,3,0,,INXM-22JUL29-B3550,between,3599.99,3500.0,,3500-3599.99,finalized,2022-07-06 14:03:26,2022-07-06
9,96,0,0,1657116206,0.0,100,4,0,,INXM-22JUL29-B3550,between,3599.99,3500.0,,3500-3599.99,finalized,2022-07-06 14:03:26,2022-07-06
10,96,93,0,1657116206,0.0,7,4,0,,INXM-22JUL29-B3550,between,3599.99,3500.0,,3500-3599.99,finalized,2022-07-06 14:03:26,2022-07-06
11,96,93,0,1657116206,0.0,7,4,0,,INXM-22JUL29-B3550,between,3599.99,3500.0,,3500-3599.99,finalized,2022-07-06 14:03:26,2022-07-06
12,96,93,0,1657116206,0.0,7,4,0,,INXM-22JUL29-B3550,between,3599.99,3500.0,,3500-3599.99,finalized,2022-07-06 14:03:26,2022-07-06
13,92,0,0,1657116207,0.0,100,8,0,,INXM-22JUL29-B3650,between,3699.99,3600.0,,3600-3699.99,finalized,2022-07-06 14:03:27,2022-07-06
14,91,0,0,1657116207,0.0,100,9,0,,INXM-22JUL29-B3650,between,3699.99,3600.0,,3600-3699.99,finalized,2022-07-06 14:03:27,2022-07-06
15,90,0,0,1657116207,0.0,100,10,0,,INXM-22JUL29-B3650,between,3699.99,3600.0,,3600-3699.99,finalized,2022-07-06 14:03:27,2022-07-06
16,90,87,0,1657116207,0.0,13,10,0,,INXM-22JUL29-B3650,between,3699.99,3600.0,,3600-3699.99,finalized,2022-07-06 14:03:27,2022-07-06
17,90,87,0,1657116207,0.0,13,10,0,,INXM-22JUL29-B3650,between,3699.99,3600.0,,3600-3699.99,finalized,2022-07-06 14:03:27,2022-07-06
18,90,87,0,1657116207,0.0,13,10,0,,INXM-22JUL29-B3650,between,3699.99,3600.0,,3600-3699.99,finalized,2022-07-06 14:03:27,2022-07-06
19,84,0,0,1657116208,0.0,100,16,0,,INXM-22JUL29-B3750,between,3799.99,3700.0,,3700-3799.99,finalized,2022-07-06 14:03:28,2022-07-06
20,83,0,0,1657116208,0.0,100,17,0,,INXM-22JUL29-B3750,between,3799.99,3700.0,,3700-3799.99,finalized,2022-07-06 14:03:28,2022-07-06
21,82,0,0,1657116208,0.0,100,18,0,,INXM-22JUL29-B3750,between,3799.99,3700.0,,3700-3799.99,finalized,2022-07-06 14:03:28,2022-07-06
22,82,77,0,1657116208,0.0,23,18,0,,INXM-22JUL29-B3750,between,3799.99,3700.0,,3700-3799.99,finalized,2022-07-06 14:03:28,2022-07-06
23,82,77,0,1657116208,0.0,23,18,0,,INXM-22JUL29-B3750,between,3799.99,3700.0,,3700-3799.99,finalized,2022-07-06 14:03:28,2022-07-06
24,82,77,0,1657116208,0.0,23,18,0,,INXM-22JUL29-B3750,between,3799.99,3700.0,,3700-3799.99,finalized,2022-07-06 14:03:28,2022-07-06
25,81,0,0,1657116208,0.0,100,19,0,,INXM-22JUL29-B3850,between,3899.99,3800.0,,3800-3899.99,finalized,2022-07-06 14:03:28,2022-07-06
26,80,0,0,1657116208,0.0,100,20,0,,INXM-22JUL29-B3850,between,3899.99,3800.0,,3800-3899.99,finalized,2022-07-06 14:03:28,2022-07-06
27,79,0,0,1657116208,0.0,100,21,0,,INXM-22JUL29-B3850,between,3899.99,3800.0,,3800-3899.99,finalized,2022-07-06 14:03:28,2022-07-06
28,79,74,0,1657116208,0.0,26,21,0,,INXM-22JUL29-B3850,between,3899.99,3800.0,,3800-3899.99,finalized,2022-07-06 14:03:28,2022-07-06
29,79,74,0,1657116208,0.0,26,21,0,,INXM-22JUL29-B3850,between,3899.99,3800.0,,3800-3899.99,finalized,2022-07-06 14:03:28,2022-07-06
30,79,74,0,1657116208,0.0,26,21,0,,INXM-22JUL29-B3850,between,3899.99,3800.0,,3800-3899.99,finalized,2022-07-06 14:03:28,2022-07-06
