,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,44,0,1660167102,0.0,56,0,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:31:42,2022-08-10
1,100,46,0,1660167102,0.0,54,0,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:31:42,2022-08-10
2,53,46,0,1660167102,0.0,54,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:31:42,2022-08-10
3,53,46,0,1660167102,0.0,54,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:31:42,2022-08-10
4,51,46,0,1660167102,0.0,54,49,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:31:42,2022-08-10
5,51,46,0,1660167102,0.0,54,49,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:31:42,2022-08-10
6,52,46,0,1660168122,0.0,54,48,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:48:42,2022-08-10
7,53,46,0,1660168122,0.0,54,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:48:42,2022-08-10
8,53,46,0,1660168123,0.0,54,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:48:43,2022-08-10
9,53,47,0,1660168124,0.0,53,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:48:44,2022-08-10
10,53,47,0,1660168124,0.0,53,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:48:44,2022-08-10
11,53,47,0,1660168124,0.0,53,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:48:44,2022-08-10
12,53,47,0,1660168192,0.0,53,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:49:52,2022-08-10
13,52,47,0,1660168192,0.0,53,48,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:49:52,2022-08-10
14,52,47,0,1660168192,0.0,53,48,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:49:52,2022-08-10
15,52,46,0,1660168192,0.0,54,48,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:49:52,2022-08-10
16,52,46,0,1660168192,0.0,54,48,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:49:52,2022-08-10
17,51,46,0,1660168192,0.0,54,49,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:49:52,2022-08-10
18,51,46,0,1660168612,0.0,54,49,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:56:52,2022-08-10
19,51,46,0,1660168612,0.0,54,49,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:56:52,2022-08-10
20,51,46,0,1660168612,0.0,54,49,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:56:52,2022-08-10
21,53,46,0,1660168612,0.0,54,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:56:52,2022-08-10
22,53,46,0,1660168612,0.0,54,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:56:52,2022-08-10
23,53,47,0,1660168615,0.0,53,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 21:56:55,2022-08-10
24,53,48,0,1660169563,0.0,52,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:12:43,2022-08-10
25,53,48,0,1660169563,0.0,52,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:12:43,2022-08-10
26,53,48,0,1660169563,0.0,52,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:12:43,2022-08-10
27,54,48,0,1660169632,0.0,52,46,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:13:52,2022-08-10
28,54,48,0,1660169634,0.0,52,46,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:13:54,2022-08-10
29,54,48,0,1660169634,0.0,52,46,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:13:54,2022-08-10
30,54,49,0,1660169634,0.0,51,46,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:13:54,2022-08-10
31,54,49,0,1660169634,0.0,51,46,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:13:54,2022-08-10
32,54,49,0,1660169634,0.0,51,46,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:13:54,2022-08-10
33,54,48,0,1660169811,0.0,52,46,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:16:51,2022-08-10
34,53,48,0,1660169811,0.0,52,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:16:51,2022-08-10
35,53,48,0,1660169812,0.0,52,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:16:52,2022-08-10
36,53,48,0,1660169812,0.0,52,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:16:52,2022-08-10
37,53,48,0,1660169812,0.0,52,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:16:52,2022-08-10
38,53,48,0,1660169868,0.0,52,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:17:48,2022-08-10
39,53,49,0,1660169868,0.0,51,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:17:48,2022-08-10
40,53,49,0,1660169868,0.0,51,47,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:17:48,2022-08-10
41,54,49,0,1660169868,0.0,51,46,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:17:48,2022-08-10
42,54,49,0,1660169868,0.0,51,46,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:17:48,2022-08-10
43,54,49,0,1660169868,0.0,51,46,0,,INXU-22AUG11-T4210.24,greater,,0.0,,>0,finalized,2022-08-10 22:17:48,2022-08-10
