,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,97,0,0,1671832122,0.0,100,3,0,,INXW-22DEC30-B3975,between,3999.99,3950.0,,"3,950 to 3,999.99",finalized,2022-12-23 21:48:42,2022-12-23
1,100,1,0,1671913343,0.0,99,0,0,,INXW-22DEC30-B3525,between,3549.99,3500.0,,"3,500 to 3,549.99",finalized,2022-12-24 20:22:23,2022-12-24
2,100,0,0,1671913352,0.0,100,0,0,,INXW-22DEC30-B3525,between,3549.99,3500.0,,"3,500 to 3,549.99",finalized,2022-12-24 20:22:32,2022-12-24
3,100,47,0,1671975000,0.0,53,0,0,,INXW-22DEC30-T3500,less,3500.0,,,"3,499.99 or lower",finalized,2022-12-25 13:30:00,2022-12-25
4,100,47,0,1671975015,0.0,53,0,0,,INXW-22DEC30-B3525,between,3549.99,3500.0,,"3,500 to 3,549.99",finalized,2022-12-25 13:30:15,2022-12-25
5,100,47,0,1671975028,0.0,53,0,0,,INXW-22DEC30-B3575,between,3599.99,3550.0,,"3,550 to 3,599.99",finalized,2022-12-25 13:30:28,2022-12-25
6,100,47,0,1671975041,0.0,53,0,0,,INXW-22DEC30-B3625,between,3649.99,3600.0,,"3,600 to 3,649.99",finalized,2022-12-25 13:30:41,2022-12-25
7,100,47,0,1671975054,0.0,53,0,0,,INXW-22DEC30-B3675,between,3699.99,3650.0,,"3,650 to 3,699.99",finalized,2022-12-25 13:30:54,2022-12-25
8,100,47,0,1671975068,0.0,53,0,0,,INXW-22DEC30-B3725,between,3749.99,3700.0,,"3,700 to 3,749.99",finalized,2022-12-25 13:31:08,2022-12-25
9,100,47,0,1671975081,0.0,53,0,0,,INXW-22DEC30-B3775,between,3799.99,3750.0,,"3,750 to 3,799.99",finalized,2022-12-25 13:31:21,2022-12-25
10,100,47,0,1671975094,0.0,53,0,0,,INXW-22DEC30-B3825,between,3849.99,3800.0,,"3,800 to 3,849.99",finalized,2022-12-25 13:31:34,2022-12-25
11,100,47,0,1671975109,0.0,53,0,0,,INXW-22DEC30-B3875,between,3899.99,3850.0,,"3,850 to 3,899.99",finalized,2022-12-25 13:31:49,2022-12-25
