,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,98,0,0,1668203024,0.0,100,2,0,,INXW-22NOV18-T3650,less,3649.99,,,"3,649.99 or lower",finalized,2022-11-11 21:43:44,2022-11-11
1,98,0,0,1668203030,0.0,100,2,0,,INXW-22NOV18-B3675,between,3699.99,3650.0,,"3,650 to 3,699.99",finalized,2022-11-11 21:43:50,2022-11-11
2,98,0,0,1668203036,0.0,100,2,0,,INXW-22NOV18-B3725,between,3749.99,3700.0,,"3,700 to 3,749.99",finalized,2022-11-11 21:43:56,2022-11-11
3,95,0,0,1668203045,0.0,100,5,0,,INXW-22NOV18-B3775,between,3799.99,3750.0,,"3,750 to 3,799.99",finalized,2022-11-11 21:44:05,2022-11-11
4,97,0,0,1668203052,0.0,100,3,0,,INXW-22NOV18-B3825,between,3849.99,3800.0,,"3,800 to 3,849.99",finalized,2022-11-11 21:44:12,2022-11-11
5,97,0,0,1668203058,0.0,100,3,0,,INXW-22NOV18-B3875,between,3899.99,3850.0,,"3,850 to 3,899.99",finalized,2022-11-11 21:44:18,2022-11-11
6,92,0,0,1668203067,0.0,100,8,0,,INXW-22NOV18-B3925,between,3949.99,3900.0,,"3,900 to 3,949.99",finalized,2022-11-11 21:44:27,2022-11-11
7,92,57,0,1668203073,0.0,43,8,0,,INXW-22NOV18-B3925,between,3949.99,3900.0,,"3,900 to 3,949.99",finalized,2022-11-11 21:44:33,2022-11-11
8,98,0,0,1668203075,0.0,100,2,0,,INXW-22NOV18-B3975,between,3999.99,3950.0,,"3,950 to 3,999.99",finalized,2022-11-11 21:44:35,2022-11-11
9,97,0,0,1668203082,0.0,100,3,0,,INXW-22NOV18-B4025,between,4049.99,4000.0,,"4,000 to 4,049.99",finalized,2022-11-11 21:44:42,2022-11-11
