,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,57,0,1665784060,0.0,43,0,0,,INXW-22OCT21-B3625,between,3649.99,3600.0,,"3,600 to 3,649.99",finalized,2022-10-14 21:47:40,2022-10-14
1,100,62,0,1665784079,0.0,38,0,0,,INXW-22OCT21-B3575,between,3599.99,3550.0,,"3,550 to 3,599.99",finalized,2022-10-14 21:47:59,2022-10-14
2,100,69,0,1665784093,0.0,31,0,0,,INXW-22OCT21-B3525,between,3549.99,3500.0,,"3,500 to 3,549.99",finalized,2022-10-14 21:48:13,2022-10-14
3,100,71,0,1665784103,0.0,29,0,0,,INXW-22OCT21-B3475,between,3499.99,3450.0,,"3,450 to 3,499.99",finalized,2022-10-14 21:48:23,2022-10-14
4,100,75,0,1665784113,0.0,25,0,0,,INXW-22OCT21-B3425,between,3449.99,3400.0,,"3,400 to 3,449.99",finalized,2022-10-14 21:48:33,2022-10-14
5,100,77,0,1665784123,0.0,23,0,0,,INXW-22OCT21-B3375,between,3399.99,3350.0,,"3,350 to 3,399.99",finalized,2022-10-14 21:48:43,2022-10-14
6,100,81,0,1665784133,0.0,19,0,0,,INXW-22OCT21-B3325,between,3349.99,3300.0,,"3,300 to 3,349.99",finalized,2022-10-14 21:48:53,2022-10-14
7,100,83,0,1665784147,0.0,17,0,0,,INXW-22OCT21-B3275,between,3299.99,3250.0,,"3,250 to 3,299.99",finalized,2022-10-14 21:49:07,2022-10-14
8,100,62,0,1665784165,0.0,38,0,0,,INXW-22OCT21-B3675,between,3699.99,3650.0,,"3,650 to 3,699.99",finalized,2022-10-14 21:49:25,2022-10-14
9,100,66,0,1665784185,0.0,34,0,0,,INXW-22OCT21-B3725,between,3749.99,3700.0,,"3,700 to 3,749.99",finalized,2022-10-14 21:49:45,2022-10-14
10,100,71,0,1665784195,0.0,29,0,0,,INXW-22OCT21-B3775,between,3799.99,3750.0,,"3,750 to 3,799.99",finalized,2022-10-14 21:49:55,2022-10-14
11,100,75,0,1665784212,0.0,25,0,0,,INXW-22OCT21-B3825,between,3849.99,3800.0,,"3,800 to 3,849.99",finalized,2022-10-14 21:50:12,2022-10-14
12,100,81,0,1665784221,0.0,19,0,0,,INXW-22OCT21-B3875,between,3899.99,3850.0,,"3,850 to 3,899.99",finalized,2022-10-14 21:50:21,2022-10-14
13,95,57,0,1665784234,0.0,43,5,0,,INXW-22OCT21-B3625,between,3649.99,3600.0,,"3,600 to 3,649.99",finalized,2022-10-14 21:50:34,2022-10-14
14,96,62,0,1665784247,0.0,38,4,0,,INXW-22OCT21-B3575,between,3599.99,3550.0,,"3,550 to 3,599.99",finalized,2022-10-14 21:50:47,2022-10-14
15,97,75,0,1665784902,0.0,25,3,0,,INXW-22OCT21-B3425,between,3449.99,3400.0,,"3,400 to 3,449.99",finalized,2022-10-14 22:01:42,2022-10-14
16,97,93,0,1665784902,0.0,7,3,0,,INXW-22OCT21-B3425,between,3449.99,3400.0,,"3,400 to 3,449.99",finalized,2022-10-14 22:01:42,2022-10-14
17,96,93,0,1665784903,0.0,7,4,0,,INXW-22OCT21-B3425,between,3449.99,3400.0,,"3,400 to 3,449.99",finalized,2022-10-14 22:01:43,2022-10-14
18,92,69,0,1665784904,0.0,31,8,0,,INXW-22OCT21-B3525,between,3549.99,3500.0,,"3,500 to 3,549.99",finalized,2022-10-14 22:01:44,2022-10-14
19,91,69,0,1665784904,0.0,31,9,0,,INXW-22OCT21-B3525,between,3549.99,3500.0,,"3,500 to 3,549.99",finalized,2022-10-14 22:01:44,2022-10-14
20,90,69,0,1665784904,0.0,31,10,0,,INXW-22OCT21-B3525,between,3549.99,3500.0,,"3,500 to 3,549.99",finalized,2022-10-14 22:01:44,2022-10-14
21,96,84,0,1665784905,0.0,16,4,0,,INXW-22OCT21-B3575,between,3599.99,3550.0,,"3,550 to 3,599.99",finalized,2022-10-14 22:01:45,2022-10-14
22,90,84,0,1665784905,0.0,16,10,0,,INXW-22OCT21-B3575,between,3599.99,3550.0,,"3,550 to 3,599.99",finalized,2022-10-14 22:01:45,2022-10-14
23,100,94,0,1665784905,0.0,6,0,0,,INXW-22OCT21-B3825,between,3849.99,3800.0,,"3,800 to 3,849.99",finalized,2022-10-14 22:01:45,2022-10-14
24,90,82,0,1665784906,0.0,18,10,0,,INXW-22OCT21-B3525,between,3549.99,3500.0,,"3,500 to 3,549.99",finalized,2022-10-14 22:01:46,2022-10-14
25,90,84,0,1665784906,0.0,16,10,0,,INXW-22OCT21-B3525,between,3549.99,3500.0,,"3,500 to 3,549.99",finalized,2022-10-14 22:01:46,2022-10-14
26,90,86,0,1665784906,0.0,14,10,0,,INXW-22OCT21-B3525,between,3549.99,3500.0,,"3,500 to 3,549.99",finalized,2022-10-14 22:01:46,2022-10-14
27,89,84,0,1665784906,0.0,16,11,0,,INXW-22OCT21-B3575,between,3599.99,3550.0,,"3,550 to 3,599.99",finalized,2022-10-14 22:01:46,2022-10-14
28,88,84,0,1665784906,0.0,16,12,0,,INXW-22OCT21-B3575,between,3599.99,3550.0,,"3,550 to 3,599.99",finalized,2022-10-14 22:01:46,2022-10-14
29,98,94,0,1665784906,0.0,6,2,0,,INXW-22OCT21-B3825,between,3849.99,3800.0,,"3,800 to 3,849.99",finalized,2022-10-14 22:01:46,2022-10-14
30,94,71,0,1665784907,0.0,29,6,0,,INXW-22OCT21-B3475,between,3499.99,3450.0,,"3,450 to 3,499.99",finalized,2022-10-14 22:01:47,2022-10-14
31,94,90,0,1665784907,0.0,10,6,0,,INXW-22OCT21-B3475,between,3499.99,3450.0,,"3,450 to 3,499.99",finalized,2022-10-14 22:01:47,2022-10-14
32,93,90,0,1665784907,0.0,10,7,0,,INXW-22OCT21-B3475,between,3499.99,3450.0,,"3,450 to 3,499.99",finalized,2022-10-14 22:01:47,2022-10-14
33,88,57,0,1665784907,0.0,43,12,0,,INXW-22OCT21-B3625,between,3649.99,3600.0,,"3,600 to 3,649.99",finalized,2022-10-14 22:01:47,2022-10-14
34,88,84,0,1665784907,0.0,16,12,0,,INXW-22OCT21-B3625,between,3649.99,3600.0,,"3,600 to 3,649.99",finalized,2022-10-14 22:01:47,2022-10-14
35,100,92,0,1665784907,0.0,8,0,0,,INXW-22OCT21-B3775,between,3799.99,3750.0,,"3,750 to 3,799.99",finalized,2022-10-14 22:01:47,2022-10-14
36,98,92,0,1665784907,0.0,8,2,0,,INXW-22OCT21-B3775,between,3799.99,3750.0,,"3,750 to 3,799.99",finalized,2022-10-14 22:01:47,2022-10-14
37,97,92,0,1665784907,0.0,8,3,0,,INXW-22OCT21-B3775,between,3799.99,3750.0,,"3,750 to 3,799.99",finalized,2022-10-14 22:01:47,2022-10-14
38,96,92,0,1665784907,0.0,8,4,0,,INXW-22OCT21-B3775,between,3799.99,3750.0,,"3,750 to 3,799.99",finalized,2022-10-14 22:01:47,2022-10-14
39,98,77,0,1665784909,0.0,23,2,0,,INXW-22OCT21-B3375,between,3399.99,3350.0,,"3,350 to 3,399.99",finalized,2022-10-14 22:01:49,2022-10-14
40,98,95,0,1665784909,0.0,5,2,0,,INXW-22OCT21-B3375,between,3399.99,3350.0,,"3,350 to 3,399.99",finalized,2022-10-14 22:01:49,2022-10-14
41,100,89,0,1665784909,0.0,11,0,0,,INXW-22OCT21-B3725,between,3749.99,3700.0,,"3,700 to 3,749.99",finalized,2022-10-14 22:01:49,2022-10-14
42,93,89,0,1665784909,0.0,11,7,0,,INXW-22OCT21-B3725,between,3749.99,3700.0,,"3,700 to 3,749.99",finalized,2022-10-14 22:01:49,2022-10-14
43,100,83,0,1665784911,0.0,17,0,0,,INXW-22OCT21-B3675,between,3699.99,3650.0,,"3,650 to 3,699.99",finalized,2022-10-14 22:01:51,2022-10-14
44,91,83,0,1665784911,0.0,17,9,0,,INXW-22OCT21-B3675,between,3699.99,3650.0,,"3,650 to 3,699.99",finalized,2022-10-14 22:01:51,2022-10-14
45,90,83,0,1665784911,0.0,17,10,0,,INXW-22OCT21-B3675,between,3699.99,3650.0,,"3,650 to 3,699.99",finalized,2022-10-14 22:01:51,2022-10-14
46,90,85,0,1665784911,0.0,15,10,0,,INXW-22OCT21-B3675,between,3699.99,3650.0,,"3,650 to 3,699.99",finalized,2022-10-14 22:01:51,2022-10-14
