,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,99,0,1681502493,0.0,1,0,0,,INXW-23APR21-T3800,less,3800.0,,,"3,799.99 or below",finalized,2023-04-14 20:01:33,2023-04-14
1,100,99,0,1681502502,0.0,1,0,0,,INXW-23APR21-B3825,between,3849.99,3800.0,,"3,800 to 3,849.99",finalized,2023-04-14 20:01:42,2023-04-14
2,100,99,0,1681502514,0.0,1,0,0,,INXW-23APR21-T4449.99,greater,,4449.99,,"4,450 or above",finalized,2023-04-14 20:01:54,2023-04-14
3,100,99,0,1681502519,0.0,1,0,0,,INXW-23APR21-B4425,between,4449.99,4400.0,,"4,400 to 4,449.99",finalized,2023-04-14 20:01:59,2023-04-14
4,100,98,0,1681502525,0.0,2,0,0,,INXW-23APR21-B3875,between,3899.99,3850.0,,"3,850 to 3,899.99",finalized,2023-04-14 20:02:05,2023-04-14
5,100,98,0,1681502531,0.0,2,0,0,,INXW-23APR21-B4375,between,4399.99,4350.0,,"4,350 to 4,399.99",finalized,2023-04-14 20:02:11,2023-04-14
6,100,61,0,1681503064,0.0,39,0,0,,INXW-23APR21-B3925,between,3949.99,3900.0,,"3,900 to 3,949.99",finalized,2023-04-14 20:11:04,2023-04-14
7,100,61,0,1681503074,0.0,39,0,0,,INXW-23APR21-B3975,between,3999.99,3950.0,,"3,950 to 3,999.99",finalized,2023-04-14 20:11:14,2023-04-14
8,100,61,0,1681503080,0.0,39,0,0,,INXW-23APR21-B4025,between,4049.99,4000.0,,"4,000 to 4,049.99",finalized,2023-04-14 20:11:20,2023-04-14
9,100,61,0,1681503087,0.0,39,0,0,,INXW-23APR21-B4075,between,4099.99,4050.0,,"4,050 to 4,099.99",finalized,2023-04-14 20:11:27,2023-04-14
10,100,61,0,1681503096,0.0,39,0,0,,INXW-23APR21-B4125,between,4149.99,4100.0,,"4,100 to 4,149.99",finalized,2023-04-14 20:11:36,2023-04-14
11,100,61,0,1681503102,0.0,39,0,0,,INXW-23APR21-B4175,between,4199.99,4150.0,,"4,150 to 4,199.99",finalized,2023-04-14 20:11:42,2023-04-14
12,100,61,0,1681503109,0.0,39,0,0,,INXW-23APR21-B4225,between,4249.99,4200.0,,"4,200 to 4,249.99",finalized,2023-04-14 20:11:49,2023-04-14
13,100,61,0,1681503116,0.0,39,0,0,,INXW-23APR21-B4275,between,4299.99,4250.0,,"4,250 to 4,299.99",finalized,2023-04-14 20:11:56,2023-04-14
14,100,61,0,1681503122,0.0,39,0,0,,INXW-23APR21-B4325,between,4349.99,4300.0,,"4,300 to 4,349.99",finalized,2023-04-14 20:12:02,2023-04-14
15,98,61,0,1681505191,0.0,39,2,0,,INXW-23APR21-B3975,between,3999.99,3950.0,,"3,950 to 3,999.99",finalized,2023-04-14 20:46:31,2023-04-14
16,99,61,0,1681505191,0.0,39,1,0,,INXW-23APR21-B4325,between,4349.99,4300.0,,"4,300 to 4,349.99",finalized,2023-04-14 20:46:31,2023-04-14
17,98,61,0,1681505191,0.0,39,2,0,,INXW-23APR21-B4325,between,4349.99,4300.0,,"4,300 to 4,349.99",finalized,2023-04-14 20:46:31,2023-04-14
18,98,95,0,1681505191,0.0,5,2,0,,INXW-23APR21-B4325,between,4349.99,4300.0,,"4,300 to 4,349.99",finalized,2023-04-14 20:46:31,2023-04-14
19,100,62,0,1681505192,0.0,38,0,0,,INXW-23APR21-B3925,between,3949.99,3900.0,,"3,900 to 3,949.99",finalized,2023-04-14 20:46:32,2023-04-14
20,98,94,0,1681505192,0.0,6,2,0,,INXW-23APR21-B3975,between,3999.99,3950.0,,"3,950 to 3,999.99",finalized,2023-04-14 20:46:32,2023-04-14
