,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,21,0,1674855523,0.0,79,0,0,,INXW-23FEB03-B3775,between,3799.99,3750.0,,"3,750 to 3,799.99",finalized,2023-01-27 21:38:43,2023-01-27
1,100,21,0,1674855533,0.0,79,0,0,,INXW-23FEB03-B3825,between,3849.99,3800.0,,"3,800 to 3,849.99",finalized,2023-01-27 21:38:53,2023-01-27
2,100,21,0,1674855543,0.0,79,0,0,,INXW-23FEB03-B3875,between,3899.99,3850.0,,"3,850 to 3,899.99",finalized,2023-01-27 21:39:03,2023-01-27
3,100,21,0,1674855554,0.0,79,0,0,,INXW-23FEB03-B3925,between,3949.99,3900.0,,"3,900 to 3,949.99",finalized,2023-01-27 21:39:14,2023-01-27
4,100,21,0,1674855564,0.0,79,0,0,,INXW-23FEB03-B3975,between,3999.99,3950.0,,"3,950 to 3,999.99",finalized,2023-01-27 21:39:24,2023-01-27
5,100,21,0,1674855574,0.0,79,0,0,,INXW-23FEB03-B4025,between,4049.99,4000.0,,"4,000 to 4,049.99",finalized,2023-01-27 21:39:34,2023-01-27
6,100,21,0,1674855582,0.0,79,0,0,,INXW-23FEB03-B4075,between,4099.99,4050.0,,"4,050 to 4,099.99",finalized,2023-01-27 21:39:42,2023-01-27
7,100,21,0,1674855591,0.0,79,0,0,,INXW-23FEB03-B4125,between,4149.99,4100.0,,"4,100 to 4,149.99",finalized,2023-01-27 21:39:51,2023-01-27
8,100,21,0,1674855601,0.0,79,0,0,,INXW-23FEB03-B4175,between,4199.99,4150.0,,"4,150 to 4,199.99",finalized,2023-01-27 21:40:01,2023-01-27
9,100,21,0,1674855609,0.0,79,0,0,,INXW-23FEB03-B4225,between,4249.99,4200.0,,"4,200 to 4,249.99",finalized,2023-01-27 21:40:09,2023-01-27
10,100,21,0,1674855618,0.0,79,0,0,,INXW-23FEB03-B4275,between,4299.99,4250.0,,"4,250 to 4,299.99",finalized,2023-01-27 21:40:18,2023-01-27
11,100,21,0,1674855627,0.0,79,0,0,,INXW-23FEB03-B4325,between,4349.99,4300.0,,"4,300 to 4,349.99",finalized,2023-01-27 21:40:27,2023-01-27
12,100,21,0,1674855635,0.0,79,0,0,,INXW-23FEB03-B4375,between,4399.99,4350.0,,"4,350 to 4,399.99",finalized,2023-01-27 21:40:35,2023-01-27
13,100,54,0,1674859170,0.0,46,0,0,,INXW-23FEB03-B4075,between,4099.99,4050.0,,"4,050 to 4,099.99",finalized,2023-01-27 22:39:30,2023-01-27
14,100,59,0,1674859179,0.0,41,0,0,,INXW-23FEB03-B4125,between,4149.99,4100.0,,"4,100 to 4,149.99",finalized,2023-01-27 22:39:39,2023-01-27
15,100,59,0,1674859193,0.0,41,0,0,,INXW-23FEB03-B4025,between,4049.99,4000.0,,"4,000 to 4,049.99",finalized,2023-01-27 22:39:53,2023-01-27
16,100,62,0,1674859205,0.0,38,0,0,,INXW-23FEB03-B4175,between,4199.99,4150.0,,"4,150 to 4,199.99",finalized,2023-01-27 22:40:05,2023-01-27
17,100,63,0,1674859214,0.0,37,0,0,,INXW-23FEB03-B3975,between,3999.99,3950.0,,"3,950 to 3,999.99",finalized,2023-01-27 22:40:14,2023-01-27
18,100,69,0,1674859228,0.0,31,0,0,,INXW-23FEB03-B4225,between,4249.99,4200.0,,"4,200 to 4,249.99",finalized,2023-01-27 22:40:28,2023-01-27
19,100,73,0,1674859236,0.0,27,0,0,,INXW-23FEB03-B4275,between,4299.99,4250.0,,"4,250 to 4,299.99",finalized,2023-01-27 22:40:36,2023-01-27
20,100,77,0,1674859244,0.0,23,0,0,,INXW-23FEB03-B4325,between,4349.99,4300.0,,"4,300 to 4,349.99",finalized,2023-01-27 22:40:44,2023-01-27
21,100,81,0,1674859252,0.0,19,0,0,,INXW-23FEB03-B4375,between,4399.99,4350.0,,"4,350 to 4,399.99",finalized,2023-01-27 22:40:52,2023-01-27
22,100,61,0,1674859264,0.0,39,0,0,,INXW-23FEB03-B3925,between,3949.99,3900.0,,"3,900 to 3,949.99",finalized,2023-01-27 22:41:04,2023-01-27
23,100,71,0,1674859274,0.0,29,0,0,,INXW-23FEB03-B3875,between,3899.99,3850.0,,"3,850 to 3,899.99",finalized,2023-01-27 22:41:14,2023-01-27
24,100,75,0,1674859283,0.0,25,0,0,,INXW-23FEB03-B3825,between,3849.99,3800.0,,"3,800 to 3,849.99",finalized,2023-01-27 22:41:23,2023-01-27
25,100,82,0,1674859291,0.0,18,0,0,,INXW-23FEB03-B3775,between,3799.99,3750.0,,"3,750 to 3,799.99",finalized,2023-01-27 22:41:31,2023-01-27
26,100,99,0,1674859922,0.0,1,0,0,,INXW-23FEB03-T3750,less,3750.0,,,"3,749.99 or lower",finalized,2023-01-27 22:52:02,2023-01-27
27,100,98,0,1674859928,0.0,2,0,0,,INXW-23FEB03-B3775,between,3799.99,3750.0,,"3,750 to 3,799.99",finalized,2023-01-27 22:52:08,2023-01-27
28,100,97,0,1674859934,0.0,3,0,0,,INXW-23FEB03-B3825,between,3849.99,3800.0,,"3,800 to 3,849.99",finalized,2023-01-27 22:52:14,2023-01-27
29,100,99,0,1674859941,0.0,1,0,0,,INXW-23FEB03-T4399.99,greater,,4399.99,,"4,400 or higher",finalized,2023-01-27 22:52:21,2023-01-27
30,100,98,0,1674859947,0.0,2,0,0,,INXW-23FEB03-B4375,between,4399.99,4350.0,,"4,350 to 4,399.99",finalized,2023-01-27 22:52:27,2023-01-27
31,100,97,0,1674859954,0.0,3,0,0,,INXW-23FEB03-B4325,between,4349.99,4300.0,,"4,300 to 4,349.99",finalized,2023-01-27 22:52:34,2023-01-27
32,100,99,0,1674938704,0.0,1,0,0,,INXW-23FEB03-B3775,between,3799.99,3750.0,,"3,750 to 3,799.99",finalized,2023-01-28 20:45:04,2023-01-28
33,100,99,0,1674938715,0.0,1,0,0,,INXW-23FEB03-B4375,between,4399.99,4350.0,,"4,350 to 4,399.99",finalized,2023-01-28 20:45:15,2023-01-28
34,89,61,0,1674942357,0.0,39,11,0,,INXW-23FEB03-B3925,between,3949.99,3900.0,,"3,900 to 3,949.99",finalized,2023-01-28 21:45:57,2023-01-28
35,85,63,0,1674942453,0.0,37,15,0,,INXW-23FEB03-B3975,between,3999.99,3950.0,,"3,950 to 3,999.99",finalized,2023-01-28 21:47:33,2023-01-28
36,100,88,0,1675034206,0.0,12,0,0,,INXW-23FEB03-B3925,between,3949.99,3900.0,,"3,900 to 3,949.99",finalized,2023-01-29 23:16:46,2023-01-29
37,100,90,0,1675034206,0.0,10,0,0,,INXW-23FEB03-B4225,between,4249.99,4200.0,,"4,200 to 4,249.99",finalized,2023-01-29 23:16:46,2023-01-29
38,100,94,0,1675034207,0.0,6,0,0,,INXW-23FEB03-B3875,between,3899.99,3850.0,,"3,850 to 3,899.99",finalized,2023-01-29 23:16:47,2023-01-29
39,99,94,0,1675034207,0.0,6,1,0,,INXW-23FEB03-B3875,between,3899.99,3850.0,,"3,850 to 3,899.99",finalized,2023-01-29 23:16:47,2023-01-29
40,98,94,0,1675034207,0.0,6,2,0,,INXW-23FEB03-B3875,between,3899.99,3850.0,,"3,850 to 3,899.99",finalized,2023-01-29 23:16:47,2023-01-29
41,92,63,0,1675034207,0.0,37,8,0,,INXW-23FEB03-B3975,between,3999.99,3950.0,,"3,950 to 3,999.99",finalized,2023-01-29 23:16:47,2023-01-29
42,92,82,0,1675034207,0.0,18,8,0,,INXW-23FEB03-B3975,between,3999.99,3950.0,,"3,950 to 3,999.99",finalized,2023-01-29 23:16:47,2023-01-29
43,92,84,0,1675034207,0.0,16,8,0,,INXW-23FEB03-B3975,between,3999.99,3950.0,,"3,950 to 3,999.99",finalized,2023-01-29 23:16:47,2023-01-29
44,92,86,0,1675034207,0.0,14,8,0,,INXW-23FEB03-B3975,between,3999.99,3950.0,,"3,950 to 3,999.99",finalized,2023-01-29 23:16:47,2023-01-29
45,91,86,0,1675034207,0.0,14,9,0,,INXW-23FEB03-B3975,between,3999.99,3950.0,,"3,950 to 3,999.99",finalized,2023-01-29 23:16:47,2023-01-29
46,90,86,0,1675034207,0.0,14,10,0,,INXW-23FEB03-B3975,between,3999.99,3950.0,,"3,950 to 3,999.99",finalized,2023-01-29 23:16:47,2023-01-29
47,100,77,0,1675034207,0.0,23,0,0,,INXW-23FEB03-B4075,between,4099.99,4050.0,,"4,050 to 4,099.99",finalized,2023-01-29 23:16:47,2023-01-29
48,88,77,0,1675034207,0.0,23,12,0,,INXW-23FEB03-B4075,between,4099.99,4050.0,,"4,050 to 4,099.99",finalized,2023-01-29 23:16:47,2023-01-29
49,87,77,0,1675034207,0.0,23,13,0,,INXW-23FEB03-B4075,between,4099.99,4050.0,,"4,050 to 4,099.99",finalized,2023-01-29 23:16:47,2023-01-29
50,86,77,0,1675034207,0.0,23,14,0,,INXW-23FEB03-B4075,between,4099.99,4050.0,,"4,050 to 4,099.99",finalized,2023-01-29 23:16:47,2023-01-29
