,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,98,0,0,1659138421,0.0,100,2,0,,NASDAQ100M-22AUG31-T11500,less,11500.0,,,<11500,finalized,2022-07-29 23:47:01,2022-07-29
1,98,0,0,1659138426,0.0,100,2,0,,NASDAQ100M-22AUG31-B11600,between,11699.99,11500.0,,11500-11699.99,finalized,2022-07-29 23:47:06,2022-07-29
2,98,0,0,1659138431,0.0,100,2,0,,NASDAQ100M-22AUG31-B11800,between,11899.99,11700.0,,11700-11899.99,finalized,2022-07-29 23:47:11,2022-07-29
3,98,0,0,1659138436,0.0,100,2,0,,NASDAQ100M-22AUG31-B12000,between,12099.99,11900.0,,11900-12099.99,finalized,2022-07-29 23:47:16,2022-07-29
4,98,0,0,1659138441,0.0,100,2,0,,NASDAQ100M-22AUG31-B12200,between,12299.99,12100.0,,12100-12299.99,finalized,2022-07-29 23:47:21,2022-07-29
5,98,0,0,1659138447,0.0,100,2,0,,NASDAQ100M-22AUG31-B12400,between,12499.99,12300.0,,12300-12499.99,finalized,2022-07-29 23:47:27,2022-07-29
6,98,0,0,1659138451,0.0,100,2,0,,NASDAQ100M-22AUG31-B12600,between,12699.99,12500.0,,12500-12699.99,finalized,2022-07-29 23:47:31,2022-07-29
7,98,0,0,1659138457,0.0,100,2,0,,NASDAQ100M-22AUG31-B12800,between,12899.99,12700.0,,12700-12899.99,finalized,2022-07-29 23:47:37,2022-07-29
8,98,0,0,1659138464,0.0,100,2,0,,NASDAQ100M-22AUG31-B13000,between,13099.99,12900.0,,12900-13099.99,finalized,2022-07-29 23:47:44,2022-07-29
9,98,0,0,1659138468,0.0,100,2,0,,NASDAQ100M-22AUG31-B13200,between,13299.99,13100.0,,13100-13299.99,finalized,2022-07-29 23:47:48,2022-07-29
10,98,0,0,1659138473,0.0,100,2,0,,NASDAQ100M-22AUG31-B13400,between,13499.99,13300.0,,13300-13499.99,finalized,2022-07-29 23:47:53,2022-07-29
11,98,0,0,1659138478,0.0,100,2,0,,NASDAQ100M-22AUG31-B13600,between,13699.99,13500.0,,13500-13699.99,finalized,2022-07-29 23:47:58,2022-07-29
12,98,0,0,1659138482,0.0,100,2,0,,NASDAQ100M-22AUG31-B13800,between,13899.99,13700.0,,13700-13899.99,finalized,2022-07-29 23:48:02,2022-07-29
13,98,0,0,1659138488,0.0,100,2,0,,NASDAQ100M-22AUG31-B14000,between,14100.0,13900.0,,13900-14100,finalized,2022-07-29 23:48:08,2022-07-29
14,98,0,0,1659138493,0.0,100,2,0,,NASDAQ100M-22AUG31-T14100,greater,,14100.0,,>14100,finalized,2022-07-29 23:48:13,2022-07-29
15,100,0,5,1659143428,5.0,100,0,2,,NASDAQ100M-22AUG31-T14100,greater,,14100.0,,>14100,finalized,2022-07-30 01:10:28,2022-07-30
16,100,2,5,1659144559,0.0,98,0,2,,NASDAQ100M-22AUG31-T14100,greater,,14100.0,,>14100,finalized,2022-07-30 01:29:19,2022-07-30
17,100,34,5,1659144742,0.0,66,0,2,,NASDAQ100M-22AUG31-T14100,greater,,14100.0,,>14100,finalized,2022-07-30 01:32:22,2022-07-30
18,98,2,0,1659144758,0.0,98,2,0,,NASDAQ100M-22AUG31-B14000,between,14100.0,13900.0,,13900-14100,finalized,2022-07-30 01:32:38,2022-07-30
