,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,2,0,1657136421,0.0,98,0,0,,NASDAQ100M-22JUL29-T12900,greater,,12900.0,,>12900,finalized,2022-07-06 19:40:21,2022-07-06
1,100,20,0,1657136438,0.0,80,0,0,,NASDAQ100M-22JUL29-B12800,between,12900.0,12700.0,,12700-12900,finalized,2022-07-06 19:40:38,2022-07-06
2,100,20,0,1657136460,0.0,80,0,0,,NASDAQ100M-22JUL29-B12400,between,12499.99,12300.0,,12300-12499.99,finalized,2022-07-06 19:41:00,2022-07-06
3,100,20,0,1657136469,0.0,80,0,0,,NASDAQ100M-22JUL29-B12200,between,12299.99,12100.0,,12100-12299.99,finalized,2022-07-06 19:41:09,2022-07-06
4,100,20,0,1657136476,0.0,80,0,0,,NASDAQ100M-22JUL29-B12000,between,12099.99,11900.0,,11900-12099.99,finalized,2022-07-06 19:41:16,2022-07-06
5,100,20,0,1657136486,0.0,80,0,0,,NASDAQ100M-22JUL29-B11800,between,11899.99,11700.0,,11700-11899.99,finalized,2022-07-06 19:41:26,2022-07-06
6,100,20,0,1657136497,0.0,80,0,0,,NASDAQ100M-22JUL29-B11600,between,11699.99,11500.0,,11500-11699.99,finalized,2022-07-06 19:41:37,2022-07-06
7,100,20,0,1657136509,0.0,80,0,0,,NASDAQ100M-22JUL29-B11400,between,11499.99,11300.0,,11300-11499.99,finalized,2022-07-06 19:41:49,2022-07-06
8,100,20,0,1657136518,0.0,80,0,0,,NASDAQ100M-22JUL29-B11200,between,11299.99,11100.0,,11100-11299.99,finalized,2022-07-06 19:41:58,2022-07-06
9,100,20,0,1657136527,0.0,80,0,0,,NASDAQ100M-22JUL29-B11000,between,11099.99,10900.0,,10900-11099.99,finalized,2022-07-06 19:42:07,2022-07-06
10,100,20,0,1657136535,0.0,80,0,0,,NASDAQ100M-22JUL29-B10800,between,10899.99,10700.0,,10700-10899.99,finalized,2022-07-06 19:42:15,2022-07-06
11,100,20,0,1657136541,0.0,80,0,0,,NASDAQ100M-22JUL29-B10600,between,10699.99,10500.0,,10500-10699.99,finalized,2022-07-06 19:42:21,2022-07-06
12,100,20,0,1657136550,0.0,80,0,0,,NASDAQ100M-22JUL29-B10400,between,10499.99,10300.0,,10300-10499.99,finalized,2022-07-06 19:42:30,2022-07-06
13,100,20,0,1657136557,0.0,80,0,0,,NASDAQ100M-22JUL29-T10300,less,10300.0,,,<10300,finalized,2022-07-06 19:42:37,2022-07-06
14,100,20,0,1657136576,0.0,80,0,0,,NASDAQ100M-22JUL29-B12600,between,12699.99,12500.0,,12500-12699.99,finalized,2022-07-06 19:42:56,2022-07-06
15,100,5,0,1657139379,0.0,95,0,0,,NASDAQ100M-22JUL29-T12900,greater,,12900.0,,>12900,finalized,2022-07-06 20:29:39,2022-07-06
16,100,2,0,1657139411,0.0,98,0,0,,NASDAQ100M-22JUL29-T12900,greater,,12900.0,,>12900,finalized,2022-07-06 20:30:11,2022-07-06
