,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,96,0,0,1669413552,0.0,100,4,0,,NASDAQ100W-22DEC02-T11200,less,11199.99,,,"11,199.99 or lower",finalized,2022-11-25 21:59:12,2022-11-25
1,96,0,0,1669413557,0.0,100,4,0,,NASDAQ100W-22DEC02-B11250,between,11299.99,11200.0,,"11,200 to 11,299.99",finalized,2022-11-25 21:59:17,2022-11-25
2,97,0,0,1669413564,0.0,100,3,0,,NASDAQ100W-22DEC02-B11350,between,11399.99,11300.0,,"11,300 to 11,399.99",finalized,2022-11-25 21:59:24,2022-11-25
3,97,0,0,1669413569,0.0,100,3,0,,NASDAQ100W-22DEC02-B11450,between,11499.99,11400.0,,"11,400 to 11,499.99",finalized,2022-11-25 21:59:29,2022-11-25
4,99,0,0,1669413574,0.0,100,1,0,,NASDAQ100W-22DEC02-B11550,between,11599.99,11500.0,,"11,500 to 11,599.99",finalized,2022-11-25 21:59:34,2022-11-25
5,97,0,0,1669413581,0.0,100,3,0,,NASDAQ100W-22DEC02-B11650,between,11699.99,11600.0,,"11,600 to 11,699.99",finalized,2022-11-25 21:59:41,2022-11-25
6,99,0,0,1669413587,0.0,100,1,0,,NASDAQ100W-22DEC02-B11750,between,11799.99,11700.0,,"11,700 to 11,799.99",finalized,2022-11-25 21:59:47,2022-11-25
7,97,0,0,1669413596,0.0,100,3,0,,NASDAQ100W-22DEC02-B11850,between,11899.99,11800.0,,"11,800 to 11,899.99",finalized,2022-11-25 21:59:56,2022-11-25
8,99,0,0,1669413602,0.0,100,1,0,,NASDAQ100W-22DEC02-B11950,between,11999.99,11900.0,,"11,900 to 11,999.99",finalized,2022-11-25 22:00:02,2022-11-25
9,99,0,0,1669413607,0.0,100,1,0,,NASDAQ100W-22DEC02-B12050,between,12099.99,12000.0,,"12,000 to 12,099.99",finalized,2022-11-25 22:00:07,2022-11-25
10,97,0,0,1669413621,0.0,100,3,0,,NASDAQ100W-22DEC02-B12150,between,12199.99,12100.0,,"12,100 to 12,199.99",finalized,2022-11-25 22:00:21,2022-11-25
11,97,0,0,1669413627,0.0,100,3,0,,NASDAQ100W-22DEC02-B12250,between,12299.99,12200.0,,"12,200 to 12,299.99",finalized,2022-11-25 22:00:27,2022-11-25
12,99,0,0,1669413632,0.0,100,1,0,,NASDAQ100W-22DEC02-B12350,between,12399.99,12300.0,,"12,300 to 12,399.99",finalized,2022-11-25 22:00:32,2022-11-25
13,97,0,0,1669413638,0.0,100,3,0,,NASDAQ100W-22DEC02-B12450,between,12499.99,12400.0,,"12,400 to 12,499.99",finalized,2022-11-25 22:00:38,2022-11-25
14,97,0,0,1669413643,0.0,100,3,0,,NASDAQ100W-22DEC02-T12499.99,greater,,12500.0,,"12,500 or higher",finalized,2022-11-25 22:00:43,2022-11-25
15,100,0,1,1669434082,1.0,100,0,4,,NASDAQ100W-22DEC02-T11200,less,11199.99,,,"11,199.99 or lower",finalized,2022-11-26 03:41:22,2022-11-26
16,100,0,1,1669434098,1.0,100,0,3,,NASDAQ100W-22DEC02-T12499.99,greater,,12500.0,,"12,500 or higher",finalized,2022-11-26 03:41:38,2022-11-26
17,100,0,1,1669434112,1.0,100,0,3,,NASDAQ100W-22DEC02-B12450,between,12499.99,12400.0,,"12,400 to 12,499.99",finalized,2022-11-26 03:41:52,2022-11-26
18,100,0,0,1669435550,0.0,100,0,0,,NASDAQ100W-22DEC02-B11250,between,11299.99,11200.0,,"11,200 to 11,299.99",finalized,2022-11-26 04:05:50,2022-11-26
19,95,0,0,1669435556,0.0,100,5,0,,NASDAQ100W-22DEC02-B11250,between,11299.99,11200.0,,"11,200 to 11,299.99",finalized,2022-11-26 04:05:56,2022-11-26
20,100,0,0,1669435573,0.0,100,0,0,,NASDAQ100W-22DEC02-B11550,between,11599.99,11500.0,,"11,500 to 11,599.99",finalized,2022-11-26 04:06:13,2022-11-26
21,98,0,0,1669435578,0.0,100,2,0,,NASDAQ100W-22DEC02-B11550,between,11599.99,11500.0,,"11,500 to 11,599.99",finalized,2022-11-26 04:06:18,2022-11-26
22,100,0,0,1669435595,0.0,100,0,0,,NASDAQ100W-22DEC02-B12350,between,12399.99,12300.0,,"12,300 to 12,399.99",finalized,2022-11-26 04:06:35,2022-11-26
23,98,0,0,1669435601,0.0,100,2,0,,NASDAQ100W-22DEC02-B12350,between,12399.99,12300.0,,"12,300 to 12,399.99",finalized,2022-11-26 04:06:41,2022-11-26
24,100,0,0,1669435656,0.0,100,0,0,,NASDAQ100W-22DEC02-B11850,between,11899.99,11800.0,,"11,800 to 11,899.99",finalized,2022-11-26 04:07:36,2022-11-26
25,95,0,0,1669435675,0.0,100,5,0,,NASDAQ100W-22DEC02-B11850,between,11899.99,11800.0,,"11,800 to 11,899.99",finalized,2022-11-26 04:07:55,2022-11-26
26,100,99,1,1669558753,0.0,1,0,4,,NASDAQ100W-22DEC02-T11200,less,11199.99,,,"11,199.99 or lower",finalized,2022-11-27 14:19:13,2022-11-27
27,100,0,1,1669558995,1.0,100,0,5,,NASDAQ100W-22DEC02-B11250,between,11299.99,11200.0,,"11,200 to 11,299.99",finalized,2022-11-27 14:23:15,2022-11-27
28,100,99,1,1669559010,0.0,1,0,3,,NASDAQ100W-22DEC02-T12499.99,greater,,12500.0,,"12,500 or higher",finalized,2022-11-27 14:23:30,2022-11-27
29,100,99,1,1669559021,0.0,1,0,3,,NASDAQ100W-22DEC02-B12450,between,12499.99,12400.0,,"12,400 to 12,499.99",finalized,2022-11-27 14:23:41,2022-11-27
30,99,0,11,1669566316,10.0,100,1,1,,NASDAQ100W-22DEC02-T11200,less,11199.99,,,"11,199.99 or lower",finalized,2022-11-27 16:25:16,2022-11-27
31,98,90,0,1669585684,0.0,10,2,0,,NASDAQ100W-22DEC02-B12350,between,12399.99,12300.0,,"12,300 to 12,399.99",finalized,2022-11-27 21:48:04,2022-11-27
32,98,0,0,1669595684,0.0,100,2,0,,NASDAQ100W-22DEC02-B12350,between,12399.99,12300.0,,"12,300 to 12,399.99",finalized,2022-11-28 00:34:44,2022-11-28
