,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,95,0,0,1668807244,0.0,100,5,0,,NASDAQ100W-22NOV25-T11100,less,11099.99,,,"11,099.99 or lower",finalized,2022-11-18 21:34:04,2022-11-18
1,95,0,0,1668807250,0.0,100,5,0,,NASDAQ100W-22NOV25-B11150,between,11199.99,11100.0,,"11,100 to 11,199.99",finalized,2022-11-18 21:34:10,2022-11-18
2,97,0,0,1668807257,0.0,100,3,0,,NASDAQ100W-22NOV25-B11250,between,11299.99,11200.0,,"11,200 to 11,299.99",finalized,2022-11-18 21:34:17,2022-11-18
3,97,0,0,1668807266,0.0,100,3,0,,NASDAQ100W-22NOV25-B11350,between,11399.99,11300.0,,"11,300 to 11,399.99",finalized,2022-11-18 21:34:26,2022-11-18
4,98,0,0,1668807272,0.0,100,2,0,,NASDAQ100W-22NOV25-B11450,between,11499.99,11400.0,,"11,400 to 11,499.99",finalized,2022-11-18 21:34:32,2022-11-18
5,98,0,0,1668807277,0.0,100,2,0,,NASDAQ100W-22NOV25-B11550,between,11599.99,11500.0,,"11,500 to 11,599.99",finalized,2022-11-18 21:34:37,2022-11-18
6,97,0,0,1668807287,0.0,100,3,0,,NASDAQ100W-22NOV25-T12399.99,greater,,12400.0,,"12,400 or higher",finalized,2022-11-18 21:34:47,2022-11-18
7,97,0,0,1668807293,0.0,100,3,0,,NASDAQ100W-22NOV25-B12350,between,12399.99,12300.0,,"12,300 to 12,399.99",finalized,2022-11-18 21:34:53,2022-11-18
8,98,0,0,1668807299,0.0,100,2,0,,NASDAQ100W-22NOV25-B12250,between,12299.99,12200.0,,"12,200 to 12,299.99",finalized,2022-11-18 21:34:59,2022-11-18
9,97,0,0,1668807305,0.0,100,3,0,,NASDAQ100W-22NOV25-B12150,between,12199.99,12100.0,,"12,100 to 12,199.99",finalized,2022-11-18 21:35:05,2022-11-18
10,97,0,0,1668807311,0.0,100,3,0,,NASDAQ100W-22NOV25-B12050,between,12099.99,12000.0,,"12,000 to 12,099.99",finalized,2022-11-18 21:35:11,2022-11-18
11,98,0,0,1668807317,0.0,100,2,0,,NASDAQ100W-22NOV25-B11950,between,11999.99,11900.0,,"11,900 to 11,999.99",finalized,2022-11-18 21:35:17,2022-11-18
12,99,0,0,1668807323,0.0,100,1,0,,NASDAQ100W-22NOV25-B11850,between,11899.99,11800.0,,"11,800 to 11,899.99",finalized,2022-11-18 21:35:23,2022-11-18
13,97,0,0,1668807332,0.0,100,3,0,,NASDAQ100W-22NOV25-B11750,between,11799.99,11700.0,,"11,700 to 11,799.99",finalized,2022-11-18 21:35:32,2022-11-18
14,99,0,0,1668807338,0.0,100,1,0,,NASDAQ100W-22NOV25-B11650,between,11699.99,11600.0,,"11,600 to 11,699.99",finalized,2022-11-18 21:35:38,2022-11-18
15,100,0,1,1668864459,1.0,100,0,5,,NASDAQ100W-22NOV25-T11100,less,11099.99,,,"11,099.99 or lower",finalized,2022-11-19 13:27:39,2022-11-19
16,100,0,1,1668864481,1.0,100,0,3,,NASDAQ100W-22NOV25-T12399.99,greater,,12400.0,,"12,400 or higher",finalized,2022-11-19 13:28:01,2022-11-19
17,100,0,1,1668864490,1.0,100,0,3,,NASDAQ100W-22NOV25-B12350,between,12399.99,12300.0,,"12,300 to 12,399.99",finalized,2022-11-19 13:28:10,2022-11-19
18,100,0,0,1668865193,0.0,100,0,0,,NASDAQ100W-22NOV25-B11250,between,11299.99,11200.0,,"11,200 to 11,299.99",finalized,2022-11-19 13:39:53,2022-11-19
19,96,0,0,1668865200,0.0,100,4,0,,NASDAQ100W-22NOV25-B11250,between,11299.99,11200.0,,"11,200 to 11,299.99",finalized,2022-11-19 13:40:00,2022-11-19
20,100,0,0,1668865204,0.0,100,0,0,,NASDAQ100W-22NOV25-B11350,between,11399.99,11300.0,,"11,300 to 11,399.99",finalized,2022-11-19 13:40:04,2022-11-19
21,96,0,0,1668865211,0.0,100,4,0,,NASDAQ100W-22NOV25-B11350,between,11399.99,11300.0,,"11,300 to 11,399.99",finalized,2022-11-19 13:40:11,2022-11-19
22,100,0,0,1668865231,0.0,100,0,0,,NASDAQ100W-22NOV25-B11550,between,11599.99,11500.0,,"11,500 to 11,599.99",finalized,2022-11-19 13:40:31,2022-11-19
23,100,0,0,1668865245,0.0,100,0,0,,NASDAQ100W-22NOV25-B11750,between,11799.99,11700.0,,"11,700 to 11,799.99",finalized,2022-11-19 13:40:45,2022-11-19
24,96,0,0,1668865263,0.0,100,4,0,,NASDAQ100W-22NOV25-B11550,between,11599.99,11500.0,,"11,500 to 11,599.99",finalized,2022-11-19 13:41:03,2022-11-19
25,96,0,0,1668865272,0.0,100,4,0,,NASDAQ100W-22NOV25-B11750,between,11799.99,11700.0,,"11,700 to 11,799.99",finalized,2022-11-19 13:41:12,2022-11-19
26,100,0,0,1668865292,0.0,100,0,0,,NASDAQ100W-22NOV25-B12150,between,12199.99,12100.0,,"12,100 to 12,199.99",finalized,2022-11-19 13:41:32,2022-11-19
27,100,0,0,1668865300,0.0,100,0,0,,NASDAQ100W-22NOV25-B12050,between,12099.99,12000.0,,"12,000 to 12,099.99",finalized,2022-11-19 13:41:40,2022-11-19
28,96,0,0,1668865323,0.0,100,4,0,,NASDAQ100W-22NOV25-B12150,between,12199.99,12100.0,,"12,100 to 12,199.99",finalized,2022-11-19 13:42:03,2022-11-19
29,96,0,0,1668865328,0.0,100,4,0,,NASDAQ100W-22NOV25-B12050,between,12099.99,12000.0,,"12,000 to 12,099.99",finalized,2022-11-19 13:42:08,2022-11-19
30,100,45,1,1668885613,0.0,55,0,5,,NASDAQ100W-22NOV25-T11100,less,11099.99,,,"11,099.99 or lower",finalized,2022-11-19 19:20:13,2022-11-19
31,95,45,0,1668885620,0.0,55,5,0,,NASDAQ100W-22NOV25-B11150,between,11199.99,11100.0,,"11,100 to 11,199.99",finalized,2022-11-19 19:20:20,2022-11-19
32,96,45,0,1668885628,0.0,55,4,0,,NASDAQ100W-22NOV25-B11250,between,11299.99,11200.0,,"11,200 to 11,299.99",finalized,2022-11-19 19:20:28,2022-11-19
33,96,45,0,1668885635,0.0,55,4,0,,NASDAQ100W-22NOV25-B11350,between,11399.99,11300.0,,"11,300 to 11,399.99",finalized,2022-11-19 19:20:35,2022-11-19
34,98,45,0,1668885642,0.0,55,2,0,,NASDAQ100W-22NOV25-B11450,between,11499.99,11400.0,,"11,400 to 11,499.99",finalized,2022-11-19 19:20:42,2022-11-19
35,96,45,0,1668885650,0.0,55,4,0,,NASDAQ100W-22NOV25-B11550,between,11599.99,11500.0,,"11,500 to 11,599.99",finalized,2022-11-19 19:20:50,2022-11-19
36,99,45,0,1668885660,0.0,55,1,0,,NASDAQ100W-22NOV25-B11650,between,11699.99,11600.0,,"11,600 to 11,699.99",finalized,2022-11-19 19:21:00,2022-11-19
37,96,45,0,1668885667,0.0,55,4,0,,NASDAQ100W-22NOV25-B11750,between,11799.99,11700.0,,"11,700 to 11,799.99",finalized,2022-11-19 19:21:07,2022-11-19
38,99,45,0,1668885673,0.0,55,1,0,,NASDAQ100W-22NOV25-B11850,between,11899.99,11800.0,,"11,800 to 11,899.99",finalized,2022-11-19 19:21:13,2022-11-19
39,98,45,0,1668885680,0.0,55,2,0,,NASDAQ100W-22NOV25-B11950,between,11999.99,11900.0,,"11,900 to 11,999.99",finalized,2022-11-19 19:21:20,2022-11-19
40,96,45,0,1668885688,0.0,55,4,0,,NASDAQ100W-22NOV25-B12050,between,12099.99,12000.0,,"12,000 to 12,099.99",finalized,2022-11-19 19:21:28,2022-11-19
41,96,45,0,1668885694,0.0,55,4,0,,NASDAQ100W-22NOV25-B12150,between,12199.99,12100.0,,"12,100 to 12,199.99",finalized,2022-11-19 19:21:34,2022-11-19
42,98,45,0,1668885700,0.0,55,2,0,,NASDAQ100W-22NOV25-B12250,between,12299.99,12200.0,,"12,200 to 12,299.99",finalized,2022-11-19 19:21:40,2022-11-19
43,100,45,1,1668885707,0.0,55,0,3,,NASDAQ100W-22NOV25-B12350,between,12399.99,12300.0,,"12,300 to 12,399.99",finalized,2022-11-19 19:21:47,2022-11-19
44,100,45,1,1668885713,0.0,55,0,3,,NASDAQ100W-22NOV25-T12399.99,greater,,12400.0,,"12,400 or higher",finalized,2022-11-19 19:21:53,2022-11-19
45,95,50,0,1668969388,0.0,50,5,0,,NASDAQ100W-22NOV25-B11150,between,11199.99,11100.0,,"11,100 to 11,199.99",finalized,2022-11-20 18:36:28,2022-11-20
46,97,45,0,1668986207,0.0,55,3,0,,NASDAQ100W-22NOV25-B11450,between,11499.99,11400.0,,"11,400 to 11,499.99",finalized,2022-11-20 23:16:47,2022-11-20
47,95,45,0,1668986207,0.0,55,5,0,,NASDAQ100W-22NOV25-B11450,between,11499.99,11400.0,,"11,400 to 11,499.99",finalized,2022-11-20 23:16:47,2022-11-20
48,95,45,0,1668986207,0.0,55,5,0,,NASDAQ100W-22NOV25-B11550,between,11599.99,11500.0,,"11,500 to 11,599.99",finalized,2022-11-20 23:16:47,2022-11-20
49,95,90,0,1668986207,0.0,10,5,0,,NASDAQ100W-22NOV25-B11550,between,11599.99,11500.0,,"11,500 to 11,599.99",finalized,2022-11-20 23:16:47,2022-11-20
50,94,90,0,1668986207,0.0,10,6,0,,NASDAQ100W-22NOV25-B11550,between,11599.99,11500.0,,"11,500 to 11,599.99",finalized,2022-11-20 23:16:47,2022-11-20
51,99,89,0,1668986207,0.0,11,1,0,,NASDAQ100W-22NOV25-B11650,between,11699.99,11600.0,,"11,600 to 11,699.99",finalized,2022-11-20 23:16:47,2022-11-20
52,99,90,0,1668986207,0.0,10,1,0,,NASDAQ100W-22NOV25-B11650,between,11699.99,11600.0,,"11,600 to 11,699.99",finalized,2022-11-20 23:16:47,2022-11-20
53,95,45,0,1668986207,0.0,55,5,0,,NASDAQ100W-22NOV25-B11750,between,11799.99,11700.0,,"11,700 to 11,799.99",finalized,2022-11-20 23:16:47,2022-11-20
54,95,89,0,1668986207,0.0,11,5,0,,NASDAQ100W-22NOV25-B11750,between,11799.99,11700.0,,"11,700 to 11,799.99",finalized,2022-11-20 23:16:47,2022-11-20
55,96,45,0,1668986207,0.0,55,4,0,,NASDAQ100W-22NOV25-B11850,between,11899.99,11800.0,,"11,800 to 11,899.99",finalized,2022-11-20 23:16:47,2022-11-20
56,96,88,0,1668986207,0.0,12,4,0,,NASDAQ100W-22NOV25-B11850,between,11899.99,11800.0,,"11,800 to 11,899.99",finalized,2022-11-20 23:16:47,2022-11-20
57,94,88,0,1668986207,0.0,12,6,0,,NASDAQ100W-22NOV25-B11850,between,11899.99,11800.0,,"11,800 to 11,899.99",finalized,2022-11-20 23:16:47,2022-11-20
58,94,89,0,1668986207,0.0,11,6,0,,NASDAQ100W-22NOV25-B11850,between,11899.99,11800.0,,"11,800 to 11,899.99",finalized,2022-11-20 23:16:47,2022-11-20
59,94,45,0,1668986207,0.0,55,6,0,,NASDAQ100W-22NOV25-B11950,between,11999.99,11900.0,,"11,900 to 11,999.99",finalized,2022-11-20 23:16:47,2022-11-20
60,94,89,0,1668986207,0.0,11,6,0,,NASDAQ100W-22NOV25-B11950,between,11999.99,11900.0,,"11,900 to 11,999.99",finalized,2022-11-20 23:16:47,2022-11-20
