,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1682109978,0.0,99,0,0,,NASDAQ100W-23APR28-B12350,between,12399.99,12300.0,,"12,300 to 12,399.99",finalized,2023-04-21 20:46:18,2023-04-21
1,100,1,0,1682109978,0.0,99,0,0,,NASDAQ100W-23APR28-B12450,between,12499.99,12400.0,,"12,400 to 12,499.99",finalized,2023-04-21 20:46:18,2023-04-21
2,98,0,0,1682109978,0.0,100,2,0,,NASDAQ100W-23APR28-B12550,between,12599.99,12500.0,,"12,500 to 12,599.99",finalized,2023-04-21 20:46:18,2023-04-21
3,97,0,0,1682109978,0.0,100,3,0,,NASDAQ100W-23APR28-B12550,between,12599.99,12500.0,,"12,500 to 12,599.99",finalized,2023-04-21 20:46:18,2023-04-21
4,97,92,0,1682109978,0.0,8,3,0,,NASDAQ100W-23APR28-B12550,between,12599.99,12500.0,,"12,500 to 12,599.99",finalized,2023-04-21 20:46:18,2023-04-21
5,97,93,0,1682109978,0.0,7,3,0,,NASDAQ100W-23APR28-B12550,between,12599.99,12500.0,,"12,500 to 12,599.99",finalized,2023-04-21 20:46:18,2023-04-21
6,96,0,0,1682109978,0.0,100,4,0,,NASDAQ100W-23APR28-B12650,between,12699.99,12600.0,,"12,600 to 12,699.99",finalized,2023-04-21 20:46:18,2023-04-21
7,94,0,0,1682109978,0.0,100,6,0,,NASDAQ100W-23APR28-B12650,between,12699.99,12600.0,,"12,600 to 12,699.99",finalized,2023-04-21 20:46:18,2023-04-21
8,94,90,0,1682109978,0.0,10,6,0,,NASDAQ100W-23APR28-B12650,between,12699.99,12600.0,,"12,600 to 12,699.99",finalized,2023-04-21 20:46:18,2023-04-21
9,94,91,0,1682109978,0.0,9,6,0,,NASDAQ100W-23APR28-B12650,between,12699.99,12600.0,,"12,600 to 12,699.99",finalized,2023-04-21 20:46:18,2023-04-21
10,100,1,0,1682109978,0.0,99,0,0,,NASDAQ100W-23APR28-B12750,between,12799.99,12700.0,,"12,700 to 12,799.99",finalized,2023-04-21 20:46:18,2023-04-21
11,100,1,0,1682109978,0.0,99,0,0,,NASDAQ100W-23APR28-B12850,between,12899.99,12800.0,,"12,800 to 12,899.99",finalized,2023-04-21 20:46:18,2023-04-21
12,100,1,0,1682109978,0.0,99,0,0,,NASDAQ100W-23APR28-B12950,between,12999.99,12900.0,,"12,900 to 12,999.99",finalized,2023-04-21 20:46:18,2023-04-21
13,100,1,0,1682109978,0.0,99,0,0,,NASDAQ100W-23APR28-B13050,between,13099.99,13000.0,,"13,000 to 13,099.99",finalized,2023-04-21 20:46:18,2023-04-21
14,92,1,0,1682109978,0.0,99,8,0,,NASDAQ100W-23APR28-B13050,between,13099.99,13000.0,,"13,000 to 13,099.99",finalized,2023-04-21 20:46:18,2023-04-21
15,90,1,0,1682109978,0.0,99,10,0,,NASDAQ100W-23APR28-B13050,between,13099.99,13000.0,,"13,000 to 13,099.99",finalized,2023-04-21 20:46:18,2023-04-21
16,90,85,0,1682109978,0.0,15,10,0,,NASDAQ100W-23APR28-B13050,between,13099.99,13000.0,,"13,000 to 13,099.99",finalized,2023-04-21 20:46:18,2023-04-21
17,100,1,0,1682109978,0.0,99,0,0,,NASDAQ100W-23APR28-B13150,between,13199.99,13100.0,,"13,100 to 13,199.99",finalized,2023-04-21 20:46:18,2023-04-21
18,100,1,0,1682109978,0.0,99,0,0,,NASDAQ100W-23APR28-B13250,between,13299.99,13200.0,,"13,200 to 13,299.99",finalized,2023-04-21 20:46:18,2023-04-21
19,100,1,0,1682109978,0.0,99,0,0,,NASDAQ100W-23APR28-B13350,between,13399.99,13300.0,,"13,300 to 13,399.99",finalized,2023-04-21 20:46:18,2023-04-21
20,100,1,0,1682109978,0.0,99,0,0,,NASDAQ100W-23APR28-B13450,between,13499.99,13400.0,,"13,400 to 13,499.99",finalized,2023-04-21 20:46:18,2023-04-21
