,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,50,0,0,1672511421,0.0,100,50,0,,NASDAQ100W-23JAN06-B10550,between,10599.99,10500.0,,"10,500 to 10,599.99",finalized,2022-12-31 18:30:21,2022-12-31
1,100,0,1,1672587989,1.0,100,0,50,,NASDAQ100W-23JAN06-B10550,between,10599.99,10500.0,,"10,500 to 10,599.99",finalized,2023-01-01 15:46:29,2023-01-01
2,100,99,0,1672605186,0.0,1,0,0,,NASDAQ100W-23JAN06-T10300,less,10300.0,,,"10,299.99 or lower",finalized,2023-01-01 20:33:06,2023-01-01
3,100,1,0,1672626980,0.0,99,0,0,,NASDAQ100W-23JAN06-T11599.99,greater,,11599.99,,"11,600 or higher",finalized,2023-01-02 02:36:20,2023-01-02
4,100,99,0,1672707912,0.0,1,0,0,,NASDAQ100W-23JAN06-B10350,between,10399.99,10300.0,,"10,300 to 10,399.99",finalized,2023-01-03 01:05:12,2023-01-03
5,100,99,0,1672707932,0.0,1,0,0,,NASDAQ100W-23JAN06-T11599.99,greater,,11599.99,,"11,600 or higher",finalized,2023-01-03 01:05:32,2023-01-03
6,98,0,0,1672750826,0.0,100,2,0,,NASDAQ100W-23JAN06-B10450,between,10499.99,10400.0,,"10,400 to 10,499.99",finalized,2023-01-03 13:00:26,2023-01-03
7,98,0,1,1672750826,0.0,100,2,50,,NASDAQ100W-23JAN06-B10550,between,10599.99,10500.0,,"10,500 to 10,599.99",finalized,2023-01-03 13:00:26,2023-01-03
8,95,0,0,1672750826,0.0,100,5,0,,NASDAQ100W-23JAN06-B10650,between,10699.99,10600.0,,"10,600 to 10,699.99",finalized,2023-01-03 13:00:26,2023-01-03
9,95,91,0,1672750826,0.0,9,5,0,,NASDAQ100W-23JAN06-B10650,between,10699.99,10600.0,,"10,600 to 10,699.99",finalized,2023-01-03 13:00:26,2023-01-03
10,95,0,0,1672750826,0.0,100,5,0,,NASDAQ100W-23JAN06-B10750,between,10799.99,10700.0,,"10,700 to 10,799.99",finalized,2023-01-03 13:00:26,2023-01-03
11,94,0,0,1672750826,0.0,100,6,0,,NASDAQ100W-23JAN06-B10750,between,10799.99,10700.0,,"10,700 to 10,799.99",finalized,2023-01-03 13:00:26,2023-01-03
12,94,88,0,1672750826,0.0,12,6,0,,NASDAQ100W-23JAN06-B10750,between,10799.99,10700.0,,"10,700 to 10,799.99",finalized,2023-01-03 13:00:26,2023-01-03
13,94,89,0,1672750826,0.0,11,6,0,,NASDAQ100W-23JAN06-B10750,between,10799.99,10700.0,,"10,700 to 10,799.99",finalized,2023-01-03 13:00:26,2023-01-03
14,94,90,0,1672750826,0.0,10,6,0,,NASDAQ100W-23JAN06-B10750,between,10799.99,10700.0,,"10,700 to 10,799.99",finalized,2023-01-03 13:00:26,2023-01-03
15,100,87,0,1672750826,0.0,13,0,0,,NASDAQ100W-23JAN06-B10950,between,10999.99,10900.0,,"10,900 to 10,999.99",finalized,2023-01-03 13:00:26,2023-01-03
16,92,0,0,1672750826,0.0,100,8,0,,NASDAQ100W-23JAN06-B11050,between,11099.99,11000.0,,"11,000 to 11,099.99",finalized,2023-01-03 13:00:26,2023-01-03
17,92,87,0,1672750826,0.0,13,8,0,,NASDAQ100W-23JAN06-B11050,between,11099.99,11000.0,,"11,000 to 11,099.99",finalized,2023-01-03 13:00:26,2023-01-03
18,94,0,0,1672750826,0.0,100,6,0,,NASDAQ100W-23JAN06-B11150,between,11199.99,11100.0,,"11,100 to 11,199.99",finalized,2023-01-03 13:00:26,2023-01-03
19,92,0,0,1672750826,0.0,100,8,0,,NASDAQ100W-23JAN06-B11150,between,11199.99,11100.0,,"11,100 to 11,199.99",finalized,2023-01-03 13:00:26,2023-01-03
20,94,0,0,1672750826,0.0,100,6,0,,NASDAQ100W-23JAN06-B11250,between,11299.99,11200.0,,"11,200 to 11,299.99",finalized,2023-01-03 13:00:26,2023-01-03
21,94,87,0,1672750826,0.0,13,6,0,,NASDAQ100W-23JAN06-B11250,between,11299.99,11200.0,,"11,200 to 11,299.99",finalized,2023-01-03 13:00:26,2023-01-03
22,100,91,0,1672750826,0.0,9,0,0,,NASDAQ100W-23JAN06-B11450,between,11499.99,11400.0,,"11,400 to 11,499.99",finalized,2023-01-03 13:00:26,2023-01-03
23,98,91,0,1672750826,0.0,9,2,0,,NASDAQ100W-23JAN06-B11450,between,11499.99,11400.0,,"11,400 to 11,499.99",finalized,2023-01-03 13:00:26,2023-01-03
24,97,91,0,1672750826,0.0,9,3,0,,NASDAQ100W-23JAN06-B11450,between,11499.99,11400.0,,"11,400 to 11,499.99",finalized,2023-01-03 13:00:26,2023-01-03
25,97,92,0,1672750826,0.0,8,3,0,,NASDAQ100W-23JAN06-B11450,between,11499.99,11400.0,,"11,400 to 11,499.99",finalized,2023-01-03 13:00:26,2023-01-03
26,96,92,0,1672750826,0.0,8,4,0,,NASDAQ100W-23JAN06-B11450,between,11499.99,11400.0,,"11,400 to 11,499.99",finalized,2023-01-03 13:00:26,2023-01-03
27,99,0,0,1672750826,0.0,100,1,0,,NASDAQ100W-23JAN06-B11550,between,11599.99,11500.0,,"11,500 to 11,599.99",finalized,2023-01-03 13:00:26,2023-01-03
28,98,0,0,1672750826,0.0,100,2,0,,NASDAQ100W-23JAN06-B11550,between,11599.99,11500.0,,"11,500 to 11,599.99",finalized,2023-01-03 13:00:26,2023-01-03
29,96,1,10,1672750826,10.0,99,4,1,,NASDAQ100W-23JAN06-T11599.99,greater,,11599.99,,"11,600 or higher",finalized,2023-01-03 13:00:26,2023-01-03
30,98,93,0,1672750827,0.0,7,2,0,,NASDAQ100W-23JAN06-B10450,between,10499.99,10400.0,,"10,400 to 10,499.99",finalized,2023-01-03 13:00:27,2023-01-03
31,98,95,0,1672750827,0.0,5,2,0,,NASDAQ100W-23JAN06-B10450,between,10499.99,10400.0,,"10,400 to 10,499.99",finalized,2023-01-03 13:00:27,2023-01-03
32,98,92,1,1672750827,0.0,8,2,50,,NASDAQ100W-23JAN06-B10550,between,10599.99,10500.0,,"10,500 to 10,599.99",finalized,2023-01-03 13:00:27,2023-01-03
33,97,92,1,1672750827,0.0,8,3,50,,NASDAQ100W-23JAN06-B10550,between,10599.99,10500.0,,"10,500 to 10,599.99",finalized,2023-01-03 13:00:27,2023-01-03
34,97,93,1,1672750827,0.0,7,3,50,,NASDAQ100W-23JAN06-B10550,between,10599.99,10500.0,,"10,500 to 10,599.99",finalized,2023-01-03 13:00:27,2023-01-03
35,95,92,0,1672750827,0.0,8,5,0,,NASDAQ100W-23JAN06-B10650,between,10699.99,10600.0,,"10,600 to 10,699.99",finalized,2023-01-03 13:00:27,2023-01-03
36,95,0,0,1672750827,0.0,100,5,0,,NASDAQ100W-23JAN06-B10850,between,10899.99,10800.0,,"10,800 to 10,899.99",finalized,2023-01-03 13:00:27,2023-01-03
37,94,89,0,1672750827,0.0,11,6,0,,NASDAQ100W-23JAN06-B10850,between,10899.99,10800.0,,"10,800 to 10,899.99",finalized,2023-01-03 13:00:27,2023-01-03
38,93,89,0,1672750827,0.0,11,7,0,,NASDAQ100W-23JAN06-B10850,between,10899.99,10800.0,,"10,800 to 10,899.99",finalized,2023-01-03 13:00:27,2023-01-03
39,93,87,0,1672750827,0.0,13,7,0,,NASDAQ100W-23JAN06-B10950,between,10999.99,10900.0,,"10,900 to 10,999.99",finalized,2023-01-03 13:00:27,2023-01-03
40,93,88,0,1672750827,0.0,12,7,0,,NASDAQ100W-23JAN06-B10950,between,10999.99,10900.0,,"10,900 to 10,999.99",finalized,2023-01-03 13:00:27,2023-01-03
41,92,88,0,1672750827,0.0,12,8,0,,NASDAQ100W-23JAN06-B10950,between,10999.99,10900.0,,"10,900 to 10,999.99",finalized,2023-01-03 13:00:27,2023-01-03
42,92,88,0,1672750827,0.0,12,8,0,,NASDAQ100W-23JAN06-B11050,between,11099.99,11000.0,,"11,000 to 11,099.99",finalized,2023-01-03 13:00:27,2023-01-03
43,92,87,0,1672750827,0.0,13,8,0,,NASDAQ100W-23JAN06-B11150,between,11199.99,11100.0,,"11,100 to 11,199.99",finalized,2023-01-03 13:00:27,2023-01-03
44,92,88,0,1672750827,0.0,12,8,0,,NASDAQ100W-23JAN06-B11150,between,11199.99,11100.0,,"11,100 to 11,199.99",finalized,2023-01-03 13:00:27,2023-01-03
45,93,87,0,1672750827,0.0,13,7,0,,NASDAQ100W-23JAN06-B11250,between,11299.99,11200.0,,"11,200 to 11,299.99",finalized,2023-01-03 13:00:27,2023-01-03
46,93,88,0,1672750827,0.0,12,7,0,,NASDAQ100W-23JAN06-B11250,between,11299.99,11200.0,,"11,200 to 11,299.99",finalized,2023-01-03 13:00:27,2023-01-03
47,95,0,0,1672750827,0.0,100,5,0,,NASDAQ100W-23JAN06-B11350,between,11399.99,11300.0,,"11,300 to 11,399.99",finalized,2023-01-03 13:00:27,2023-01-03
