,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1682714780,0.0,99,0,0,,NASDAQ100W-23MAY05-B12650,between,12699.99,12600.0,,"12,600 to 12,699.99",finalized,2023-04-28 20:46:20,2023-04-28
1,99,0,0,1682714780,0.0,100,1,0,,NASDAQ100W-23MAY05-B12750,between,12799.99,12700.0,,"12,700 to 12,799.99",finalized,2023-04-28 20:46:20,2023-04-28
2,98,0,0,1682714780,0.0,100,2,0,,NASDAQ100W-23MAY05-B12750,between,12799.99,12700.0,,"12,700 to 12,799.99",finalized,2023-04-28 20:46:20,2023-04-28
3,98,95,0,1682714780,0.0,5,2,0,,NASDAQ100W-23MAY05-B12750,between,12799.99,12700.0,,"12,700 to 12,799.99",finalized,2023-04-28 20:46:20,2023-04-28
4,96,0,0,1682714780,0.0,100,4,0,,NASDAQ100W-23MAY05-B12850,between,12899.99,12800.0,,"12,800 to 12,899.99",finalized,2023-04-28 20:46:20,2023-04-28
5,96,93,0,1682714780,0.0,7,4,0,,NASDAQ100W-23MAY05-B12850,between,12899.99,12800.0,,"12,800 to 12,899.99",finalized,2023-04-28 20:46:20,2023-04-28
6,100,1,0,1682714780,0.0,99,0,0,,NASDAQ100W-23MAY05-B12950,between,12999.99,12900.0,,"12,900 to 12,999.99",finalized,2023-04-28 20:46:20,2023-04-28
7,94,0,0,1682714780,0.0,100,6,0,,NASDAQ100W-23MAY05-B13050,between,13099.99,13000.0,,"13,000 to 13,099.99",finalized,2023-04-28 20:46:20,2023-04-28
8,92,0,0,1682714780,0.0,100,8,0,,NASDAQ100W-23MAY05-B13050,between,13099.99,13000.0,,"13,000 to 13,099.99",finalized,2023-04-28 20:46:20,2023-04-28
9,92,89,0,1682714780,0.0,11,8,0,,NASDAQ100W-23MAY05-B13050,between,13099.99,13000.0,,"13,000 to 13,099.99",finalized,2023-04-28 20:46:20,2023-04-28
10,100,1,0,1682714780,0.0,99,0,0,,NASDAQ100W-23MAY05-B13150,between,13199.99,13100.0,,"13,100 to 13,199.99",finalized,2023-04-28 20:46:20,2023-04-28
11,100,1,0,1682714780,0.0,99,0,0,,NASDAQ100W-23MAY05-B13250,between,13299.99,13200.0,,"13,200 to 13,299.99",finalized,2023-04-28 20:46:20,2023-04-28
12,100,1,0,1682714780,0.0,99,0,0,,NASDAQ100W-23MAY05-B13350,between,13399.99,13300.0,,"13,300 to 13,399.99",finalized,2023-04-28 20:46:20,2023-04-28
13,100,1,0,1682714780,0.0,99,0,0,,NASDAQ100W-23MAY05-B13450,between,13499.99,13400.0,,"13,400 to 13,499.99",finalized,2023-04-28 20:46:20,2023-04-28
