,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,29,0,0,1659716914,0.0,100,71,0,,PROLLS-22AUG-T300000,greater,,300000.0,,">300,000",finalized,2022-08-05 16:28:34,2022-08-05
1,29,23,0,1659716914,0.0,77,71,0,,PROLLS-22AUG-T300000,greater,,300000.0,,">300,000",finalized,2022-08-05 16:28:34,2022-08-05
2,28,23,0,1659716914,0.0,77,72,0,,PROLLS-22AUG-T300000,greater,,300000.0,,">300,000",finalized,2022-08-05 16:28:34,2022-08-05
3,27,23,0,1659716914,0.0,77,73,0,,PROLLS-22AUG-T300000,greater,,300000.0,,">300,000",finalized,2022-08-05 16:28:34,2022-08-05
4,27,23,0,1659716915,0.0,77,73,0,,PROLLS-22AUG-T300000,greater,,300000.0,,">300,000",finalized,2022-08-05 16:28:35,2022-08-05
5,54,0,0,1659716915,0.0,100,46,0,,PROLLS-22AUG-T400000,greater,,400000.0,,">400,000",finalized,2022-08-05 16:28:35,2022-08-05
6,80,0,0,1659716915,0.0,100,20,0,,PROLLS-22AUG-T500000,greater,,500000.0,,">500,000",finalized,2022-08-05 16:28:35,2022-08-05
7,92,0,0,1659716915,0.0,100,8,0,,"PROLLS-22AUG-T600,000",greater,,600000.0,,">600,000",finalized,2022-08-05 16:28:35,2022-08-05
8,92,87,0,1659716915,0.0,13,8,0,,"PROLLS-22AUG-T600,000",greater,,600000.0,,">600,000",finalized,2022-08-05 16:28:35,2022-08-05
9,100,4,0,1659716916,0.0,96,0,0,,PROLLS-22AUG-T100000,greater,,100000.0,,">100,000",finalized,2022-08-05 16:28:36,2022-08-05
10,8,4,0,1659716916,0.0,96,92,0,,PROLLS-22AUG-T100000,greater,,100000.0,,">100,000",finalized,2022-08-05 16:28:36,2022-08-05
11,8,4,0,1659716916,0.0,96,92,0,,PROLLS-22AUG-T100000,greater,,100000.0,,">100,000",finalized,2022-08-05 16:28:36,2022-08-05
12,8,4,0,1659716916,0.0,96,92,0,,PROLLS-22AUG-T100000,greater,,100000.0,,">100,000",finalized,2022-08-05 16:28:36,2022-08-05
13,8,4,0,1659716916,0.0,96,92,0,,PROLLS-22AUG-T100000,greater,,100000.0,,">100,000",finalized,2022-08-05 16:28:36,2022-08-05
14,8,4,0,1659716916,0.0,96,92,0,,PROLLS-22AUG-T100000,greater,,100000.0,,">100,000",finalized,2022-08-05 16:28:36,2022-08-05
15,100,8,0,1659716916,0.0,92,0,0,,PROLLS-22AUG-T200000,greater,,200000.0,,">200,000",finalized,2022-08-05 16:28:36,2022-08-05
16,100,10,0,1659716916,0.0,90,0,0,,PROLLS-22AUG-T200000,greater,,200000.0,,">200,000",finalized,2022-08-05 16:28:36,2022-08-05
17,16,10,0,1659716916,0.0,90,84,0,,PROLLS-22AUG-T200000,greater,,200000.0,,">200,000",finalized,2022-08-05 16:28:36,2022-08-05
18,15,10,0,1659716916,0.0,90,85,0,,PROLLS-22AUG-T200000,greater,,200000.0,,">200,000",finalized,2022-08-05 16:28:36,2022-08-05
19,15,10,0,1659716916,0.0,90,85,0,,PROLLS-22AUG-T200000,greater,,200000.0,,">200,000",finalized,2022-08-05 16:28:36,2022-08-05
20,14,10,0,1659716916,0.0,90,86,0,,PROLLS-22AUG-T200000,greater,,200000.0,,">200,000",finalized,2022-08-05 16:28:36,2022-08-05
21,27,23,0,1659716916,0.0,77,73,0,,PROLLS-22AUG-T300000,greater,,300000.0,,">300,000",finalized,2022-08-05 16:28:36,2022-08-05
22,54,48,0,1659716916,0.0,52,46,0,,PROLLS-22AUG-T400000,greater,,400000.0,,">400,000",finalized,2022-08-05 16:28:36,2022-08-05
23,54,48,0,1659716916,0.0,52,46,0,,PROLLS-22AUG-T400000,greater,,400000.0,,">400,000",finalized,2022-08-05 16:28:36,2022-08-05
24,54,48,0,1659716916,0.0,52,46,0,,PROLLS-22AUG-T400000,greater,,400000.0,,">400,000",finalized,2022-08-05 16:28:36,2022-08-05
25,54,48,0,1659716916,0.0,52,46,0,,PROLLS-22AUG-T400000,greater,,400000.0,,">400,000",finalized,2022-08-05 16:28:36,2022-08-05
26,54,48,0,1659716916,0.0,52,46,0,,PROLLS-22AUG-T400000,greater,,400000.0,,">400,000",finalized,2022-08-05 16:28:36,2022-08-05
27,80,74,0,1659716916,0.0,26,20,0,,PROLLS-22AUG-T500000,greater,,500000.0,,">500,000",finalized,2022-08-05 16:28:36,2022-08-05
28,78,74,0,1659716916,0.0,26,22,0,,PROLLS-22AUG-T500000,greater,,500000.0,,">500,000",finalized,2022-08-05 16:28:36,2022-08-05
29,78,74,0,1659716916,0.0,26,22,0,,PROLLS-22AUG-T500000,greater,,500000.0,,">500,000",finalized,2022-08-05 16:28:36,2022-08-05
