,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,90,0,0,1669993340,0.0,100,10,0,,PROLLS-22DEC-B250000,between,299999.0,200000.0,,"200,000 to 299,999",finalized,2022-12-02 15:02:20,2022-12-02
1,89,0,0,1669993364,0.0,100,11,0,,PROLLS-22DEC-B250000,between,299999.0,200000.0,,"200,000 to 299,999",finalized,2022-12-02 15:02:44,2022-12-02
2,80,0,0,1669993368,0.0,100,20,0,,PROLLS-22DEC-B150000,between,199999.0,100000.0,,"100,000 to 199,999",finalized,2022-12-02 15:02:48,2022-12-02
3,79,0,0,1669993388,0.0,100,21,0,,PROLLS-22DEC-B150000,between,199999.0,100000.0,,"100,000 to 199,999",finalized,2022-12-02 15:03:08,2022-12-02
4,88,0,0,1669993394,0.0,100,12,0,,PROLLS-22DEC-B250000,between,299999.0,200000.0,,"200,000 to 299,999",finalized,2022-12-02 15:03:14,2022-12-02
5,100,21,0,1669993411,0.0,79,0,0,,PROLLS-22DEC-BN50000,between,-1.0,-100000.0,,"-100,000 to -1",finalized,2022-12-02 15:03:31,2022-12-02
6,100,21,0,1669993417,0.0,79,0,0,,PROLLS-22DEC-B50000,between,99999.0,0.0,,"0 to 99,999",finalized,2022-12-02 15:03:37,2022-12-02
7,79,21,0,1669993423,0.0,79,21,0,,PROLLS-22DEC-B150000,between,199999.0,100000.0,,"100,000 to 199,999",finalized,2022-12-02 15:03:43,2022-12-02
8,88,21,0,1669993428,0.0,79,12,0,,PROLLS-22DEC-B250000,between,299999.0,200000.0,,"200,000 to 299,999",finalized,2022-12-02 15:03:48,2022-12-02
9,100,21,0,1669993434,0.0,79,0,0,,PROLLS-22DEC-B350000,between,399999.0,300000.0,,"300,000 to 399,999",finalized,2022-12-02 15:03:54,2022-12-02
10,100,21,0,1669993441,0.0,79,0,0,,PROLLS-22DEC-B450000,between,499999.0,400000.0,,"400,000 to 499,999",finalized,2022-12-02 15:04:01,2022-12-02
11,100,21,0,1669993449,0.0,79,0,0,,PROLLS-22DEC-T499999,greater,,499999.0,,"500,000 or higher",finalized,2022-12-02 15:04:09,2022-12-02
12,79,22,0,1669993454,0.0,78,21,0,,PROLLS-22DEC-B150000,between,199999.0,100000.0,,"100,000 to 199,999",finalized,2022-12-02 15:04:14,2022-12-02
13,100,0,0,1669993454,0.0,100,0,0,,PROLLS-22DEC-T499999,greater,,499999.0,,"500,000 or higher",finalized,2022-12-02 15:04:14,2022-12-02
14,88,33,0,1669993468,0.0,67,12,0,,PROLLS-22DEC-B250000,between,299999.0,200000.0,,"200,000 to 299,999",finalized,2022-12-02 15:04:28,2022-12-02
15,88,34,0,1669993485,0.0,66,12,0,,PROLLS-22DEC-B250000,between,299999.0,200000.0,,"200,000 to 299,999",finalized,2022-12-02 15:04:45,2022-12-02
16,79,23,0,1669993505,0.0,77,21,0,,PROLLS-22DEC-B150000,between,199999.0,100000.0,,"100,000 to 199,999",finalized,2022-12-02 15:05:05,2022-12-02
17,100,22,0,1669995037,0.0,78,0,0,,PROLLS-22DEC-B50000,between,99999.0,0.0,,"0 to 99,999",finalized,2022-12-02 15:30:37,2022-12-02
18,79,24,0,1669995056,0.0,76,21,0,,PROLLS-22DEC-B150000,between,199999.0,100000.0,,"100,000 to 199,999",finalized,2022-12-02 15:30:56,2022-12-02
19,88,45,0,1669995069,0.0,55,12,0,,PROLLS-22DEC-B250000,between,299999.0,200000.0,,"200,000 to 299,999",finalized,2022-12-02 15:31:09,2022-12-02
20,88,34,0,1669995073,0.0,66,12,0,,PROLLS-22DEC-B250000,between,299999.0,200000.0,,"200,000 to 299,999",finalized,2022-12-02 15:31:13,2022-12-02
21,88,35,0,1669995089,0.0,65,12,0,,PROLLS-22DEC-B250000,between,299999.0,200000.0,,"200,000 to 299,999",finalized,2022-12-02 15:31:29,2022-12-02
22,100,22,0,1669995105,0.0,78,0,0,,PROLLS-22DEC-B350000,between,399999.0,300000.0,,"300,000 to 399,999",finalized,2022-12-02 15:31:45,2022-12-02
23,100,22,0,1669995116,0.0,78,0,0,,PROLLS-22DEC-B450000,between,499999.0,400000.0,,"400,000 to 499,999",finalized,2022-12-02 15:31:56,2022-12-02
24,100,25,0,1669995134,0.0,75,0,0,,PROLLS-22DEC-BN50000,between,-1.0,-100000.0,,"-100,000 to -1",finalized,2022-12-02 15:32:14,2022-12-02
25,99,0,0,1670002256,0.0,100,1,0,,PROLLS-22DEC-TN100000,less,-100000.0,,,"-100,001 or lower",finalized,2022-12-02 17:30:56,2022-12-02
26,99,0,0,1670002276,0.0,100,1,0,,PROLLS-22DEC-T499999,greater,,499999.0,,"500,000 or higher",finalized,2022-12-02 17:31:16,2022-12-02
27,100,0,0,1670002283,0.0,100,0,0,,PROLLS-22DEC-TN100000,less,-100000.0,,,"-100,001 or lower",finalized,2022-12-02 17:31:23,2022-12-02
28,100,0,0,1670002286,0.0,100,0,0,,PROLLS-22DEC-T499999,greater,,499999.0,,"500,000 or higher",finalized,2022-12-02 17:31:26,2022-12-02
29,99,0,0,1670002952,0.0,100,1,0,,PROLLS-22DEC-TN100000,less,-100000.0,,,"-100,001 or lower",finalized,2022-12-02 17:42:32,2022-12-02
30,99,0,0,1670002956,0.0,100,1,0,,PROLLS-22DEC-T499999,greater,,499999.0,,"500,000 or higher",finalized,2022-12-02 17:42:36,2022-12-02
31,98,25,0,1670002963,0.0,75,2,0,,PROLLS-22DEC-BN50000,between,-1.0,-100000.0,,"-100,000 to -1",finalized,2022-12-02 17:42:43,2022-12-02
32,98,22,0,1670002968,0.0,78,2,0,,PROLLS-22DEC-B450000,between,499999.0,400000.0,,"400,000 to 499,999",finalized,2022-12-02 17:42:48,2022-12-02
33,92,22,0,1670002976,0.0,78,8,0,,PROLLS-22DEC-B50000,between,99999.0,0.0,,"0 to 99,999",finalized,2022-12-02 17:42:56,2022-12-02
34,92,22,0,1670002988,0.0,78,8,0,,PROLLS-22DEC-B350000,between,399999.0,300000.0,,"300,000 to 399,999",finalized,2022-12-02 17:43:08,2022-12-02
35,100,22,0,1670003002,0.0,78,0,0,,PROLLS-22DEC-B50000,between,99999.0,0.0,,"0 to 99,999",finalized,2022-12-02 17:43:22,2022-12-02
36,97,22,0,1670003012,0.0,78,3,0,,PROLLS-22DEC-B50000,between,99999.0,0.0,,"0 to 99,999",finalized,2022-12-02 17:43:32,2022-12-02
37,70,35,0,1670003050,0.0,65,30,0,,PROLLS-22DEC-B250000,between,299999.0,200000.0,,"200,000 to 299,999",finalized,2022-12-02 17:44:10,2022-12-02
38,76,24,0,1670003062,0.0,76,24,0,,PROLLS-22DEC-B150000,between,199999.0,100000.0,,"100,000 to 199,999",finalized,2022-12-02 17:44:22,2022-12-02
39,76,71,0,1670009146,0.0,29,24,0,,PROLLS-22DEC-B150000,between,199999.0,100000.0,,"100,000 to 199,999",finalized,2022-12-02 19:25:46,2022-12-02
40,70,64,0,1670009146,0.0,36,30,0,,PROLLS-22DEC-B250000,between,299999.0,200000.0,,"200,000 to 299,999",finalized,2022-12-02 19:25:46,2022-12-02
41,70,66,0,1670009146,0.0,34,30,0,,PROLLS-22DEC-B250000,between,299999.0,200000.0,,"200,000 to 299,999",finalized,2022-12-02 19:25:46,2022-12-02
42,87,22,0,1670009146,0.0,78,13,0,,PROLLS-22DEC-B350000,between,399999.0,300000.0,,"300,000 to 399,999",finalized,2022-12-02 19:25:46,2022-12-02
43,86,22,0,1670009146,0.0,78,14,0,,PROLLS-22DEC-B350000,between,399999.0,300000.0,,"300,000 to 399,999",finalized,2022-12-02 19:25:46,2022-12-02
