,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1657297443,0.0,100,1,0,,PROLLS-22JUL-T300,greater,,300000.0,,">300,000",finalized,2022-07-08 16:24:03,2022-07-08
1,99,1,0,1657297448,0.0,99,1,0,,PROLLS-22JUL-T300,greater,,300000.0,,">300,000",finalized,2022-07-08 16:24:08,2022-07-08
2,100,1,0,1657297454,0.0,99,0,0,,PROLLS-22JUL-T200,greater,,200000.0,,">200,000",finalized,2022-07-08 16:24:14,2022-07-08
3,99,1,0,1657297459,0.0,99,1,0,,PROLLS-22JUL-T200,greater,,200000.0,,">200,000",finalized,2022-07-08 16:24:19,2022-07-08
4,97,0,0,1657297466,0.0,100,3,0,,PROLLS-22JUL-T100,greater,,100000.0,,">100,000",finalized,2022-07-08 16:24:26,2022-07-08
5,97,1,0,1657297472,0.0,99,3,0,,PROLLS-22JUL-T100,greater,,100000.0,,">100,000",finalized,2022-07-08 16:24:32,2022-07-08
6,99,0,0,1657297481,0.0,100,1,0,,PROLLS-22JUL-T0,greater,,0.0,,>0,finalized,2022-07-08 16:24:41,2022-07-08
7,35,1,0,1657299957,0.0,99,65,0,,PROLLS-22JUL-T100,greater,,100000.0,,">100,000",finalized,2022-07-08 17:05:57,2022-07-08
8,35,0,0,1657299990,0.0,100,65,0,,PROLLS-22JUL-T0,greater,,0.0,,>0,finalized,2022-07-08 17:06:30,2022-07-08
9,100,90,0,1657300592,0.0,10,0,0,,PROLLS-22JUL-T600,greater,,600000.0,,">600,000",finalized,2022-07-08 17:16:32,2022-07-08
10,100,10,0,1657306270,0.0,90,0,0,,PROLLS-22JUL-T500,greater,,500000.0,,">500,000",finalized,2022-07-08 18:51:10,2022-07-08
11,12,0,0,1657311350,0.0,100,88,0,,PROLLS-22JUL-T0,greater,,0.0,,>0,finalized,2022-07-08 20:15:50,2022-07-08
12,11,0,0,1657311350,0.0,100,89,0,,PROLLS-22JUL-T0,greater,,0.0,,>0,finalized,2022-07-08 20:15:50,2022-07-08
13,10,0,0,1657311350,0.0,100,90,0,,PROLLS-22JUL-T0,greater,,0.0,,>0,finalized,2022-07-08 20:15:50,2022-07-08
14,10,6,0,1657311350,0.0,94,90,0,,PROLLS-22JUL-T0,greater,,0.0,,>0,finalized,2022-07-08 20:15:50,2022-07-08
15,10,6,0,1657311350,0.0,94,90,0,,PROLLS-22JUL-T0,greater,,0.0,,>0,finalized,2022-07-08 20:15:50,2022-07-08
16,10,6,0,1657311350,0.0,94,90,0,,PROLLS-22JUL-T0,greater,,0.0,,>0,finalized,2022-07-08 20:15:50,2022-07-08
17,19,1,0,1657311350,0.0,99,81,0,,PROLLS-22JUL-T100,greater,,100000.0,,">100,000",finalized,2022-07-08 20:15:50,2022-07-08
18,18,1,0,1657311350,0.0,99,82,0,,PROLLS-22JUL-T100,greater,,100000.0,,">100,000",finalized,2022-07-08 20:15:50,2022-07-08
19,17,1,0,1657311350,0.0,99,83,0,,PROLLS-22JUL-T100,greater,,100000.0,,">100,000",finalized,2022-07-08 20:15:50,2022-07-08
20,17,13,0,1657311350,0.0,87,83,0,,PROLLS-22JUL-T100,greater,,100000.0,,">100,000",finalized,2022-07-08 20:15:50,2022-07-08
21,17,13,0,1657311351,0.0,87,83,0,,PROLLS-22JUL-T100,greater,,100000.0,,">100,000",finalized,2022-07-08 20:15:51,2022-07-08
22,17,13,0,1657311351,0.0,87,83,0,,PROLLS-22JUL-T100,greater,,100000.0,,">100,000",finalized,2022-07-08 20:15:51,2022-07-08
23,32,1,0,1657311394,0.0,99,68,0,,PROLLS-22JUL-T200,greater,,200000.0,,">200,000",finalized,2022-07-08 20:16:34,2022-07-08
24,31,1,0,1657311394,0.0,99,69,0,,PROLLS-22JUL-T200,greater,,200000.0,,">200,000",finalized,2022-07-08 20:16:34,2022-07-08
