,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,50,0,1654266750,0.0,50,0,0,,PROLLS-22JUN-T400,greater,,400000.0,,">400,000",finalized,2022-06-03 14:32:30,2022-06-03
1,100,50,0,1654266769,0.0,50,0,0,,PROLLS-22JUN-T500,greater,,500000.0,,">500,000",finalized,2022-06-03 14:32:49,2022-06-03
2,100,30,0,1654266791,0.0,70,0,0,,PROLLS-22JUN-T300,greater,,300000.0,,">300,000",finalized,2022-06-03 14:33:11,2022-06-03
3,85,0,0,1654266842,0.0,100,15,0,,PROLLS-22JUN-T200,greater,,200000.0,,">200,000",finalized,2022-06-03 14:34:02,2022-06-03
4,85,0,0,1654266853,0.0,100,15,0,,PROLLS-22JUN-T100,greater,,100000.0,,">100,000",finalized,2022-06-03 14:34:13,2022-06-03
5,100,65,0,1654266878,0.0,35,0,0,,PROLLS-22JUN-T600,greater,,600000.0,,">600,000",finalized,2022-06-03 14:34:38,2022-06-03
6,14,0,0,1654267902,0.0,100,86,0,,PROLLS-22JUN-T100,greater,,100000.0,,">100,000",finalized,2022-06-03 14:51:42,2022-06-03
7,13,0,0,1654267902,0.0,100,87,0,,PROLLS-22JUN-T100,greater,,100000.0,,">100,000",finalized,2022-06-03 14:51:42,2022-06-03
8,12,0,0,1654267902,0.0,100,88,0,,PROLLS-22JUN-T100,greater,,100000.0,,">100,000",finalized,2022-06-03 14:51:42,2022-06-03
9,12,8,0,1654267902,0.0,92,88,0,,PROLLS-22JUN-T100,greater,,100000.0,,">100,000",finalized,2022-06-03 14:51:42,2022-06-03
10,12,8,0,1654267902,0.0,92,88,0,,PROLLS-22JUN-T100,greater,,100000.0,,">100,000",finalized,2022-06-03 14:51:42,2022-06-03
11,12,8,0,1654267902,0.0,92,88,0,,PROLLS-22JUN-T100,greater,,100000.0,,">100,000",finalized,2022-06-03 14:51:42,2022-06-03
12,24,0,0,1654267902,0.0,100,76,0,,PROLLS-22JUN-T200,greater,,200000.0,,">200,000",finalized,2022-06-03 14:51:42,2022-06-03
13,23,0,0,1654267902,0.0,100,77,0,,PROLLS-22JUN-T200,greater,,200000.0,,">200,000",finalized,2022-06-03 14:51:42,2022-06-03
14,22,0,0,1654267902,0.0,100,78,0,,PROLLS-22JUN-T200,greater,,200000.0,,">200,000",finalized,2022-06-03 14:51:42,2022-06-03
15,22,18,0,1654267902,0.0,82,78,0,,PROLLS-22JUN-T200,greater,,200000.0,,">200,000",finalized,2022-06-03 14:51:42,2022-06-03
16,22,18,0,1654267902,0.0,82,78,0,,PROLLS-22JUN-T200,greater,,200000.0,,">200,000",finalized,2022-06-03 14:51:42,2022-06-03
17,22,18,0,1654267902,0.0,82,78,0,,PROLLS-22JUN-T200,greater,,200000.0,,">200,000",finalized,2022-06-03 14:51:42,2022-06-03
