,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1646928083,0.0,100,1,0,,PROLLS-22MAR-B250,between,299999.0,200000.0,,"Between 200,000-299,999",finalized,2022-03-10 16:01:23,2022-03-10
1,98,0,0,1646928083,0.0,100,2,0,,PROLLS-22MAR-B250,between,299999.0,200000.0,,"Between 200,000-299,999",finalized,2022-03-10 16:01:23,2022-03-10
2,97,0,0,1646928083,0.0,100,3,0,,PROLLS-22MAR-B250,between,299999.0,200000.0,,"Between 200,000-299,999",finalized,2022-03-10 16:01:23,2022-03-10
3,97,95,0,1646928083,0.0,5,3,0,,PROLLS-22MAR-B250,between,299999.0,200000.0,,"Between 200,000-299,999",finalized,2022-03-10 16:01:23,2022-03-10
4,97,95,0,1646928083,0.0,5,3,0,,PROLLS-22MAR-B250,between,299999.0,200000.0,,"Between 200,000-299,999",finalized,2022-03-10 16:01:23,2022-03-10
5,97,95,0,1646928083,0.0,5,3,0,,PROLLS-22MAR-B250,between,299999.0,200000.0,,"Between 200,000-299,999",finalized,2022-03-10 16:01:23,2022-03-10
6,97,95,0,1646928083,0.0,5,3,0,,PROLLS-22MAR-B250,between,299999.0,200000.0,,"Between 200,000-299,999",finalized,2022-03-10 16:01:23,2022-03-10
7,97,95,0,1646928083,0.0,5,3,0,,PROLLS-22MAR-B250,between,299999.0,200000.0,,"Between 200,000-299,999",finalized,2022-03-10 16:01:23,2022-03-10
8,89,0,0,1646928083,0.0,100,11,0,,PROLLS-22MAR-B450,between,499999.0,400000.0,,"Between 400,000-499,999",finalized,2022-03-10 16:01:23,2022-03-10
9,88,0,0,1646928084,0.0,100,12,0,,PROLLS-22MAR-B450,between,499999.0,400000.0,,"Between 400,000-499,999",finalized,2022-03-10 16:01:24,2022-03-10
10,87,0,0,1646928084,0.0,100,13,0,,PROLLS-22MAR-B450,between,499999.0,400000.0,,"Between 400,000-499,999",finalized,2022-03-10 16:01:24,2022-03-10
11,86,0,0,1646928084,0.0,100,14,0,,PROLLS-22MAR-B450,between,499999.0,400000.0,,"Between 400,000-499,999",finalized,2022-03-10 16:01:24,2022-03-10
12,85,0,0,1646928084,0.0,100,15,0,,PROLLS-22MAR-B450,between,499999.0,400000.0,,"Between 400,000-499,999",finalized,2022-03-10 16:01:24,2022-03-10
13,85,81,0,1646928084,0.0,19,15,0,,PROLLS-22MAR-B450,between,499999.0,400000.0,,"Between 400,000-499,999",finalized,2022-03-10 16:01:24,2022-03-10
14,85,81,0,1646928084,0.0,19,15,0,,PROLLS-22MAR-B450,between,499999.0,400000.0,,"Between 400,000-499,999",finalized,2022-03-10 16:01:24,2022-03-10
15,85,81,0,1646928084,0.0,19,15,0,,PROLLS-22MAR-B450,between,499999.0,400000.0,,"Between 400,000-499,999",finalized,2022-03-10 16:01:24,2022-03-10
16,85,81,0,1646928084,0.0,19,15,0,,PROLLS-22MAR-B450,between,499999.0,400000.0,,"Between 400,000-499,999",finalized,2022-03-10 16:01:24,2022-03-10
17,85,81,0,1646928084,0.0,19,15,0,,PROLLS-22MAR-B450,between,499999.0,400000.0,,"Between 400,000-499,999",finalized,2022-03-10 16:01:24,2022-03-10
18,99,0,0,1646928084,0.0,100,1,0,,PROLLS-22MAR-C0,less,0.0,,,<0,finalized,2022-03-10 16:01:24,2022-03-10
19,99,97,0,1646928084,0.0,3,1,0,,PROLLS-22MAR-C0,less,0.0,,,<0,finalized,2022-03-10 16:01:24,2022-03-10
20,99,97,0,1646928084,0.0,3,1,0,,PROLLS-22MAR-C0,less,0.0,,,<0,finalized,2022-03-10 16:01:24,2022-03-10
21,99,97,0,1646928084,0.0,3,1,0,,PROLLS-22MAR-C0,less,0.0,,,<0,finalized,2022-03-10 16:01:24,2022-03-10
22,99,97,0,1646928084,0.0,3,1,0,,PROLLS-22MAR-C0,less,0.0,,,<0,finalized,2022-03-10 16:01:24,2022-03-10
23,81,0,0,1646928085,0.0,100,19,0,,PROLLS-22MAR-B550,between,599999.0,500000.0,,"Between 500,000-599,999",finalized,2022-03-10 16:01:25,2022-03-10
