,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,50,0,1651849113,0.0,50,0,0,,PROLLS-22MAY-T200,less,200000.0,,,"<200,000",finalized,2022-05-06 14:58:33,2022-05-06
1,96,50,0,1651853655,0.0,50,4,0,,PROLLS-22MAY-T200,less,200000.0,,,"<200,000",finalized,2022-05-06 16:14:15,2022-05-06
2,95,50,0,1651853655,0.0,50,5,0,,PROLLS-22MAY-T200,less,200000.0,,,"<200,000",finalized,2022-05-06 16:14:15,2022-05-06
3,94,50,0,1651853655,0.0,50,6,0,,PROLLS-22MAY-T200,less,200000.0,,,"<200,000",finalized,2022-05-06 16:14:15,2022-05-06
4,94,92,0,1651853655,0.0,8,6,0,,PROLLS-22MAY-T200,less,200000.0,,,"<200,000",finalized,2022-05-06 16:14:15,2022-05-06
5,94,92,0,1651853655,0.0,8,6,0,,PROLLS-22MAY-T200,less,200000.0,,,"<200,000",finalized,2022-05-06 16:14:15,2022-05-06
6,94,92,0,1651853655,0.0,8,6,0,,PROLLS-22MAY-T200,less,200000.0,,,"<200,000",finalized,2022-05-06 16:14:15,2022-05-06
7,95,0,0,1651853656,0.0,100,5,0,,PROLLS-22MAY-T600,greater,,600000.0,,">600,000",finalized,2022-05-06 16:14:16,2022-05-06
8,94,0,0,1651853656,0.0,100,6,0,,PROLLS-22MAY-T600,greater,,600000.0,,">600,000",finalized,2022-05-06 16:14:16,2022-05-06
9,93,0,0,1651853656,0.0,100,7,0,,PROLLS-22MAY-T600,greater,,600000.0,,">600,000",finalized,2022-05-06 16:14:16,2022-05-06
10,93,91,0,1651853656,0.0,9,7,0,,PROLLS-22MAY-T600,greater,,600000.0,,">600,000",finalized,2022-05-06 16:14:16,2022-05-06
11,93,91,0,1651853656,0.0,9,7,0,,PROLLS-22MAY-T600,greater,,600000.0,,">600,000",finalized,2022-05-06 16:14:16,2022-05-06
12,93,91,0,1651853657,0.0,9,7,0,,PROLLS-22MAY-T600,greater,,600000.0,,">600,000",finalized,2022-05-06 16:14:17,2022-05-06
13,79,0,0,1651853666,0.0,100,21,0,,PROLLS-22MAY-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-05-06 16:14:26,2022-05-06
14,87,0,0,1651853666,0.0,100,13,0,,PROLLS-22MAY-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-05-06 16:14:26,2022-05-06
15,86,0,0,1651853666,0.0,100,14,0,,PROLLS-22MAY-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-05-06 16:14:26,2022-05-06
16,85,0,0,1651853666,0.0,100,15,0,,PROLLS-22MAY-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-05-06 16:14:26,2022-05-06
17,85,81,0,1651853666,0.0,19,15,0,,PROLLS-22MAY-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-05-06 16:14:26,2022-05-06
18,85,81,0,1651853666,0.0,19,15,0,,PROLLS-22MAY-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-05-06 16:14:26,2022-05-06
19,85,81,0,1651853666,0.0,19,15,0,,PROLLS-22MAY-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-05-06 16:14:26,2022-05-06
20,78,0,0,1651853667,0.0,100,22,0,,PROLLS-22MAY-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-05-06 16:14:27,2022-05-06
21,77,0,0,1651853667,0.0,100,23,0,,PROLLS-22MAY-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-05-06 16:14:27,2022-05-06
22,77,73,0,1651853667,0.0,27,23,0,,PROLLS-22MAY-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-05-06 16:14:27,2022-05-06
23,77,73,0,1651853667,0.0,27,23,0,,PROLLS-22MAY-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-05-06 16:14:27,2022-05-06
24,77,73,0,1651853667,0.0,27,23,0,,PROLLS-22MAY-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-05-06 16:14:27,2022-05-06
25,79,0,0,1651853676,0.0,100,21,0,,PROLLS-22MAY-B350,between,399999.0,300000.0,,"300,000-399,999",finalized,2022-05-06 16:14:36,2022-05-06
26,78,0,0,1651853676,0.0,100,22,0,,PROLLS-22MAY-B350,between,399999.0,300000.0,,"300,000-399,999",finalized,2022-05-06 16:14:36,2022-05-06
27,77,0,0,1651853676,0.0,100,23,0,,PROLLS-22MAY-B350,between,399999.0,300000.0,,"300,000-399,999",finalized,2022-05-06 16:14:36,2022-05-06
28,77,73,0,1651853676,0.0,27,23,0,,PROLLS-22MAY-B350,between,399999.0,300000.0,,"300,000-399,999",finalized,2022-05-06 16:14:36,2022-05-06
29,77,73,0,1651853676,0.0,27,23,0,,PROLLS-22MAY-B350,between,399999.0,300000.0,,"300,000-399,999",finalized,2022-05-06 16:14:36,2022-05-06
30,77,73,0,1651853676,0.0,27,23,0,,PROLLS-22MAY-B350,between,399999.0,300000.0,,"300,000-399,999",finalized,2022-05-06 16:14:36,2022-05-06
31,87,0,0,1651853678,0.0,100,13,0,,PROLLS-22MAY-B250,between,299999.0,200000.0,,"200,000-299,999",finalized,2022-05-06 16:14:38,2022-05-06
32,86,0,0,1651853678,0.0,100,14,0,,PROLLS-22MAY-B250,between,299999.0,200000.0,,"200,000-299,999",finalized,2022-05-06 16:14:38,2022-05-06
33,85,0,0,1651853678,0.0,100,15,0,,PROLLS-22MAY-B250,between,299999.0,200000.0,,"200,000-299,999",finalized,2022-05-06 16:14:38,2022-05-06
34,85,81,0,1651853678,0.0,19,15,0,,PROLLS-22MAY-B250,between,299999.0,200000.0,,"200,000-299,999",finalized,2022-05-06 16:14:38,2022-05-06
35,85,81,0,1651853678,0.0,19,15,0,,PROLLS-22MAY-B250,between,299999.0,200000.0,,"200,000-299,999",finalized,2022-05-06 16:14:38,2022-05-06
36,85,81,0,1651853678,0.0,19,15,0,,PROLLS-22MAY-B250,between,299999.0,200000.0,,"200,000-299,999",finalized,2022-05-06 16:14:38,2022-05-06
37,85,81,0,1651853731,0.0,19,15,0,,PROLLS-22MAY-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-05-06 16:15:31,2022-05-06
38,85,81,0,1651853731,0.0,19,15,0,,PROLLS-22MAY-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-05-06 16:15:31,2022-05-06
39,100,81,0,1651853731,0.0,19,0,0,,PROLLS-22MAY-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-05-06 16:15:31,2022-05-06
40,100,80,0,1651853731,0.0,20,0,0,,PROLLS-22MAY-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-05-06 16:15:31,2022-05-06
41,100,79,0,1651853731,0.0,21,0,0,,PROLLS-22MAY-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-05-06 16:15:31,2022-05-06
42,100,0,0,1651853731,0.0,100,0,0,,PROLLS-22MAY-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-05-06 16:15:31,2022-05-06
43,87,0,0,1651853731,0.0,100,13,0,,PROLLS-22MAY-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-05-06 16:15:31,2022-05-06
44,77,73,0,1651853732,0.0,27,23,0,,PROLLS-22MAY-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-05-06 16:15:32,2022-05-06
45,77,73,0,1651853732,0.0,27,23,0,,PROLLS-22MAY-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-05-06 16:15:32,2022-05-06
46,100,73,0,1651853732,0.0,27,0,0,,PROLLS-22MAY-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-05-06 16:15:32,2022-05-06
47,100,72,0,1651853732,0.0,28,0,0,,PROLLS-22MAY-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-05-06 16:15:32,2022-05-06
48,100,71,0,1651853732,0.0,29,0,0,,PROLLS-22MAY-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-05-06 16:15:32,2022-05-06
49,100,0,0,1651853732,0.0,100,0,0,,PROLLS-22MAY-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-05-06 16:15:32,2022-05-06
50,79,0,0,1651853732,0.0,100,21,0,,PROLLS-22MAY-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-05-06 16:15:32,2022-05-06
51,78,0,0,1651853732,0.0,100,22,0,,PROLLS-22MAY-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-05-06 16:15:32,2022-05-06
