,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,41,0,1665151583,0.0,59,0,0,,PROLLS-22OCT-B350,between,399999.0,300000.0,,300000-399999,finalized,2022-10-07 14:06:23,2022-10-07
1,100,51,0,1665151596,0.0,49,0,0,,PROLLS-22OCT-B450,between,499999.0,400000.0,,400000-499999,finalized,2022-10-07 14:06:36,2022-10-07
2,99,0,0,1665151655,0.0,100,1,0,,PROLLS-22OCT-B250,between,299999.0,200000.0,,200000-299999,finalized,2022-10-07 14:07:35,2022-10-07
3,99,0,0,1665151662,0.0,100,1,0,,PROLLS-22OCT-B150,between,199999.0,100000.0,,100000-199999,finalized,2022-10-07 14:07:42,2022-10-07
4,99,0,0,1665151669,0.0,100,1,0,,PROLLS-22OCT-B50,between,99999.0,0.0,,0-99999,finalized,2022-10-07 14:07:49,2022-10-07
5,100,76,0,1665153098,0.0,24,0,0,,PROLLS-22OCT-B350,between,399999.0,300000.0,,300000-399999,finalized,2022-10-07 14:31:38,2022-10-07
6,100,80,0,1665153098,0.0,20,0,0,,PROLLS-22OCT-B350,between,399999.0,300000.0,,300000-399999,finalized,2022-10-07 14:31:38,2022-10-07
7,87,80,0,1665153098,0.0,20,13,0,,PROLLS-22OCT-B350,between,399999.0,300000.0,,300000-399999,finalized,2022-10-07 14:31:38,2022-10-07
8,87,80,0,1665153098,0.0,20,13,0,,PROLLS-22OCT-B350,between,399999.0,300000.0,,300000-399999,finalized,2022-10-07 14:31:38,2022-10-07
9,86,80,0,1665153098,0.0,20,14,0,,PROLLS-22OCT-B350,between,399999.0,300000.0,,300000-399999,finalized,2022-10-07 14:31:38,2022-10-07
10,100,87,0,1665153098,0.0,13,0,0,,PROLLS-22OCT-B450,between,499999.0,400000.0,,400000-499999,finalized,2022-10-07 14:31:38,2022-10-07
11,92,87,0,1665153098,0.0,13,8,0,,PROLLS-22OCT-B450,between,499999.0,400000.0,,400000-499999,finalized,2022-10-07 14:31:38,2022-10-07
12,92,88,0,1665153098,0.0,12,8,0,,PROLLS-22OCT-B450,between,499999.0,400000.0,,400000-499999,finalized,2022-10-07 14:31:38,2022-10-07
13,92,88,0,1665153098,0.0,12,8,0,,PROLLS-22OCT-B450,between,499999.0,400000.0,,400000-499999,finalized,2022-10-07 14:31:38,2022-10-07
14,92,88,0,1665153098,0.0,12,8,0,,PROLLS-22OCT-B450,between,499999.0,400000.0,,400000-499999,finalized,2022-10-07 14:31:38,2022-10-07
15,92,88,0,1665153098,0.0,12,8,0,,PROLLS-22OCT-B450,between,499999.0,400000.0,,400000-499999,finalized,2022-10-07 14:31:38,2022-10-07
16,99,84,0,1665153098,0.0,16,1,0,,PROLLS-22OCT-B50,between,99999.0,0.0,,0-99999,finalized,2022-10-07 14:31:38,2022-10-07
17,99,84,0,1665153098,0.0,16,1,0,,PROLLS-22OCT-B50,between,99999.0,0.0,,0-99999,finalized,2022-10-07 14:31:38,2022-10-07
18,89,84,0,1665153098,0.0,16,11,0,,PROLLS-22OCT-B50,between,99999.0,0.0,,0-99999,finalized,2022-10-07 14:31:38,2022-10-07
19,89,84,0,1665153098,0.0,16,11,0,,PROLLS-22OCT-B50,between,99999.0,0.0,,0-99999,finalized,2022-10-07 14:31:38,2022-10-07
20,89,84,0,1665153098,0.0,16,11,0,,PROLLS-22OCT-B50,between,99999.0,0.0,,0-99999,finalized,2022-10-07 14:31:38,2022-10-07
21,88,84,0,1665153098,0.0,16,12,0,,PROLLS-22OCT-B50,between,99999.0,0.0,,0-99999,finalized,2022-10-07 14:31:38,2022-10-07
