,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,10,0,0,1662127591,0.0,100,90,0,,PROLLS-22SEP-T0,less,0.0,,,<0,finalized,2022-09-02 14:06:31,2022-09-02
1,10,0,0,1662127613,0.0,100,90,0,,PROLLS-22SEP-T0,less,0.0,,,<0,finalized,2022-09-02 14:06:53,2022-09-02
2,99,0,0,1662127627,0.0,100,1,0,,PROLLS-22SEP-B50,between,99999.0,0.0,,"0-99,999",finalized,2022-09-02 14:07:07,2022-09-02
3,50,0,0,1662127630,0.0,100,50,0,,PROLLS-22SEP-B150,between,199999.0,100000.0,,"100,000-199,999",finalized,2022-09-02 14:07:10,2022-09-02
4,100,0,0,1662127631,0.0,100,0,0,,PROLLS-22SEP-B150,between,199999.0,100000.0,,"100,000-199,999",finalized,2022-09-02 14:07:11,2022-09-02
5,100,52,0,1662127631,0.0,48,0,0,,PROLLS-22SEP-B150,between,199999.0,100000.0,,"100,000-199,999",finalized,2022-09-02 14:07:11,2022-09-02
6,100,98,0,1662127631,0.0,2,0,0,,PROLLS-22SEP-B250,between,299999.0,200000.0,,"200,000-299,999",finalized,2022-09-02 14:07:11,2022-09-02
7,99,98,0,1662127631,0.0,2,1,0,,PROLLS-22SEP-B50,between,99999.0,0.0,,"0-99,999",finalized,2022-09-02 14:07:11,2022-09-02
8,99,12,5,1662127631,5.0,88,1,90,,PROLLS-22SEP-T0,less,0.0,,,<0,finalized,2022-09-02 14:07:11,2022-09-02
9,100,98,0,1662127632,0.0,2,0,0,,PROLLS-22SEP-B350,between,399999.0,300000.0,,"300,000-399,999",finalized,2022-09-02 14:07:12,2022-09-02
10,100,98,0,1662127632,0.0,2,0,0,,PROLLS-22SEP-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-09-02 14:07:12,2022-09-02
11,100,98,0,1662127632,0.0,2,0,0,,PROLLS-22SEP-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-09-02 14:07:12,2022-09-02
12,100,98,0,1662127632,0.0,2,0,0,,PROLLS-22SEP-T600,greater,,600000.0,,">600,000",finalized,2022-09-02 14:07:12,2022-09-02
13,100,98,0,1662127642,0.0,2,0,0,,PROLLS-22SEP-T600,greater,,600000.0,,">600,000",finalized,2022-09-02 14:07:22,2022-09-02
14,100,98,0,1662127649,0.0,2,0,0,,PROLLS-22SEP-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-09-02 14:07:29,2022-09-02
15,100,98,0,1662127666,0.0,2,0,0,,PROLLS-22SEP-B450,between,499999.0,400000.0,,"400,000-499,999",finalized,2022-09-02 14:07:46,2022-09-02
16,99,52,0,1662127679,0.0,48,1,0,,PROLLS-22SEP-B150,between,199999.0,100000.0,,"100,000-199,999",finalized,2022-09-02 14:07:59,2022-09-02
17,100,98,0,1662127691,0.0,2,0,0,,PROLLS-22SEP-B250,between,299999.0,200000.0,,"200,000-299,999",finalized,2022-09-02 14:08:11,2022-09-02
18,100,98,0,1662127701,0.0,2,0,0,,PROLLS-22SEP-B350,between,399999.0,300000.0,,"300,000-399,999",finalized,2022-09-02 14:08:21,2022-09-02
19,99,20,5,1662128615,0.0,80,1,90,,PROLLS-22SEP-T0,less,0.0,,,<0,finalized,2022-09-02 14:23:35,2022-09-02
20,100,1,15,1662133225,15.0,99,0,2,,PROLLS-22SEP-B250,between,299999.0,200000.0,,"200,000-299,999",finalized,2022-09-02 15:40:25,2022-09-02
21,100,1,15,1662133258,15.0,99,0,2,,PROLLS-22SEP-B350,between,399999.0,300000.0,,"300,000-399,999",finalized,2022-09-02 15:40:58,2022-09-02
22,99,20,5,1662134483,0.0,80,1,90,,PROLLS-22SEP-T0,less,0.0,,,<0,finalized,2022-09-02 16:01:23,2022-09-02
23,99,0,15,1662134661,15.0,100,1,2,,PROLLS-22SEP-B50,between,99999.0,0.0,,"0-99,999",finalized,2022-09-02 16:04:21,2022-09-02
24,98,0,15,1662134679,0.0,100,2,2,,PROLLS-22SEP-B50,between,99999.0,0.0,,"0-99,999",finalized,2022-09-02 16:04:39,2022-09-02
25,98,1,15,1662134690,0.0,99,2,2,,PROLLS-22SEP-B50,between,99999.0,0.0,,"0-99,999",finalized,2022-09-02 16:04:50,2022-09-02
26,98,52,0,1662134697,0.0,48,2,0,,PROLLS-22SEP-B150,between,199999.0,100000.0,,"100,000-199,999",finalized,2022-09-02 16:04:57,2022-09-02
27,98,20,5,1662134738,0.0,80,2,90,,PROLLS-22SEP-T0,less,0.0,,,<0,finalized,2022-09-02 16:05:38,2022-09-02
28,100,5,15,1662135061,0.0,95,0,2,,PROLLS-22SEP-B250,between,299999.0,200000.0,,"200,000-299,999",finalized,2022-09-02 16:11:01,2022-09-02
29,99,5,15,1662135067,0.0,95,1,2,,PROLLS-22SEP-B250,between,299999.0,200000.0,,"200,000-299,999",finalized,2022-09-02 16:11:07,2022-09-02
30,100,5,15,1662135326,0.0,95,0,2,,PROLLS-22SEP-B350,between,399999.0,300000.0,,"300,000-399,999",finalized,2022-09-02 16:15:26,2022-09-02
31,99,5,15,1662135332,0.0,95,1,2,,PROLLS-22SEP-B350,between,399999.0,300000.0,,"300,000-399,999",finalized,2022-09-02 16:15:32,2022-09-02
32,57,1,15,1662144094,15.0,99,43,2,,PROLLS-22SEP-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-09-02 18:41:34,2022-09-02
33,57,43,15,1662144094,0.0,57,43,2,,PROLLS-22SEP-B550,between,600000.0,500000.0,,"500,000-600,000",finalized,2022-09-02 18:41:34,2022-09-02
34,57,20,5,1662144094,0.0,80,43,90,,PROLLS-22SEP-T0,less,0.0,,,<0,finalized,2022-09-02 18:41:34,2022-09-02
35,57,45,5,1662144094,0.0,55,43,90,,PROLLS-22SEP-T0,less,0.0,,,<0,finalized,2022-09-02 18:41:34,2022-09-02
36,53,45,5,1662144094,0.0,55,47,90,,PROLLS-22SEP-T0,less,0.0,,,<0,finalized,2022-09-02 18:41:34,2022-09-02
37,53,45,5,1662144094,0.0,55,47,90,,PROLLS-22SEP-T0,less,0.0,,,<0,finalized,2022-09-02 18:41:34,2022-09-02
38,98,52,0,1662144095,0.0,48,2,0,,PROLLS-22SEP-B150,between,199999.0,100000.0,,"100,000-199,999",finalized,2022-09-02 18:41:35,2022-09-02
39,57,52,0,1662144095,0.0,48,43,0,,PROLLS-22SEP-B150,between,199999.0,100000.0,,"100,000-199,999",finalized,2022-09-02 18:41:35,2022-09-02
40,55,52,0,1662144095,0.0,48,45,0,,PROLLS-22SEP-B150,between,199999.0,100000.0,,"100,000-199,999",finalized,2022-09-02 18:41:35,2022-09-02
41,55,52,0,1662144095,0.0,48,45,0,,PROLLS-22SEP-B150,between,199999.0,100000.0,,"100,000-199,999",finalized,2022-09-02 18:41:35,2022-09-02
42,55,52,0,1662144095,0.0,48,45,0,,PROLLS-22SEP-B150,between,199999.0,100000.0,,"100,000-199,999",finalized,2022-09-02 18:41:35,2022-09-02
