,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1675441065,0.0,99,0,0,,PROLLS-23FEB-T599999,greater,,599999.0,,"600,000 or above",finalized,2023-02-03 16:17:45,2023-02-03
1,100,1,0,1675441073,0.0,99,0,0,,PROLLS-23FEB-B575000,between,599999.0,550000.0,,"550,000 to 599,999",finalized,2023-02-03 16:17:53,2023-02-03
2,100,1,0,1675441079,0.0,99,0,0,,PROLLS-23FEB-B525000,between,549999.0,500000.0,,"500,000 to 549,999",finalized,2023-02-03 16:17:59,2023-02-03
3,100,1,0,1675441085,0.0,99,0,0,,PROLLS-23FEB-B475000,between,499999.0,450000.0,,"450,000 to 499,999",finalized,2023-02-03 16:18:05,2023-02-03
4,100,1,0,1675441090,0.0,99,0,0,,PROLLS-23FEB-B425000,between,449999.0,400000.0,,"400,000 to 449,999",finalized,2023-02-03 16:18:10,2023-02-03
5,100,1,0,1675441097,0.0,99,0,0,,PROLLS-23FEB-B375000,between,399999.0,350000.0,,"350,000 to 399,999",finalized,2023-02-03 16:18:17,2023-02-03
6,100,1,0,1675441101,0.0,99,0,0,,PROLLS-23FEB-B325000,between,349999.0,300000.0,,"300,000 to 349,999",finalized,2023-02-03 16:18:21,2023-02-03
7,100,1,0,1675441109,0.0,99,0,0,,PROLLS-23FEB-B275000,between,299999.0,250000.0,,"250,000 to 299,999",finalized,2023-02-03 16:18:29,2023-02-03
8,100,1,0,1675441114,0.0,99,0,0,,PROLLS-23FEB-B225000,between,249999.0,200000.0,,"200,000 to 249,999",finalized,2023-02-03 16:18:34,2023-02-03
9,100,1,0,1675441118,0.0,99,0,0,,PROLLS-23FEB-B175000,between,199999.0,150000.0,,"150,000 to 199,999",finalized,2023-02-03 16:18:38,2023-02-03
10,100,1,0,1675441124,0.0,99,0,0,,PROLLS-23FEB-B125000,between,149999.0,100000.0,,"100,000 to 149,999",finalized,2023-02-03 16:18:44,2023-02-03
11,100,1,0,1675441128,0.0,99,0,0,,PROLLS-23FEB-B75000,between,99999.0,50001.0,,"50,001 to 99,999",finalized,2023-02-03 16:18:48,2023-02-03
12,100,1,0,1675441132,0.0,99,0,0,,PROLLS-23FEB-B25000,between,50000.0,1.0,,"1 to 50,000",finalized,2023-02-03 16:18:52,2023-02-03
