,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,87,0,1673017970,0.0,13,0,0,,PROLLS-23JAN-B125000,between,149999.0,100000.0,,"100,000 to 149,999",finalized,2023-01-06 15:12:50,2023-01-06
1,97,0,0,1673017970,0.0,100,3,0,,PROLLS-23JAN-B325000,between,349999.0,300000.0,,"300,000 to 349,999",finalized,2023-01-06 15:12:50,2023-01-06
2,92,87,0,1673017971,0.0,13,8,0,,PROLLS-23JAN-B125000,between,149999.0,100000.0,,"100,000 to 149,999",finalized,2023-01-06 15:12:51,2023-01-06
3,92,88,0,1673017971,0.0,12,8,0,,PROLLS-23JAN-B125000,between,149999.0,100000.0,,"100,000 to 149,999",finalized,2023-01-06 15:12:51,2023-01-06
4,100,70,0,1673017971,0.0,30,0,0,,PROLLS-23JAN-B175000,between,199999.0,150000.0,,"150,000 to 199,999",finalized,2023-01-06 15:12:51,2023-01-06
5,77,70,0,1673017971,0.0,30,23,0,,PROLLS-23JAN-B175000,between,199999.0,150000.0,,"150,000 to 199,999",finalized,2023-01-06 15:12:51,2023-01-06
6,75,70,0,1673017971,0.0,30,25,0,,PROLLS-23JAN-B175000,between,199999.0,150000.0,,"150,000 to 199,999",finalized,2023-01-06 15:12:51,2023-01-06
7,100,63,0,1673017971,0.0,37,0,0,,PROLLS-23JAN-B225000,between,249999.0,200000.0,,"200,000 to 249,999",finalized,2023-01-06 15:12:51,2023-01-06
8,73,63,0,1673017971,0.0,37,27,0,,PROLLS-23JAN-B225000,between,249999.0,200000.0,,"200,000 to 249,999",finalized,2023-01-06 15:12:51,2023-01-06
9,71,63,0,1673017971,0.0,37,29,0,,PROLLS-23JAN-B225000,between,249999.0,200000.0,,"200,000 to 249,999",finalized,2023-01-06 15:12:51,2023-01-06
10,100,80,0,1673017971,0.0,20,0,0,,PROLLS-23JAN-B275000,between,299999.0,250000.0,,"250,000 to 299,999",finalized,2023-01-06 15:12:51,2023-01-06
11,86,80,0,1673017971,0.0,20,14,0,,PROLLS-23JAN-B275000,between,299999.0,250000.0,,"250,000 to 299,999",finalized,2023-01-06 15:12:51,2023-01-06
12,97,93,0,1673017971,0.0,7,3,0,,PROLLS-23JAN-B325000,between,349999.0,300000.0,,"300,000 to 349,999",finalized,2023-01-06 15:12:51,2023-01-06
13,99,0,0,1673017971,0.0,100,1,0,,PROLLS-23JAN-B75000,between,99999.0,50000.0,,"50,000 to 99,999",finalized,2023-01-06 15:12:51,2023-01-06
14,99,93,0,1673017971,0.0,7,1,0,,PROLLS-23JAN-B75000,between,99999.0,50000.0,,"50,000 to 99,999",finalized,2023-01-06 15:12:51,2023-01-06
15,99,94,0,1673017971,0.0,6,1,0,,PROLLS-23JAN-B75000,between,99999.0,50000.0,,"50,000 to 99,999",finalized,2023-01-06 15:12:51,2023-01-06
16,99,95,0,1673017971,0.0,5,1,0,,PROLLS-23JAN-B75000,between,99999.0,50000.0,,"50,000 to 99,999",finalized,2023-01-06 15:12:51,2023-01-06
17,100,95,0,1673017971,0.0,5,0,0,,PROLLS-23JAN-T349999,greater,,349999.0,,"350,000 or higher",finalized,2023-01-06 15:12:51,2023-01-06
18,99,95,0,1673017971,0.0,5,1,0,,PROLLS-23JAN-T349999,greater,,349999.0,,"350,000 or higher",finalized,2023-01-06 15:12:51,2023-01-06
19,99,96,0,1673017971,0.0,4,1,0,,PROLLS-23JAN-T349999,greater,,349999.0,,"350,000 or higher",finalized,2023-01-06 15:12:51,2023-01-06
20,100,96,0,1673017971,0.0,4,0,0,,PROLLS-23JAN-T50000,less,50000.0,,,"49,999 or lower",finalized,2023-01-06 15:12:51,2023-01-06
21,100,97,0,1673017971,0.0,3,0,0,,PROLLS-23JAN-T50000,less,50000.0,,,"49,999 or lower",finalized,2023-01-06 15:12:51,2023-01-06
22,69,63,0,1673017972,0.0,37,31,0,,PROLLS-23JAN-B225000,between,249999.0,200000.0,,"200,000 to 249,999",finalized,2023-01-06 15:12:52,2023-01-06
23,86,82,0,1673017972,0.0,18,14,0,,PROLLS-23JAN-B275000,between,299999.0,250000.0,,"250,000 to 299,999",finalized,2023-01-06 15:12:52,2023-01-06
24,100,96,473,1673019130,473.0,4,0,3,,PROLLS-23JAN-T50000,less,50000.0,,,"49,999 or lower",finalized,2023-01-06 15:32:10,2023-01-06
25,99,95,300,1673019139,300.0,5,1,5,,PROLLS-23JAN-B75000,between,99999.0,50000.0,,"50,000 to 99,999",finalized,2023-01-06 15:32:19,2023-01-06
26,99,96,473,1673019141,0.0,4,1,3,,PROLLS-23JAN-T50000,less,50000.0,,,"49,999 or lower",finalized,2023-01-06 15:32:21,2023-01-06
27,98,95,300,1673019149,0.0,5,2,5,,PROLLS-23JAN-B75000,between,99999.0,50000.0,,"50,000 to 99,999",finalized,2023-01-06 15:32:29,2023-01-06
28,98,96,473,1673019156,0.0,4,2,3,,PROLLS-23JAN-T50000,less,50000.0,,,"49,999 or lower",finalized,2023-01-06 15:32:36,2023-01-06
29,91,88,0,1673019166,0.0,12,9,0,,PROLLS-23JAN-B125000,between,149999.0,100000.0,,"100,000 to 149,999",finalized,2023-01-06 15:32:46,2023-01-06
30,69,64,0,1673019801,0.0,36,31,0,,PROLLS-23JAN-B225000,between,249999.0,200000.0,,"200,000 to 249,999",finalized,2023-01-06 15:43:21,2023-01-06
31,91,88,100,1673020357,100.0,12,9,12,,PROLLS-23JAN-B125000,between,149999.0,100000.0,,"100,000 to 149,999",finalized,2023-01-06 15:52:37,2023-01-06
32,98,96,691,1673023741,218.0,4,2,4,,PROLLS-23JAN-T50000,less,50000.0,,,"49,999 or lower",finalized,2023-01-06 16:49:01,2023-01-06
33,98,95,601,1673023750,301.0,5,2,5,,PROLLS-23JAN-B75000,between,99999.0,50000.0,,"50,000 to 99,999",finalized,2023-01-06 16:49:10,2023-01-06
34,98,96,701,1673023756,10.0,4,2,4,,PROLLS-23JAN-T50000,less,50000.0,,,"49,999 or lower",finalized,2023-01-06 16:49:16,2023-01-06
35,98,96,1001,1673023761,300.0,4,2,4,,PROLLS-23JAN-T50000,less,50000.0,,,"49,999 or lower",finalized,2023-01-06 16:49:21,2023-01-06
36,98,95,1001,1673023768,400.0,5,2,5,,PROLLS-23JAN-B75000,between,99999.0,50000.0,,"50,000 to 99,999",finalized,2023-01-06 16:49:28,2023-01-06
37,91,88,500,1673023776,400.0,12,9,12,,PROLLS-23JAN-B125000,between,149999.0,100000.0,,"100,000 to 149,999",finalized,2023-01-06 16:49:36,2023-01-06
