,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,21,0,1672153557,0.0,79,0,0,,TERMINALRATE-23DEC31-T4.75,less,4.75,,,Below 4.75%,active,2022-12-27 15:05:57,2022-12-27
1,95,0,0,1672153717,0.0,100,5,0,,TERMINALRATE-23DEC31-B5.120,between,5.24,5.0,,5.00% :: Highest upper bound between 5.00% and 5.24%,active,2022-12-27 15:08:37,2022-12-27
2,95,0,0,1672153729,0.0,100,5,0,,TERMINALRATE-23DEC31-B5.370,between,5.49,5.25,,5.25% :: Highest upper bound between 5.25% and 5.49%,active,2022-12-27 15:08:49,2022-12-27
3,100,21,0,1672153754,0.0,79,0,0,,TERMINALRATE-23DEC31-T8.24,greater,,8.24,,8.25% or above,active,2022-12-27 15:09:14,2022-12-27
4,100,5,0,1672154542,0.0,95,0,0,,TERMINALRATE-23DEC31-B4.870,between,4.99,4.75,,4.75% :: Highest upper bound between 4.75% and 4.99%,active,2022-12-27 15:22:22,2022-12-27
5,100,5,0,1672154605,0.0,95,0,0,,TERMINALRATE-23DEC31-B5.745,between,5.99,5.5,,5.50% :: Highest upper bound between 5.50% and 5.99%,active,2022-12-27 15:23:25,2022-12-27
6,100,7,0,1672154631,0.0,93,0,0,,TERMINALRATE-23DEC31-B6.120,between,6.24,6.0,,6.00% :: Highest upper bound between 6.00% and 6.24%,active,2022-12-27 15:23:51,2022-12-27
7,100,9,0,1672154642,0.0,91,0,0,,TERMINALRATE-23DEC31-B6.370,between,6.49,6.25,,6.25% :: Highest upper bound between 6.25% and 6.49%,active,2022-12-27 15:24:02,2022-12-27
8,100,11,0,1672154655,0.0,89,0,0,,TERMINALRATE-23DEC31-B6.620,between,6.74,6.5,,6.50% :: Highest upper bound between 6.50% and 6.74%,active,2022-12-27 15:24:15,2022-12-27
9,100,13,0,1672154667,0.0,87,0,0,,TERMINALRATE-23DEC31-B6.870,between,6.99,6.75,,6.75% :: Highest upper bound between 6.75% and 6.99%,active,2022-12-27 15:24:27,2022-12-27
10,100,15,0,1672154680,0.0,85,0,0,,TERMINALRATE-23DEC31-B7.120,between,7.24,7.0,,7.00% :: Highest upper bound between 7.00% and 7.24%,active,2022-12-27 15:24:40,2022-12-27
11,100,17,0,1672154708,0.0,83,0,0,,TERMINALRATE-23DEC31-B7.370,between,7.49,7.25,,7.25% :: Highest upper bound between 7.25% and 7.49%,active,2022-12-27 15:25:08,2022-12-27
12,100,19,0,1672154718,0.0,81,0,0,,TERMINALRATE-23DEC31-B7.620,between,7.74,7.5,,7.50% :: Highest upper bound between 7.50% and 7.74%,active,2022-12-27 15:25:18,2022-12-27
13,100,21,0,1672154730,0.0,79,0,0,,TERMINALRATE-23DEC31-B7.870,between,7.99,7.75,,7.75% :: Highest upper bound between 7.75% and 7.99%,active,2022-12-27 15:25:30,2022-12-27
14,100,23,0,1672154741,0.0,77,0,0,,TERMINALRATE-23DEC31-B8.120,between,8.24,8.0,,8.00% :: Highest upper bound between 8.00% and 8.24%,active,2022-12-27 15:25:41,2022-12-27
15,100,25,0,1672154753,0.0,75,0,0,,TERMINALRATE-23DEC31-T8.24,greater,,8.24,,8.25% or above,active,2022-12-27 15:25:53,2022-12-27
16,100,94,0,1672183830,0.0,6,0,0,,TERMINALRATE-23DEC31-B7.120,between,7.24,7.0,,7.00% :: Highest upper bound between 7.00% and 7.24%,active,2022-12-27 23:30:30,2022-12-27
17,99,23,0,1672183830,0.0,77,1,0,,TERMINALRATE-23DEC31-B8.120,between,8.24,8.0,,8.00% :: Highest upper bound between 8.00% and 8.24%,active,2022-12-27 23:30:30,2022-12-27
18,77,5,0,1672183831,0.0,95,23,0,,TERMINALRATE-23DEC31-B4.870,between,4.99,4.75,,4.75% :: Highest upper bound between 4.75% and 4.99%,active,2022-12-27 23:30:31,2022-12-27
19,77,63,0,1672183831,0.0,37,23,0,,TERMINALRATE-23DEC31-B4.870,between,4.99,4.75,,4.75% :: Highest upper bound between 4.75% and 4.99%,active,2022-12-27 23:30:31,2022-12-27
20,77,67,0,1672183831,0.0,33,23,0,,TERMINALRATE-23DEC31-B4.870,between,4.99,4.75,,4.75% :: Highest upper bound between 4.75% and 4.99%,active,2022-12-27 23:30:31,2022-12-27
21,73,67,0,1672183831,0.0,33,27,0,,TERMINALRATE-23DEC31-B4.870,between,4.99,4.75,,4.75% :: Highest upper bound between 4.75% and 4.99%,active,2022-12-27 23:30:31,2022-12-27
