,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,94,0,0,1649772675,0.0,100,6,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:11:15,2022-04-12
1,93,0,0,1649772675,0.0,100,7,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:11:15,2022-04-12
2,92,0,0,1649772675,0.0,100,8,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:11:15,2022-04-12
3,91,0,0,1649772675,0.0,100,9,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:11:15,2022-04-12
4,90,0,0,1649772675,0.0,100,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:11:15,2022-04-12
5,90,87,0,1649772675,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:11:15,2022-04-12
6,90,87,0,1649772675,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:11:15,2022-04-12
7,90,87,0,1649772675,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:11:15,2022-04-12
8,90,87,0,1649772675,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:11:15,2022-04-12
9,90,87,0,1649772675,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:11:15,2022-04-12
10,70,0,0,1649772677,0.0,100,30,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:11:17,2022-04-12
11,69,0,0,1649772677,0.0,100,31,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:11:17,2022-04-12
12,68,0,0,1649772677,0.0,100,32,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:11:17,2022-04-12
13,67,0,0,1649772677,0.0,100,33,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:11:17,2022-04-12
14,66,0,0,1649772677,0.0,100,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:11:17,2022-04-12
15,66,62,0,1649772677,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:11:17,2022-04-12
16,66,62,0,1649772677,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:11:17,2022-04-12
17,66,62,0,1649772678,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:11:18,2022-04-12
18,66,62,0,1649772678,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:11:18,2022-04-12
19,66,62,0,1649772678,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:11:18,2022-04-12
20,90,87,0,1649772976,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:16:16,2022-04-12
21,90,87,0,1649772977,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:16:17,2022-04-12
22,90,87,0,1649772977,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:16:17,2022-04-12
23,90,86,0,1649772977,0.0,14,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:16:17,2022-04-12
24,90,86,0,1649772977,0.0,14,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:16:17,2022-04-12
25,90,87,0,1649772977,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:16:17,2022-04-12
26,66,62,0,1649772979,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:16:19,2022-04-12
27,66,62,0,1649772979,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:16:19,2022-04-12
28,66,62,0,1649772979,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:16:19,2022-04-12
29,66,62,0,1649772979,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:16:19,2022-04-12
30,66,62,0,1649772979,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:16:19,2022-04-12
31,66,62,0,1649772979,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:16:19,2022-04-12
32,66,62,0,1649772979,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:16:19,2022-04-12
33,66,62,0,1649772979,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:16:19,2022-04-12
34,66,62,0,1649772979,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:16:19,2022-04-12
35,66,62,0,1649772979,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:16:19,2022-04-12
36,90,87,0,1649773229,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:20:29,2022-04-12
37,90,87,0,1649773229,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:20:29,2022-04-12
38,90,87,0,1649773229,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:20:29,2022-04-12
39,90,86,0,1649773229,0.0,14,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:20:29,2022-04-12
40,90,86,0,1649773229,0.0,14,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:20:29,2022-04-12
41,90,86,0,1649773229,0.0,14,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:20:29,2022-04-12
42,90,86,0,1649773229,0.0,14,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:20:29,2022-04-12
43,90,86,0,1649773229,0.0,14,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:20:29,2022-04-12
44,90,87,0,1649773229,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:20:29,2022-04-12
45,90,87,0,1649773229,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:20:29,2022-04-12
46,66,62,0,1649773231,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:20:31,2022-04-12
47,66,62,0,1649773231,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:20:31,2022-04-12
48,66,61,0,1649773231,0.0,39,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:20:31,2022-04-12
49,66,61,0,1649773231,0.0,39,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:20:31,2022-04-12
50,66,61,0,1649773231,0.0,39,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:20:31,2022-04-12
51,66,62,0,1649773231,0.0,38,34,0,,TNOTE-22APR18-T2.75,greater,,2.75,,>2.75%,finalized,2022-04-12 14:20:31,2022-04-12
52,90,87,0,1649773521,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:25:21,2022-04-12
53,90,87,0,1649773521,0.0,13,10,0,,TNOTE-22APR18-T2.85,greater,,2.85,,>2.85%,finalized,2022-04-12 14:25:21,2022-04-12
