,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,41,0,0,1644938246,0.0,100,59,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:17:26,2022-02-15
1,40,0,0,1644938246,0.0,100,60,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:17:26,2022-02-15
2,39,0,0,1644938246,0.0,100,61,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:17:26,2022-02-15
3,38,0,0,1644938246,0.0,100,62,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:17:26,2022-02-15
4,37,0,0,1644938246,0.0,100,63,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:17:26,2022-02-15
5,37,33,0,1644938246,0.0,67,63,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:17:26,2022-02-15
6,37,33,0,1644938246,0.0,67,63,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:17:26,2022-02-15
7,37,33,0,1644938246,0.0,67,63,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:17:26,2022-02-15
8,37,33,0,1644938246,0.0,67,63,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:17:26,2022-02-15
9,37,33,0,1644938246,0.0,67,63,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:17:26,2022-02-15
10,37,33,0,1644938306,0.0,67,63,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:18:26,2022-02-15
11,37,33,0,1644938306,0.0,67,63,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:18:26,2022-02-15
12,37,33,0,1644938306,0.0,67,63,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:18:26,2022-02-15
13,37,33,0,1644938306,0.0,67,63,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:18:26,2022-02-15
14,100,33,0,1644938306,0.0,67,0,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:18:26,2022-02-15
15,100,32,0,1644938306,0.0,68,0,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:18:26,2022-02-15
16,100,31,0,1644938306,0.0,69,0,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:18:26,2022-02-15
17,100,30,0,1644938306,0.0,70,0,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:18:26,2022-02-15
18,100,29,0,1644938306,0.0,71,0,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:18:26,2022-02-15
19,100,0,0,1644938306,0.0,100,0,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:18:26,2022-02-15
20,46,0,0,1644938306,0.0,100,54,0,,TNOTE-22FEB22-T2.0,greater,,2.0,,>2.0%,finalized,2022-02-15 15:18:26,2022-02-15
21,76,0,0,1644938306,0.0,100,24,0,,TNOTE-22FEB22-T2.1,greater,,2.1,,>2.1%,finalized,2022-02-15 15:18:26,2022-02-15
22,75,0,0,1644938306,0.0,100,25,0,,TNOTE-22FEB22-T2.1,greater,,2.1,,>2.1%,finalized,2022-02-15 15:18:26,2022-02-15
23,74,0,0,1644938306,0.0,100,26,0,,TNOTE-22FEB22-T2.1,greater,,2.1,,>2.1%,finalized,2022-02-15 15:18:26,2022-02-15
24,73,0,0,1644938306,0.0,100,27,0,,TNOTE-22FEB22-T2.1,greater,,2.1,,>2.1%,finalized,2022-02-15 15:18:26,2022-02-15
25,72,0,0,1644938306,0.0,100,28,0,,TNOTE-22FEB22-T2.1,greater,,2.1,,>2.1%,finalized,2022-02-15 15:18:26,2022-02-15
