,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,50,0,0,1643210281,0.0,100,50,0,,TNOTE-22JAN31-T1.7,greater,,1.7,,>1.7%,finalized,2022-01-26 15:18:01,2022-01-26
1,51,0,0,1643210323,0.0,100,49,0,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 15:18:43,2022-01-26
2,100,0,0,1643210411,0.0,100,0,0,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 15:20:11,2022-01-26
3,49,0,0,1643210431,0.0,100,51,0,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 15:20:31,2022-01-26
4,100,0,0,1643210447,0.0,100,0,0,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 15:20:47,2022-01-26
5,45,0,0,1643210458,0.0,100,55,0,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 15:20:58,2022-01-26
6,100,0,0,1643210471,0.0,100,0,0,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 15:21:11,2022-01-26
7,40,0,0,1643210482,0.0,100,60,0,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 15:21:22,2022-01-26
8,100,0,0,1643210494,0.0,100,0,0,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 15:21:34,2022-01-26
9,35,0,0,1643210506,0.0,100,65,0,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 15:21:46,2022-01-26
10,50,0,0,1643218123,0.0,100,50,0,,TNOTE-22JAN31-T1.7,greater,,1.7,,>1.7%,finalized,2022-01-26 17:28:43,2022-01-26
11,40,0,0,1643218163,0.0,100,60,0,,TNOTE-22JAN31-T1.7,greater,,1.7,,>1.7%,finalized,2022-01-26 17:29:23,2022-01-26
12,30,0,0,1643218222,0.0,100,70,0,,TNOTE-22JAN31-T1.7,greater,,1.7,,>1.7%,finalized,2022-01-26 17:30:22,2022-01-26
13,35,0,0,1643218338,0.0,100,65,0,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 17:32:18,2022-01-26
14,100,47,0,1643223939,0.0,53,0,0,,TNOTE-22JAN31-T1.9,greater,,1.9,,>1.9%,finalized,2022-01-26 19:05:39,2022-01-26
15,60,0,25,1643224822,25.0,100,40,65,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 19:20:22,2022-01-26
16,60,0,25,1643228484,0.0,100,40,65,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 20:21:24,2022-01-26
17,60,0,25,1643228484,0.0,100,40,65,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 20:21:24,2022-01-26
18,59,0,25,1643228484,0.0,100,41,65,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 20:21:24,2022-01-26
19,58,0,25,1643228485,0.0,100,42,65,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 20:21:25,2022-01-26
20,57,0,25,1643228485,0.0,100,43,65,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 20:21:25,2022-01-26
21,57,53,25,1643228485,0.0,47,43,65,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 20:21:25,2022-01-26
22,57,53,25,1643228485,0.0,47,43,65,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 20:21:25,2022-01-26
23,57,53,25,1643228485,0.0,47,43,65,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 20:21:25,2022-01-26
24,57,53,25,1643228485,0.0,47,43,65,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 20:21:25,2022-01-26
25,57,53,25,1643228485,0.0,47,43,65,,TNOTE-22JAN31-T1.8,greater,,1.8,,>1.8%,finalized,2022-01-26 20:21:25,2022-01-26
26,30,0,0,1643228546,0.0,100,70,0,,TNOTE-22JAN31-T1.7,greater,,1.7,,>1.7%,finalized,2022-01-26 20:22:26,2022-01-26
27,30,0,0,1643228546,0.0,100,70,0,,TNOTE-22JAN31-T1.7,greater,,1.7,,>1.7%,finalized,2022-01-26 20:22:26,2022-01-26
28,29,0,0,1643228546,0.0,100,71,0,,TNOTE-22JAN31-T1.7,greater,,1.7,,>1.7%,finalized,2022-01-26 20:22:26,2022-01-26
29,28,0,0,1643228546,0.0,100,72,0,,TNOTE-22JAN31-T1.7,greater,,1.7,,>1.7%,finalized,2022-01-26 20:22:26,2022-01-26
30,27,0,0,1643228546,0.0,100,73,0,,TNOTE-22JAN31-T1.7,greater,,1.7,,>1.7%,finalized,2022-01-26 20:22:26,2022-01-26
31,27,23,0,1643228546,0.0,77,73,0,,TNOTE-22JAN31-T1.7,greater,,1.7,,>1.7%,finalized,2022-01-26 20:22:26,2022-01-26
32,27,23,0,1643228546,0.0,77,73,0,,TNOTE-22JAN31-T1.7,greater,,1.7,,>1.7%,finalized,2022-01-26 20:22:26,2022-01-26
33,27,23,0,1643228546,0.0,77,73,0,,TNOTE-22JAN31-T1.7,greater,,1.7,,>1.7%,finalized,2022-01-26 20:22:26,2022-01-26
34,27,23,0,1643228546,0.0,77,73,0,,TNOTE-22JAN31-T1.7,greater,,1.7,,>1.7%,finalized,2022-01-26 20:22:26,2022-01-26
35,27,23,0,1643228546,0.0,77,73,0,,TNOTE-22JAN31-T1.7,greater,,1.7,,>1.7%,finalized,2022-01-26 20:22:26,2022-01-26
36,91,47,0,1643228547,0.0,53,9,0,,TNOTE-22JAN31-T1.9,greater,,1.9,,>1.9%,finalized,2022-01-26 20:22:27,2022-01-26
