,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,94,0,0,1682996768,0.0,100,6,0,,TNOTE-23MAY02-B3.47,between,3.48,3.46,,3.46 to 3.48,finalized,2023-05-02 03:06:08,2023-05-02
1,93,0,0,1682996768,0.0,100,7,0,,TNOTE-23MAY02-B3.47,between,3.48,3.46,,3.46 to 3.48,finalized,2023-05-02 03:06:08,2023-05-02
2,93,88,0,1682996768,0.0,12,7,0,,TNOTE-23MAY02-B3.47,between,3.48,3.46,,3.46 to 3.48,finalized,2023-05-02 03:06:08,2023-05-02
3,93,90,0,1682996768,0.0,10,7,0,,TNOTE-23MAY02-B3.47,between,3.48,3.46,,3.46 to 3.48,finalized,2023-05-02 03:06:08,2023-05-02
4,91,0,0,1682996768,0.0,100,9,0,,TNOTE-23MAY02-B3.50,between,3.51,3.49,,3.49 to 3.51,finalized,2023-05-02 03:06:08,2023-05-02
5,90,0,0,1682996768,0.0,100,10,0,,TNOTE-23MAY02-B3.50,between,3.51,3.49,,3.49 to 3.51,finalized,2023-05-02 03:06:08,2023-05-02
6,90,87,0,1682996768,0.0,13,10,0,,TNOTE-23MAY02-B3.50,between,3.51,3.49,,3.49 to 3.51,finalized,2023-05-02 03:06:08,2023-05-02
7,88,0,0,1682996768,0.0,100,12,0,,TNOTE-23MAY02-B3.53,between,3.54,3.52,,3.52 to 3.54,finalized,2023-05-02 03:06:08,2023-05-02
8,88,83,0,1682996768,0.0,17,12,0,,TNOTE-23MAY02-B3.53,between,3.54,3.52,,3.52 to 3.54,finalized,2023-05-02 03:06:08,2023-05-02
9,88,85,0,1682996768,0.0,15,12,0,,TNOTE-23MAY02-B3.53,between,3.54,3.52,,3.52 to 3.54,finalized,2023-05-02 03:06:08,2023-05-02
10,88,0,0,1682996768,0.0,100,12,0,,TNOTE-23MAY02-B3.56,between,3.57,3.55,,3.55 to 3.57,finalized,2023-05-02 03:06:08,2023-05-02
11,87,0,0,1682996768,0.0,100,13,0,,TNOTE-23MAY02-B3.56,between,3.57,3.55,,3.55 to 3.57,finalized,2023-05-02 03:06:08,2023-05-02
12,87,82,0,1682996768,0.0,18,13,0,,TNOTE-23MAY02-B3.56,between,3.57,3.55,,3.55 to 3.57,finalized,2023-05-02 03:06:08,2023-05-02
13,87,84,0,1682996768,0.0,16,13,0,,TNOTE-23MAY02-B3.56,between,3.57,3.55,,3.55 to 3.57,finalized,2023-05-02 03:06:08,2023-05-02
14,89,0,0,1682996768,0.0,100,11,0,,TNOTE-23MAY02-B3.59,between,3.6,3.58,,3.58 to 3.6,finalized,2023-05-02 03:06:08,2023-05-02
15,89,83,0,1682996768,0.0,17,11,0,,TNOTE-23MAY02-B3.59,between,3.6,3.58,,3.58 to 3.6,finalized,2023-05-02 03:06:08,2023-05-02
16,89,85,0,1682996768,0.0,15,11,0,,TNOTE-23MAY02-B3.59,between,3.6,3.58,,3.58 to 3.6,finalized,2023-05-02 03:06:08,2023-05-02
17,89,86,0,1682996768,0.0,14,11,0,,TNOTE-23MAY02-B3.59,between,3.6,3.58,,3.58 to 3.6,finalized,2023-05-02 03:06:08,2023-05-02
18,93,0,0,1682996768,0.0,100,7,0,,TNOTE-23MAY02-B3.62,between,3.63,3.61,,3.61 to 3.63,finalized,2023-05-02 03:06:08,2023-05-02
19,92,0,0,1682996768,0.0,100,8,0,,TNOTE-23MAY02-B3.62,between,3.63,3.61,,3.61 to 3.63,finalized,2023-05-02 03:06:08,2023-05-02
20,92,89,0,1682996768,0.0,11,8,0,,TNOTE-23MAY02-B3.62,between,3.63,3.61,,3.61 to 3.63,finalized,2023-05-02 03:06:08,2023-05-02
21,96,0,0,1682996768,0.0,100,4,0,,TNOTE-23MAY02-B3.65,between,3.66,3.64,,3.64 to 3.66,finalized,2023-05-02 03:06:08,2023-05-02
22,95,0,0,1682996768,0.0,100,5,0,,TNOTE-23MAY02-B3.65,between,3.66,3.64,,3.64 to 3.66,finalized,2023-05-02 03:06:08,2023-05-02
23,95,91,0,1682996768,0.0,9,5,0,,TNOTE-23MAY02-B3.65,between,3.66,3.64,,3.64 to 3.66,finalized,2023-05-02 03:06:08,2023-05-02
